Date,Global,US,GB,CA,SE,NL,AU,NO,IE,DE,BE,NZ,DK,CH,FI,IT,HU,AT,PL,PT,IS,ES,CZ,SK,LV,LT,GR,FR,RO,LU,EE,MT,BG,CY,AE,SG,HK,ZA,MY
2018/11/29,,107,,169,176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018/12/06,180,109,191,81,61,,,148,,,,,,,,,200,,,,130,,,161,155,144,108,,149,,,170,,152,,,,,
2018/12/13,154,94,156,64,59,158,,135,182,,,,,,,,164,,,,109,,181,152,128,104,113,,129,175,162,128,,145,,,,,
2018/12/20,127,77,122,51,55,105,191,112,140,,150,168,,,,,82,,,,70,,105,79,78,85,98,,99,113,93,104,194,109,,,,,
2018/12/27,60,44,53,25,42,49,65,67,82,,48,53,143,81,171,,33,194,,100,59,,52,48,35,42,48,,46,42,45,57,78,60,,,198,,
2019/01/03,,,,,,,,,,,,,,,,,,,,,,,,,,,198,,,,,,,,,,,,
2019/11/28,,,,172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019/12/05,192,77,127,80,119,,,169,179,,,,,,,,139,,,,132,,,139,103,112,195,,152,180,133,111,,178,,,,,
2019/12/12,175,90,119,67,131,173,,177,142,,,,,,,,142,,,,119,,,120,117,85,170,,117,137,128,80,,119,,,,,
2019/12/19,140,84,115,54,97,147,,136,119,,168,187,,,,,128,,,,101,,155,108,74,72,164,,143,121,102,61,,113,,,,,
2019/12/26,59,35,47,23,52,49,68,81,67,,56,49,130,79,,,39,,,113,69,,63,66,31,39,95,,70,39,44,44,98,59,132,,,116,
2020/11/26,,,,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020/12/03,,79,198,81,104,,,,,,,,,,,,,,,,136,,,,175,168,,,,,,,,,,,,,
2020/12/10,165,58,136,49,104,182,,185,112,,,,,,,,,,,,102,,,138,151,155,,,199,132,,,,187,,,,,
2020/12/17,155,72,129,57,87,122,,181,113,,,,,,,,170,,,,80,,,116,104,132,,,171,131,164,,,150,,,,,
2020/12/24,62,30,60,23,42,55,72,105,60,,50,66,137,116,50,,58,170,,102,55,,151,46,35,52,173,,81,46,61,,124,89,163,,,,
2020/12/31,151,67,80,36,,55,142,,93,,110,,,,,,,,,,145,,,,162,180,196,,,85,,,,112,,,,,
2021/11/25,,,,143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021/12/02,,61,,70,141,,,,,,,,,,,,,,,,105,,,,,,,,,,,,,,,,,,
2021/12/09,175,53,140,53,142,162,,,145,,,,,,,,,,,,88,,,,189,,,,,175,,,,,,,,,
2021/12/16,146,55,134,52,142,117,,,133,,,,,,179,,,,,,66,,,,,,,,,162,,,,,,,,,
2021/12/23,90,34,94,34,87,91,133,183,91,,143,118,191,,68,,179,,,,60,,,165,133,181,,,,103,189,,,,,,,,
2021/12/30,84,34,85,30,102,58,71,194,92,,68,86,,106,60,,169,187,,199,77,,,,115,165,,,,80,199,,,,,,,,
2022/11/24,,183,,103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/12/01,,60,,75,160,,,,167,,,,,,,,,,,,107,,,,,,,,,,,,,,,,,,
2022/12/08,187,65,87,51,135,153,,,79,,,,181,,,,,,,,98,,,,,,,,,163,,,,,,,,,
2022/12/15,189,69,114,65,119,89,,,91,,,,,,187,,,,,,87,,,,,,,,,,,,,,,,,,
2022/12/22,105,44,89,36,95,76,,177,75,,157,,179,181,92,,,,,,63,,,,,,,,,170,,,,,,,,,
2022/12/29,78,36,61,30,73,46,92,140,57,,67,97,146,97,53,,144,133,,149,51,,,,122,157,,,,90,166,,,,,,,,
2023/11/23,,170,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/11/30,,45,,55,194,,,,147,,,,,,,,,,,,129,,,,,,,,,,,,,,,,,,
2023/12/07,117,38,54,32,90,131,,167,71,199,,,154,102,,,,108,,,87,,,,151,,,,,106,199,,,,,,,,
2023/12/14,114,39,64,35,105,70,,186,67,,157,,,144,,,,134,,,86,,,,141,179,,,,115,,,,,,,,,
2023/12/21,75,27,51,24,77,58,153,142,48,192,97,117,194,98,,,,93,,,65,,,177,89,140,,,,88,140,,,,,,,,
2023/12/28,34,17,39,15,55,29,44,78,34,93,33,40,122,45,84,90,88,58,157,56,50,,,112,36,56,,,155,40,53,,186,120,130,,,,
