Date,Global,US,GB,CA,DE,SE,AU,NL,PL,IT,IE,NO,ES,DK,FR,CH,BE,PH,AT,NZ,CZ,HU,FI,PT,SG,GR,SK,RO,JP,MY,LT,HK,MX,LV,UA,IS,RU,EE,AE,ZA,TW,LU,TH,BG,KR,VN,CL,CY,CR,GT,EC,PA,DO,MT,HN,KZ,BY,BO,NI,AD
2018/12/13,31,22,8,14,144,15,127,52,77,189,9,42,,105,,49,47,159,88,110,16,14,147,101,131,16,6,17,84,156,8,74,,10,,38,,27,,,,27,,66,,167,,20,,,,,,18,,,,,,
2018/12/20,18,17,7,12,100,16,75,43,38,171,9,39,,85,,25,26,132,66,66,5,4,98,75,106,16,4,8,76,134,6,55,,4,,24,,14,,,,17,,29,,169,,15,,198,,,,16,,,,,,
2018/12/27,9,10,3,2,59,16,45,24,19,75,5,29,80,72,128,13,7,62,45,38,4,3,59,25,36,2,4,1,34,57,2,16,,2,,18,,5,,,131,5,148,5,,77,,4,145,99,163,174,,3,146,,,,,
2019/01/03,,,,,,,,,,,,,,,,,,,,,,,,,,54,,,,,200,,,160,,,,,,,,,,,,,,69,,,,,,,,,,,,
2019/11/14,,167,,138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019/11/21,,119,120,93,,,,,,,117,,,,,,,,,,,,,,,,,,,,197,,,,,113,,,,,,,,,,,,,,,,,,122,,,,,,
2019/11/28,130,58,67,68,,90,,,,,69,125,,,,,,,,,,132,,,,115,100,88,,,84,,,98,,76,,109,,,,137,,,,,,86,,,,,,59,,,,,,
2019/12/05,36,15,10,27,145,30,168,143,120,,27,48,,103,,52,99,,102,,34,24,174,119,,48,15,26,,,21,,,16,,39,,25,114,,,30,,53,,,,39,,,,,,31,,,,,,
2019/12/12,33,18,8,26,160,31,170,65,63,,15,51,,91,,43,56,,91,164,26,19,199,105,,44,5,21,161,,15,159,,17,,31,,29,84,,,30,,60,,,,24,,,,,,22,,,,,,
2019/12/19,32,19,9,27,133,21,122,58,49,,10,49,,97,,35,48,,78,105,11,15,133,86,156,47,18,29,165,,13,124,,13,,32,,23,75,,,25,,61,,,,22,,,,,,21,,,,,,
2019/12/26,11,4,3,7,59,9,38,18,18,95,5,30,94,71,175,8,9,123,37,46,6,4,66,25,57,23,16,10,83,95,4,29,,2,,25,,8,27,31,180,5,,14,,122,,7,,197,,,,7,,,,,,
2020/01/02,,,,,,,,,,,,,,,,,,,,,,,,,,89,,,,,133,,,114,,,,,,,,,,,,,,71,,,,,,119,,,,,,
2020/11/05,,,,,,,,,,,163,,,,,,,,,,,,,,,,,,,,,,,,,158,,,,,,,,,,,,,,,,,,,,,,,,
2020/11/12,,90,108,119,,,,,,,89,,,,,,,,,,,,,,,,,,,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,
2020/11/19,120,38,56,30,,139,,147,,,49,126,,,,,,,150,,,113,,,,137,89,130,,,99,,,119,,46,,126,,,,173,,,,,,94,,,,,,,,,,,,
2020/11/26,59,18,20,13,145,46,,83,158,,23,60,,99,,86,105,,60,,67,61,,176,164,54,31,54,,,50,,,47,,32,,55,142,,,53,,171,,,,36,,,,,,,,,,,,
2020/12/03,23,3,4,7,48,11,118,47,24,180,7,27,,53,,11,41,184,20,106,17,16,91,52,78,40,8,11,,,4,106,,2,130,15,,6,46,,,10,,36,,175,,14,,,,,,,,,,,,
2020/12/10,12,2,3,4,29,13,82,17,13,73,5,27,128,53,198,8,17,140,17,69,6,7,65,43,50,44,3,5,191,122,2,48,,2,52,14,,4,25,176,,6,,27,,120,,8,,,,,,,,,,,,
2020/12/17,9,7,3,3,38,14,72,12,9,104,3,23,154,46,,7,16,118,23,60,3,3,21,47,37,36,3,5,172,93,2,36,,2,40,13,141,17,19,108,,6,,29,,135,,4,,,,,,,,,,,,
2020/12/24,5,1,3,2,18,10,16,7,7,42,3,16,55,33,84,6,5,28,17,11,3,3,9,7,11,18,3,4,102,32,2,10,,1,15,12,75,6,4,16,105,3,145,8,,66,,4,146,159,175,145,,,176,,,,,40
2020/12/31,14,1,3,2,86,78,74,8,67,94,5,71,88,,,16,15,106,78,180,67,14,109,64,36,32,45,21,,85,6,25,,3,9,44,17,32,21,37,178,5,176,42,,,,4,,,,,,,,,,,,
2021/01/07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,
2021/11/11,,132,,159,,,,,,,189,,,,,,,,,,,,,,,,,,,,,,,,,139,,,,,,,,,,,,,,,,,,,,,,,,
2021/11/18,,102,187,62,,,,,,,104,,,,,,,,162,,,,,,,,167,,,,,,,,,71,,,,,,,,,,,,,,,,,,,,,,,,
2021/11/25,100,38,61,30,166,89,,198,,,52,110,,146,,132,,,78,,190,138,147,,,149,89,195,,,102,,,130,,64,,86,,,,87,,,,,,141,,,,,,,,,,,,
2021/12/02,28,7,12,10,49,11,72,96,82,,13,36,,65,,19,99,,22,75,33,40,47,70,150,100,18,51,,,20,,,11,,28,,16,85,,,19,,85,158,,,65,,,,,,,,,,,,
2021/12/09,15,2,5,3,46,10,32,40,23,118,5,29,,58,,19,59,,23,31,26,18,20,52,85,71,6,17,,,9,150,,5,160,18,,13,41,,,16,,41,95,,,29,,,,,,,,,,,,
2021/12/16,10,1,3,2,36,9,23,27,21,129,4,28,,51,,13,24,185,24,18,17,13,21,54,50,60,28,12,,134,10,103,,5,87,21,,16,35,196,,14,,29,61,,,20,,,,,,,,,,,,
2021/12/23,5,1,3,1,25,8,10,21,12,91,4,25,117,46,128,8,18,107,15,7,5,5,8,22,21,50,12,8,185,77,4,58,,2,52,16,197,8,14,60,150,6,171,15,41,143,,12,,,,,,,,,,,,
2021/12/30,5,1,3,1,24,9,4,19,22,58,4,39,80,54,69,6,7,79,18,5,14,7,14,15,16,45,9,12,,74,2,33,,1,24,14,71,7,12,25,117,3,143,11,35,,,9,189,,,182,,,,,,,,
2022/01/06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152,34,,68,,,,,,,,,,,,,,,,,,,,,,,
2022/11/10,,109,162,116,,,,,,,140,,,,,,,,,,,,,,,,,,,,,,,,,105,,,,,,,,,,,,,,,,,,,,,,,,
2022/11/17,148,45,87,26,,,,,,,53,195,,194,,,,,89,,,,,,,,154,,,,,,,,,71,,127,,,,197,,,,,,,,,,,,,,,,,,
2022/11/24,50,9,25,6,49,29,181,108,52,,15,59,,77,,55,162,,15,,54,89,58,,,138,38,89,,,19,,,13,,37,,14,,,,43,,,,,,110,,,,,,,,,,,,
2022/12/01,12,2,4,4,11,15,27,61,43,,4,29,,48,,9,65,,5,25,18,25,43,62,101,66,7,37,,,15,,,7,,12,,10,68,,,12,,54,140,,,35,,,,,,,,,,,,
2022/12/08,7,3,3,2,6,9,12,29,7,137,3,14,173,43,,3,22,,5,5,14,13,30,31,49,73,3,24,,,6,87,,4,,11,,7,32,,,5,,40,99,200,,23,,,,,,,,,,,,
2022/12/15,4,2,3,2,7,6,7,10,6,93,3,12,137,33,195,3,8,192,4,4,6,6,29,28,31,62,3,11,,142,2,56,,1,154,8,,4,14,157,166,5,,18,66,167,,12,,,,172,,,,,,,,
2022/12/22,4,2,3,1,8,5,4,12,3,77,3,11,101,31,132,4,6,121,4,4,5,3,12,15,23,56,3,8,183,100,2,38,,1,110,7,,2,12,79,115,4,,11,67,169,,9,200,,,154,,,,,,,,
2022/12/29,3,1,3,1,7,3,3,8,4,39,3,11,55,32,48,3,4,60,7,3,5,2,7,5,11,40,3,6,114,62,1,21,,1,64,6,,1,6,21,68,4,160,4,46,170,,5,98,139,193,95,160,,119,181,131,,200,
2023/01/05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110,40,,,,,,,,,,,,,105,,,,,,,,123,120,,,
2023/11/16,158,35,53,25,,102,,176,,,38,79,,109,,103,,,107,,,,,,,,153,,,,,,,,,79,,165,,,,118,,,,,,,,,,,,,,,,,,
2023/11/23,39,9,16,8,90,30,143,93,41,,10,32,,47,,36,87,,23,162,82,99,93,,,124,28,44,,,23,,,21,128,32,,21,157,,,30,,133,,,,52,,,,,,,,,,,,
2023/11/30,8,1,5,2,23,6,33,39,17,167,5,14,,29,121,7,32,,7,32,11,24,53,91,80,61,6,9,,,7,,,4,63,16,,5,56,,,5,,19,153,,,21,,,,,,,,,,,,
2023/12/07,3,1,3,1,13,3,11,13,3,53,5,10,116,26,69,3,9,,6,4,5,4,30,39,42,50,3,5,,,2,95,,2,22,11,,3,21,,,3,,19,108,,,16,142,,,92,166,,,,,,,
2023/12/14,3,1,3,1,14,4,9,12,5,26,5,14,108,23,117,4,10,,6,5,8,7,31,41,30,59,4,10,,164,2,73,,2,33,17,,3,20,,,4,,25,121,,,13,155,,,87,149,,187,138,,,,
2023/12/21,3,1,3,1,11,3,5,10,5,33,4,13,81,18,74,4,8,,5,4,6,3,19,24,18,50,3,11,,125,3,47,,1,43,20,,3,13,,,3,,17,80,,,8,130,,,88,132,,169,171,,,,
2023/12/28,3,1,3,1,10,3,3,8,3,8,2,13,40,17,21,3,4,94,4,3,5,3,10,7,10,43,3,5,,56,2,18,187,1,15,12,,1,4,41,78,3,155,11,53,,73,5,62,117,87,49,69,,90,129,108,149,137,
2024/01/04,,,,,,,,,,,112,,,,,,,,,,,,,,,184,196,,,,121,,,30,16,,,111,,,,,,,,,,69,,,,,,,,58,54,,,
