Date,Global,US,GB,DE,CA,SE,NL,DK,NO,AU,PL,IT,PH,IE,FI,AT,CH,BE,ES,FR,NZ,SG,HU,CZ,PT,MY,HK,JP,TW,IS,SK,TH,VN,RO,LT,LV,KR,GR,AE,EE,ZA,LU,BG,CY,ID,MT,PA,UA
2017/12/21,68,117,53,,49,15,62,18,17,98,54,119,197,48,48,,,106,,,84,172,65,65,,,77,,159,48,77,,,,71,75,,88,,84,,115,118,85,,78,,
2017/12/28,55,98,50,,34,35,43,16,19,72,47,56,95,45,19,166,122,74,98,,66,99,38,59,101,150,31,,97,42,88,184,,,61,74,,72,,80,,64,101,60,,72,,
2018/11/08,,,,,,,,89,183,,,,,,,,,,,,,,,,,,,,,197,,,,,,,,,,,,,,,,,,
2018/11/15,,,,,163,,,68,121,,,,,,,,,,,,,,,,,,,,,197,,,,,,,,,,,,,,,,,,
2018/11/22,,143,,,68,102,165,43,60,,,,,,,,,,,,,,,,,,,,,110,,,,,,,,154,,,,,,170,,,,
2018/11/29,126,87,124,,61,27,143,18,38,,,,,108,114,177,,,,,,,,,,,,,,61,,,,,,186,,184,,,,,,154,,,,
2018/12/06,44,58,25,105,27,9,78,7,11,81,65,,185,34,42,69,63,119,,,68,124,60,75,144,172,109,52,,26,73,,89,133,63,51,,76,,58,,80,152,65,,89,,
2018/12/13,41,59,17,109,24,8,37,10,12,75,38,169,150,23,47,67,53,73,,,67,90,46,51,117,147,44,61,191,26,37,,53,108,38,35,,65,,53,,52,139,41,,48,,
2018/12/20,36,46,25,85,21,10,27,14,16,59,23,135,139,26,22,55,32,48,,,55,75,18,27,93,125,27,55,162,25,29,,59,75,28,22,,59,,33,,35,91,33,,39,,
2018/12/27,17,32,21,61,14,13,21,13,14,30,18,53,65,23,9,48,18,14,105,131,31,28,13,17,39,61,9,32,80,26,27,86,24,42,18,11,,33,,17,,16,39,17,180,25,197,
2019/01/03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142,,,,,,107,,,,
2019/11/07,,,,,,,,161,133,,,,,,,,,,,,,,,,,,,,,192,,,,,,,,,,,,,,,,,,
2019/11/14,,,,,87,,,89,68,,,,,,,,,,,,,,,,,,,,,121,,,,,,,,,,,,,,,,,,
2019/11/21,,195,164,,69,144,148,59,69,,,,,148,187,,,,,,,,,,,,,,,72,,,,,,,,,,,,,,,,,,
2019/11/28,134,107,93,,56,63,102,41,40,,,,,95,88,117,152,,,,,,,,,,,,,57,,,,,,,,,,,,,,147,,128,,
2019/12/05,44,38,30,97,22,26,82,20,13,98,87,,,43,48,45,46,114,,,117,154,46,54,137,,143,,,30,57,,140,88,49,37,,116,187,46,,52,111,58,,60,,
2019/12/12,39,46,29,73,23,33,40,19,15,101,40,,,39,61,27,39,73,,,105,129,47,65,122,193,96,,,32,48,,102,81,46,48,,102,142,63,,48,128,47,,44,,
2019/12/19,38,46,35,60,25,26,41,24,15,70,35,182,173,39,38,17,29,62,,,70,80,42,45,98,133,58,164,,41,59,,99,93,42,38,,114,123,48,,49,131,46,,45,,
2019/12/26,19,25,25,24,12,21,20,14,12,26,19,96,72,26,10,12,9,29,97,,41,29,15,22,39,60,18,73,105,38,40,81,52,60,28,15,,61,51,23,50,21,40,26,,31,170,
2020/01/02,,,,,,,,,170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171,,,,,,136,,,,
2020/11/05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151,,,,,,,,,,,,,,,,,,
2020/11/12,,,,,198,,,133,161,,,,,,,,,,,,,,,,,,,,,66,,,,,,,,,,,,,,,,,,
2020/11/19,,139,136,,50,149,128,50,67,,,,,122,,80,,,,,,,,,,,,,,48,,,,,,,,,,,,,,194,,,,
2020/11/26,109,75,73,76,30,53,88,19,33,,,,,66,106,23,104,192,,,,194,180,,,,,,,40,190,,,,194,199,,,,176,,123,,96,,,,
2020/12/03,45,33,31,22,20,16,53,6,14,122,48,,192,35,43,10,23,84,,,130,97,61,61,99,,151,,,28,59,,143,94,39,33,,174,129,40,,37,136,53,,,,
2020/12/10,27,29,23,17,17,21,34,6,14,71,29,151,130,28,26,12,14,47,168,,75,58,44,53,82,139,58,,,23,42,166,95,55,29,27,,149,76,35,,26,121,35,,,,
2020/12/17,32,49,27,22,21,25,28,6,13,63,21,172,117,29,30,13,20,40,,,70,43,29,44,89,110,56,,192,25,42,172,102,54,28,20,,159,63,49,,26,129,33,,,,
2020/12/24,15,15,21,14,13,24,21,7,14,15,18,74,38,22,13,14,12,18,92,,20,15,15,22,25,47,17,135,89,20,24,92,57,25,19,15,,97,20,30,57,15,58,22,,,165,183
2020/12/31,50,51,31,66,22,128,27,93,59,71,152,134,100,42,164,64,32,45,141,,,38,67,,125,92,33,,113,98,,85,,174,66,46,,112,61,97,104,33,192,36,,,,128
2021/11/11,,,,,,,,101,,,,,,,,,,,,,,,,,,,,,,111,,,,,,,,,,,,,,,,,,
2021/11/18,,,,,112,,,51,144,,,,,,,91,,,,,,,,,,,,,,66,,,,,,,,,,,,,,,,,,
2021/11/25,174,122,134,89,56,111,162,22,69,,,,,85,176,38,136,,,,,,,,,,,,,58,,,,,,,,,,,,167,,,,,,
2021/12/02,53,53,42,30,25,28,100,7,19,152,168,,,39,70,10,27,141,,,186,121,84,75,121,,,,,27,82,,176,,91,54,134,,180,49,,42,,159,,,,
2021/12/09,43,52,35,31,25,29,63,8,14,83,73,195,,33,51,16,30,92,,,90,83,59,79,108,,161,,,26,59,184,122,125,66,35,96,,98,46,,41,192,90,,,,
2021/12/16,29,42,30,27,19,29,43,7,19,51,63,194,135,27,41,18,25,44,,,54,46,47,55,98,130,104,,193,27,76,144,114,79,48,33,58,194,61,49,,29,106,56,,,,
2021/12/23,21,25,26,19,13,22,36,7,16,33,45,156,98,26,19,16,18,39,151,193,50,24,25,47,56,95,63,,118,28,72,121,109,60,31,17,46,168,39,36,173,30,75,40,,,,
2021/12/30,25,36,25,20,15,32,31,9,24,32,86,102,68,27,30,19,18,29,112,97,46,20,27,94,46,83,40,,81,48,100,91,134,95,28,14,40,161,35,38,57,24,72,40,,,,
2022/11/10,,,,,,,,87,,,,,,,,,,,,,,,,,,,,,,150,,,,,,,,,,,,,,,,,,
2022/11/17,,,,,71,,,41,137,,,,,166,,85,,,,,,,,,,,,,,77,,,,,,,,,,,,,,,,,,
2022/11/24,181,143,126,60,43,53,132,11,50,,,,,90,107,23,100,,,,,,,173,,,,,,52,151,,,,136,85,,,,74,,147,,,,,,
2022/12/01,78,61,45,30,26,37,90,6,23,,,,,44,78,19,33,155,,,199,,94,81,176,,,,,33,70,,,,115,40,157,,,44,,41,,151,,,,
2022/12/08,54,58,30,29,25,29,49,5,16,79,69,,,31,53,15,18,54,,,68,93,49,61,104,,125,,,27,31,,155,176,63,29,98,,117,39,,25,188,113,,,,
2022/12/15,45,55,25,34,24,26,30,7,18,67,37,,199,24,59,16,16,35,,,49,58,34,44,109,,89,,,24,26,,124,149,38,22,77,,70,27,,22,161,82,,,,
2022/12/22,29,32,29,33,14,29,34,7,19,33,43,174,133,24,39,18,18,31,,,29,47,25,38,71,157,69,,114,26,26,,133,118,29,18,69,,58,29,,19,120,62,,,,
2022/12/29,24,32,27,22,13,30,23,9,28,25,54,102,72,27,32,20,16,22,152,73,29,30,19,75,40,99,39,,65,32,37,139,131,131,20,13,54,,35,22,69,14,64,40,,,,
2023/11/02,,,,,,,,189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/11/09,,,,,,,,54,144,,,,,,,,,,,,,,,,,,,,,129,,,,,,,,,,,,,,,,,,
2023/11/16,,,,,118,184,,28,76,,,,,,,90,170,,,,,,,,,,,,,63,,,,,,,,,,,,,,,,,,
2023/11/23,,164,116,110,71,75,,12,48,,,,,93,187,36,93,,,,,,,,,,,,,54,,,,,,,,,,,,133,,,,,,
2023/11/30,63,51,39,31,34,33,90,6,24,,187,,,48,109,16,26,145,,,,184,95,81,,,,,,46,54,,,147,97,43,174,,,42,,41,,144,,,,
2023/12/07,32,46,23,17,23,15,34,5,15,63,55,185,,27,61,13,15,49,,196,46,95,27,34,117,,177,,,34,22,,,61,28,23,147,,108,24,,22,,111,,,,
2023/12/14,30,45,25,27,18,21,29,6,15,54,55,105,,26,72,16,18,36,,,47,50,31,49,126,,106,,,34,28,,,70,28,21,147,,71,32,,24,,82,,,,
2023/12/21,23,34,25,27,16,18,25,6,16,27,51,133,187,25,48,19,18,32,,172,27,34,23,44,86,172,62,,172,34,35,,,74,27,17,104,,51,29,,21,156,69,,,,
2023/12/28,15,34,26,20,17,25,20,7,22,15,43,61,93,26,25,22,18,19,120,49,20,18,17,47,42,86,31,175,56,37,28,162,,61,18,14,85,,30,19,85,16,91,50,,,,
