Date,Global,US,GB,CA,AU,NL,IE,DE,SE,BE,NZ,NO,DK,ZA,CH,PT,AT,AE,IS,SG,LV,LT,LU,EE,CY,SK
2024/07/25,49,15,13,14,15,66,11,,184,73,16,83,122,132,154,185,169,,128,,,,198,,,
2024/08/01,50,19,11,13,14,64,11,,167,79,17,69,119,159,154,194,181,,137,,,,,,,
2024/08/08,57,22,11,14,15,67,11,,157,78,18,71,121,161,154,,,,146,,,,,,,
2024/08/15,53,20,11,13,16,67,8,,159,82,19,70,123,198,168,,,,114,,,,,,,
2024/08/22,52,23,11,15,16,55,4,,144,73,19,70,125,170,166,,,,132,,,,,,,
2024/08/29,62,31,16,17,20,53,8,,150,79,24,70,127,165,165,,,,137,,,,,,,
2024/09/05,66,25,20,15,19,73,27,,183,88,26,82,156,190,190,,,,155,,,,,,,
2024/09/12,70,23,18,14,19,76,16,,187,101,26,79,153,,187,,,,163,,,,,,,
2024/09/19,68,24,19,15,16,71,14,,164,100,27,81,152,,141,,168,,145,,,,,,,
2024/09/26,68,21,17,16,17,74,14,,155,101,26,84,153,,185,,,,154,,,,,,,
2024/10/03,73,19,16,12,15,70,14,,124,100,24,78,133,,161,,195,,164,,,,,,,
2024/10/10,72,19,15,12,15,72,13,,104,94,24,77,111,,145,,178,,158,,,,,,,
2024/10/17,77,21,15,14,19,75,13,,129,97,29,85,129,,143,,176,,148,,,,,,,
2024/10/24,87,26,18,16,22,79,14,,129,105,30,95,123,,135,,160,,156,,,,,,,
2024/10/31,119,46,23,27,28,93,20,,155,130,40,142,143,,188,,,,195,,,,,,,
