Date,Global,US,GB,CA,DE,SE,NL,AU,NO,PL,DK,IE,PH,BE,IT,CH,ES,AT,FR,NZ,HU,CZ,SG,FI,PT,GR,SK,MY,RO,IS,HK,LT,LV,EE,JP,LU,RU,AE,BG,VN,MT,ZA,TW,CY,UA,TH,PA,EC,CR,GT,KR,HN,AD
2018/11/22,,2109766,,228905,,,,,,,,,,,,,,,,,,,,,,9541,,,9192,,,,,,,,,,,,,,,1094,,,,,,,,,
2018/11/29,6465085,3832859,383854,361316,,233647,207350,,108269,81878,113720,40011,,,,,,26050,,,14177,20817,,,,14996,9920,,12143,9720,,6465,7861,4654,,2626,,,3693,,3796,,,1780,,,,,,,,,
2018/12/06,10397101,4572463,1149969,609746,640006,521997,323141,341950,246877,204533,230706,93648,,57090,,61385,,57596,,76245,32225,43527,41315,56501,30327,23766,21617,,18668,16274,17406,13951,13022,10257,,5565,,,5727,,7475,,,2831,,,,,,,,,
2018/12/13,11762348,4768477,1388321,707519,662185,543786,629364,368299,256901,303118,199658,127360,161843,102309,,71535,,60262,,81724,38134,50217,51522,52427,36944,23069,25574,39367,22153,17731,25962,16332,14495,10893,,6519,,,6020,5991,9269,,,3318,,,,,,,,,
2018/12/20,13604264,5101604,1630343,771930,835397,617138,805087,499682,288677,431828,213831,155148,194235,128270,,96615,,73514,,109871,63496,71536,59316,65770,44138,24779,36774,45544,29468,22006,28938,19439,19077,14218,45159,8598,,,7770,6149,10791,,,4041,,,,,,,,,
2018/12/27,21837306,7062102,2983682,1309799,1497642,881222,1262382,1162404,319104,535324,287967,259299,330670,253922,408389,191069,410384,113623,518358,243161,121076,94160,101028,101384,85012,37544,44718,72020,39393,25005,49812,30280,31132,20719,67307,16651,,,12848,9995,16217,,33511,6130,,23852,9338,20951,17736,17130,,6166,
2019/01/03,,,,,,,,,,,,,,,,,,,,,,,,,,11901,,,,,,,,,,,,,,,,,,1525,,,,,,,,,
2019/11/14,,,,243596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019/11/21,,1636224,336066,320119,,,165958,,,,74373,38231,,,,,,,,,,,,,,,,,,6994,,,,,,,,,,,2492,,,,,,,,,,,,
2019/11/28,5229709,2415359,546100,396206,,198979,228903,,81416,,127427,59818,,,,,,,,,15907,,,,,16139,10028,,14004,9654,,5651,5518,4845,,2957,,,,,3897,,,1995,,,,,,,,,
2019/12/05,10399628,4200706,1484566,635948,695303,456223,337814,296835,207576,158696,266086,131551,,60442,,72064,,54897,,63917,50240,49422,,,34333,27910,28915,,25787,18173,,15592,15611,12928,,7108,,5417,7273,,6630,,,3330,,,,,,,,,
2019/12/12,11746944,4459510,1682100,718829,737496,406716,647284,324975,184912,265112,233240,171744,,105389,,84190,,59347,,72149,58654,59420,47215,,36696,30728,35768,,31425,20201,,17831,14709,12288,,8150,,7165,7787,,9043,,,4391,,,,,,,,,
2019/12/19,13079513,4871249,1857927,805749,802558,489537,673246,418365,208650,318640,226919,197975,,119402,,99039,,68315,,96287,65219,73429,57244,,44304,29843,40008,,29354,21340,25391,20408,17676,13817,,8369,,8763,7775,,10047,,,4707,,,,,,,,,
2019/12/26,23412959,7373863,3502518,1463725,1897945,835871,1246389,1136223,281706,508389,350674,329605,261615,274496,458168,238705,316374,129378,356121,246394,168296,105090,100534,83560,92661,46089,57976,74342,42000,28579,46026,34323,31751,22109,,19421,,16445,14618,20931,15162,34004,,7363,,,,,,,,,
2020/01/02,,,,,,,,,,,,,,,,,,,,,,,,,,20080,,,,,,4751,5264,,,,,,,,2445,,,2333,,,,,,,,,
2020/11/12,,1841037,353370,244479,,,171034,,,,,43195,,,,,,,,,,,,,,,,,,7991,,,,,,,,,,,,,,,,,,,,,,,
2020/11/19,5483199,2674774,511739,517121,,,231829,,77269,,85062,64451,,,,,,,,,19866,,,,,21908,12560,,15155,9748,,6455,5980,4823,,,,,,,,,,2461,,,,,,,,,
2020/11/26,8729704,4021685,942355,733297,502553,226198,345324,,138038,,153254,119573,,65071,,57802,,56634,,,30641,39876,44830,,,34358,21552,,25024,13571,,10329,9344,7796,,5306,,8470,5003,,,,,3862,,,,,,,,,
2020/12/03,15767651,6391262,2030630,934596,1171007,690006,539178,,322356,289858,333764,214308,201164,116081,,152659,,120400,,,64786,87773,65276,60002,61432,43920,46207,,44616,22234,24789,28930,23514,18893,,11273,,16565,11168,,,,,5795,,,,,,,,,
2020/12/10,18939227,7170716,2506953,1088906,1281352,631992,909116,291730,335167,487402,321480,272796,233444,185536,379318,189701,280891,129533,,63270,82576,89123,86720,66234,64846,46178,54014,56447,52710,24258,38580,30208,23869,19405,,14767,,20098,12285,33143,,,,6872,16823,,,,,,,,
2020/12/17,19446785,7715667,2517628,1137240,1159888,651460,980648,325973,329112,508789,299002,277731,268388,199184,261205,166809,,110238,,74410,99369,94572,101071,74474,60375,43499,58555,64650,50308,27493,43039,30251,26771,20446,,13848,,22910,11459,30755,,21229,,7565,20059,,,,,,,,
2020/12/24,32218073,11067032,4053693,1805323,2418844,1215423,1386498,781685,487008,865941,516591,467083,596917,443424,531517,354711,546452,239992,618974,190616,246529,166084,187017,233918,159587,64873,100908,113766,77436,46161,82710,44519,44873,32363,167560,29124,76408,43470,21081,46263,,53495,60292,11584,27180,50785,12452,,,,,,1084
2020/12/31,14582001,4985189,2353487,973589,657650,185877,1009484,304998,111758,198857,74965,230925,244335,195500,313351,132422,338604,46047,,,50325,27941,96709,,49250,54801,16301,60451,28314,9712,53114,17598,16710,9900,,11793,140342,21617,9293,,,36542,,9006,41096,,,,,,,,
2021/11/18,,1778871,,376798,,,,,,,62214,43086,,,,,,,,,,,,,,,,,,7893,,,,,,,,,,,,,,,,,,,,,,,
2021/11/25,6209417,2882032,518832,521445,426192,175418,222138,,87381,,104201,80818,,,,48522,,53497,,,,,,,,,14691,,,11625,,7221,,5895,,4218,,,,,,,,3090,,,,,,,,,
2021/12/02,12384038,5070980,1317382,789009,1037340,537269,373703,,261851,248217,253418,157557,,84920,,128240,,137336,,,45147,66154,46674,58793,52411,39931,35485,,25756,21068,,16340,16171,14185,,9315,,12047,7443,,,,,4434,,,,,,,10830,,
