Date,Global,US,GB,PH,AU,CA,MY,IE,NO,SG,NZ,ID,DK,SE,BE,NL,AR,PT,CZ,AE,ZA,BR,IS,SK,PL,KR,LT,CH,EE,LV,AT,FI,CY,TW,MT,HK,LU,HU,GR,RO,VN,CR,BG,SA,EG,HN,NI
2020/04/02,6515805,1986719,961239,202156,389947,265268,80277,125156,92853,56665,81231,,78051,,45083,,,,28295,7383,16129,,7458,11410,,,6165,,4860,6386,,,1909,,3873,,2566,,,,,,,,,,
2020/04/09,6282262,1951469,941664,185753,370439,268349,63367,117147,86184,51167,82299,,68552,,,,,,26911,7016,15767,,6804,10636,,,6188,,5135,6287,,,1880,,4030,,2523,,,,,,,,,,
2020/04/16,6208250,1897815,980677,185797,363820,259131,59076,122053,84829,48981,81847,,65902,,43477,,,,26226,7318,15695,,6837,10022,,,6016,,4851,6211,,,1974,,4186,,2409,,,,,,,,,,
2020/04/23,6311398,1890930,1011961,186917,382725,252231,59048,126297,89074,48816,87688,,67541,,44344,,,,26912,6981,16275,,7024,10268,,,6083,,4565,6220,,,1895,,4456,,2558,,,,,,,,,,
2020/04/30,6220273,1862484,971701,186968,381371,238580,53926,134418,87360,46453,85078,,67399,,43735,,,,26694,6514,15454,,7193,10549,,,6276,,4705,6098,,,2137,,4457,,2690,,,,,,,,,,
2020/05/07,5989885,1763217,921467,180315,371562,223361,52836,131571,87120,43082,81134,,65815,,42712,,,,26512,6144,14890,,6910,10144,,,5766,,4751,5541,,,1975,,3980,,2568,,,,,,,,,,
2020/05/14,5864558,1711509,881665,171983,357024,217568,52312,130164,86006,42494,79379,,63748,,41934,,,,26277,5922,15011,,7088,10362,,,5801,,4775,5978,,,1936,,4194,,2533,,,,,,,,,,
2020/05/21,6039862,1775203,877671,178050,367140,219369,53010,125394,84388,43514,82428,,64830,,,,,,26804,6112,15512,,6693,11044,,,6116,,5408,6298,,,1870,,4327,,2774,,,,,,,,,,
2020/05/28,5757248,1719508,702797,182331,361503,217566,47560,114689,89626,42908,87634,,63715,,44782,,,,27495,6271,15289,,6885,11070,,,6540,,5427,6239,,,2059,,4303,,2612,,,,,,,,,,
2020/06/04,5388105,1599514,634576,177777,349777,208362,53705,92341,84099,43908,88690,,,,,,,,27039,6319,15216,,6288,10912,,,6179,,4896,5489,,,1826,,4193,,,,,,,,,,,,
2020/06/11,5628065,1705519,630304,189626,337358,214268,57835,103189,84154,46184,92146,,62272,,46480,,,28344,27921,6936,15612,,6481,11119,,,6205,,4778,5642,,,1868,,4318,,2708,,,,,,,,,,
2020/06/18,5729713,1774768,630188,188296,350506,222922,58366,103622,80472,45197,93654,,,,45599,,,29167,27077,6845,14724,,6472,10383,,,5946,,4790,5447,,,1872,,3955,,2710,,,,,,,,,,
2020/06/25,5618667,1764149,606132,192618,341120,211754,59086,98175,81870,48277,94209,,,,42591,,,27803,,6830,14918,,6978,9702,,,5639,,,,,,1957,,3809,,,,,,,,,,,,
2020/07/02,5558216,1764894,589320,188341,320889,,56848,95094,85473,46741,93894,,,,40486,,,,,6721,15228,,8067,,,,5491,,4264,4721,,,2021,,3594,,,,,,,,,,,,
2020/07/09,5472032,1655313,573557,191543,309692,,57181,88227,88237,45080,89091,,59980,,,,,,,6363,15362,,8069,,,,5639,,4831,4941,,,2004,,,,,,,,,,,,,,
2020/07/16,5735487,1762837,564990,205194,329824,222931,62140,82903,90300,48168,89296,,,,,,,,,6767,15508,,8461,,,,5841,,4830,5271,,,1924,,,,,,,,,,,,,,
2020/07/23,5719430,1741995,553900,206365,331983,,60956,76834,92051,50572,93258,,59771,,,,,,,6840,16222,,7936,,,,5782,,4488,,,,1899,,,,,,,,,,,,,,
2020/07/30,5873549,1734606,571338,216753,342420,,61941,77712,94268,50976,88912,,64929,,,,180414,,,7127,16471,,7891,,,,5810,,4616,5352,,,1882,,,,,,,,,,,,,,
2020/08/06,6150837,1846020,557376,219086,353814,225432,58919,78429,99310,50748,93354,,66045,127840,,,201852,30341,,7381,17018,,8053,,,,5647,,4909,5723,,,1861,,,,,,,,,,,,,,
2020/08/13,6124557,1841532,535535,217866,356107,227494,60063,74910,96874,50291,93166,,,123837,,,205337,30423,,,17094,,8276,,,,,,4624,5372,,,1876,,,,,,,,,,,,,,
2020/08/20,6258909,1850312,563105,222806,367836,232680,61900,76735,100420,53095,94189,,64587,128000,47983,,199092,30952,,7891,17062,,7534,,,,5430,,4632,5426,,,2018,,,,,,,,,,,,,,
2020/08/27,6290933,1833527,555621,227315,358651,233376,63170,75517,103287,53502,90726,,69519,133050,47641,,198337,30441,,7685,17450,,7684,,,,5647,,4760,5599,,,2129,,,,2614,,,,,,,,,,
2020/09/03,6344772,1845317,534150,222282,361344,233870,61561,70604,103244,51961,91224,,67100,138957,46886,,195946,31715,,7933,16988,,7502,,,,,,4610,5577,,,2294,,,,2587,,,,,,,,,,
2020/09/10,6335064,1813376,534789,226931,359972,235167,63211,69370,107789,53602,88583,,70071,142401,47642,161095,187010,32879,28508,8549,17382,,7687,,,,5725,,4816,5945,,,2512,,,,,,,,,,,,,,
2020/09/17,6333799,1828321,544017,234801,353512,246321,63294,70500,105588,52035,86028,,69550,140446,47388,,,33262,29242,8888,17672,,8066,,,,5619,,4936,6146,,,2406,,,,,,,,,,,,,,
2020/09/24,6448655,1845621,573499,244128,342091,252233,66300,71465,102294,53978,82759,,67606,137064,48495,,,32943,29794,8800,16806,,7839,10494,,,5656,,4980,5809,,,2516,,,,,,,,,,,,,,
2020/10/01,6524424,1842279,584907,253517,332703,264157,68931,74620,101489,55037,79165,,69817,137657,50929,,,33990,30766,9259,16455,,7849,10996,,,,,4772,5720,,,2358,,,,2910,,,,,,,,,,
2020/10/08,6365805,1785078,565687,235264,327680,268725,63186,69884,98730,51008,77250,,69917,135044,49523,,,33915,30254,8876,16873,,7703,,,,,,4856,,,,2312,,,,,,,,,,,,,,
2020/10/15,6359332,1790512,551013,242859,332167,259956,65450,70538,96965,49964,78079,,64402,130213,50177,,,34852,30561,8565,16351,,7025,,,,5597,,4951,5690,,,2320,,,,2892,,,,,,,,,,
2020/10/22,2950077,1832893,549835,249627,337300,270686,66451,77039,99547,50300,77247,,66266,131637,51206,,,35552,30342,9102,16559,,6941,,,,5565,50711,4991,5891,39845,,2461,,,,3818,,,,,,,,,,
2020/10/29,7078713,1921386,585235,241610,347822,276345,67529,82830,104014,53249,76607,,70028,133112,56184,172527,199046,38588,31102,,17099,,7358,11610,,,6259,45519,5347,6742,36051,,2477,,,,3504,,,,,,,,,,
2020/11/05,6651201,1760051,543065,235756,332589,260687,70925,71825,100297,54915,73171,,67495,128303,55317,,,37056,32124,9768,,,7215,11292,,,6148,43602,5234,6684,32950,,2504,,,,3182,,,,,,,,,,
2020/11/12,6629494,1793026,565105,233046,327394,259581,70287,69435,103306,54164,71324,,67741,129411,54836,,,36644,31634,9981,17170,,7427,11144,,,6396,41042,5357,6353,32628,,2481,,,,3120,,,,,,,,,,
2020/11/19,6709701,1869290,588796,243312,324200,257104,68360,71893,102056,53060,72236,,67806,127769,54811,165193,,37375,31733,9791,17770,,7102,11262,,,6737,40909,5454,6186,32668,,2446,,,,3135,,,,,,,,,,
2020/11/26,6528839,1774798,572167,253685,313401,253441,67016,67473,97125,52240,71044,,,,56008,,,36947,31206,9792,16961,,6838,,,,6328,,5264,6383,,,2300,,,,3287,,,,,,,,,,
2020/12/03,6660675,1794482,593271,260245,328537,265631,67616,70432,94426,52415,72796,,,,59348,,,37038,,9539,17260,,7552,,,,6599,,5447,6371,,,2507,,,,3143,,,,,,,,,,
2020/12/10,6713135,1877613,604461,250300,336976,267039,66505,72622,92241,51012,73017,,,,59916,,,35771,,10341,,,7553,,,,7042,,5538,6431,,,2488,,,,3143,,,,,,,,,,
2020/12/17,6254943,,543377,238325,306105,,61366,66358,,47915,68018,,,,55737,,,,33059,9269,,,,,,,6557,,,,,,2558,,,,3153,,,,,,,,,,
2020/12/24,,,499520,217464,288678,,57933,63447,,45645,64656,,,,,,,,,,,,,,,,,,,,,,2388,,,,,,,,,,,,,,
2020/12/31,5593719,,492858,209081,269415,,57803,67768,77689,45104,58876,,,,,,,,27142,9041,,,5565,9993,,,,,4720,,,,2319,,,,,,,,,,,,,,
2021/01/07,5919943,1633272,554330,223895,287733,235903,57212,71381,84086,46879,61982,,61372,106033,50048,144631,,31415,31082,9767,,,6134,10857,,,6077,,5340,5910,,,2363,,,,2700,,,,,,,,,,
2021/01/14,6285964,1753028,575290,246900,296919,250981,58007,73734,89479,50269,66440,,66761,111801,52760,155429,,33885,31970,10218,16568,,6955,11536,,,6243,,5363,6209,,,2468,,,,2983,,,,,,,,,,
2021/01/21,6339696,1714315,581502,256752,303291,253604,57326,74247,91747,50771,65421,,68937,115397,56041,160696,,35165,32011,10085,16691,,6985,11590,,,6208,,5585,6002,,,2472,,,,3023,,,,,,,,,,
2021/01/28,6185301,1677989,549099,253324,275922,248041,56226,69655,87020,50075,62539,,65515,,52010,150987,,34732,31588,10258,17539,,6661,11623,,,6033,,5320,6013,,,2657,,,,3005,,,,,,,,,,
2021/02/04,6239273,1677067,549817,251663,289854,243850,57499,69386,86895,49783,61449,,62342,111861,50835,148572,,35050,31489,10657,18087,,6582,11448,,10348,5849,,5255,5591,,,2852,,,,2921,,,,,,,,,,
2021/02/11,6022321,1612848,521608,250558,288158,238763,55173,65313,83950,49768,59405,,61794,,48041,,,33824,29439,10717,,,6302,11005,,14322,5807,,5066,5753,,,2614,,,,,,,,,,,,,,
2021/02/18,5815964,1525847,503768,244098,286961,231999,52069,62177,83889,46541,58181,,58978,,,,,34363,,10643,16989,,5990,10633,,9500,,,5015,5685,,,2681,,,,,,,,,,,,,,
2021/02/25,5690209,1525085,475397,240555,276823,227953,52835,58951,78978,47762,56111,,56590,,,,,33222,,10200,,,5686,,,8904,6052,,4473,5309,,,2457,,,,,,,,,,,,,,
2021/03/04,5661872,1533358,463197,238055,267136,227230,54254,57422,75701,47200,54466,,57276,,,,,,,9890,,,5623,,,8081,6136,,4437,,,,2456,,,,,,,,,,,,,,
2021/03/11,5681403,1556422,463485,234147,266841,229686,54052,58093,76680,47968,54636,,58329,,,,,,,10088,,,5371,,,8423,5861,,4441,,,,2345,,,,,,,,,,,,,,
2021/03/18,6197372,1673831,492528,242102,285312,242981,56050,60573,80584,48648,55604,,61410,,51219,,,36814,30287,10458,,,5449,11214,,8524,6962,,4737,5496,,,2561,,,,2793,,,,,,,,,,
2021/03/25,6128357,1627604,487380,250345,281110,237152,58739,60120,87022,50610,57028,,58942,,,,,34925,29994,10363,,,5335,10937,,9016,6937,,4854,5568,,,2697,,,,,,,,,,,,,,
2021/04/01,5906164,1601007,458211,247962,269405,237954,59665,57515,78441,50704,56526,,,,,,,33685,,9995,,,5358,,,8958,6499,,4696,5575,,,2524,,,,,,,,,,,,,,
2021/04/08,5596303,1499417,441413,235327,249545,223294,56719,54593,73724,49525,51846,,52593,,,,,32474,,9867,,,5133,9930,,9180,5875,,4461,,,,2430,,,,,,,,,,,,,,
2021/04/15,5544982,,437020,232918,245493,,53418,51750,76047,49669,51871,,,,,,,35011,,9045,,,5343,10606,,9704,,,,,,,2492,,,,,,,,,,,,,,
2021/04/22,5542926,1463595,428469,238364,252297,214557,54177,54222,75989,50769,51570,,,,,,,,,8877,,,5303,10237,,11239,,,,,,,2486,,,,,,,,,,,,,,
2021/04/29,5578170,1445874,439414,248457,252027,212382,56609,53338,77552,53180,50077,,,,,,,34948,31172,9534,,,5033,,,10279,6286,,4301,,,,2461,,,,,,,,,,,,,,
2021/05/06,5526849,,440698,250114,255502,211199,57269,53536,76062,52987,49714,,54319,,,,,,31367,9699,,,5115,,,9898,6182,,,,,,2272,,,,,,,,,,,,,,
2021/05/13,5378140,,440487,247319,255188,,50511,52436,73366,50148,49967,,,,,,,,,8686,,,4890,,,9197,,,,,,,2322,,,,,,,,,,,,,,
2021/05/20,5294368,,438222,247751,250484,,52622,51290,,49500,49505,,,,,,,,,9618,,,,,,9149,,,,,,,,,,,,,,,,,,,,,
2021/05/27,,,404857,253287,241457,,55547,47577,,49867,48133,,,,,,,,,9820,,,,,,8660,,,,,,,,,,,,,,,,,,,,,
2021/06/03,,,,246952,243440,,56050,46871,,49314,48359,,,,,,,,,9176,,,,,,9397,,,,,,,,,,,,,,,,,,,,,
2021/06/10,,,387698,253529,248838,,57284,48138,,48831,48689,,,,,,,,,9674,,,,,,9736,,,,,,,,,,,,,,,,,,,,,
2021/06/17,,,,237406,235323,,55359,44056,,44950,48043,,,,,,,,,8998,,,,,,9799,,,,,,,,,,,,,,,,,,,,,
2021/06/24,,,365830,225871,232198,,54591,43660,,44250,46087,,,,,,,,,8771,,,,,,9939,,,,,,,,,,,,,,,,,,,,,
2021/07/01,,,,224691,,,53985,,,45291,45022,,,,,,,,,,,,,,,10486,,,,,,,,,,,,,,,,,,,,,
2021/07/08,,,,222190,213405,,53007,39260,,44233,44317,,,,,,,,,,,,,,,10874,,,,,,,,,,,,,,,,,,,,,
2021/07/15,,,,220019,215476,,52598,39354,,44744,43577,,,,,,,,,,,,,,,9933,,,,,,,,,,,,,,,,,,,,,
2021/07/22,,,,212838,214092,,49105,,,42003,42291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021/07/29,,,,203848,,,49393,,,41976,40525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021/08/05,,,,208064,,,52189,,,42671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021/08/12,,,,208064,253590,,50758,,,42371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021/08/19,,,,206594,268579,,51098,,,42129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021/08/26,,,,210351,253879,,50959,,,41032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021/09/02,,,,215356,241963,,49819,,,40582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021/09/09,,,,215191,246746,,51460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021/09/16,,,,227636,243531,,49389,39675,,40072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021/09/23,,,,231796,228416,,48963,40098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021/09/30,,,,236042,221515,,49667,41311,,40556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021/10/07,,,,232695,222000,,49175,40807,,38545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021/10/14,,,,232940,224207,,50177,41136,,38867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021/10/21,,,,233364,,,49179,41741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021/10/28,,,,244975,,,52789,40200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021/11/04,,,,287335,,,60600,39876,,45226,,248019,,,,,,,,9359,,,,,,9790,,,,,,,,,,,,,,,,,,,,,
2021/11/11,5154880,,,280301,227785,,59749,41990,,45220,,,,,,,,,,8931,,,,,,9591,,,,,,,,,,,,,,,,,,,,,
2021/11/18,,,,271039,,,59457,41241,,44647,,,,,,,,,,,,,,,,9629,,,,,,,,,,,,,,,,,,,,,
2021/11/25,6124726,,390616,378059,245394,,72036,46105,,55093,,350451,,,,,,,,11870,,,,,,11456,,,,,,,,,,,,,,,,,,,,,
2021/12/02,5785269,,,352304,,,73128,44411,,52061,,314081,,,,,,,,11007,,,,,,10276,,,,,,,,,,,,,,,,,,,,,
2021/12/09,5669523,,,338622,,,72066,44293,,49509,,298937,,,,,,,,10528,,,,,,10542,,,,,,,,,,,,,,,,,,,,,
2021/12/16,,,,316092,,,69753,,,45957,,280103,,,,,,,,9934,,,,,,10274,,,,,,,,,,,,,,,,,,,,,
2021/12/23,,,,273881,,,62965,,,43587,,272144,,,,,,,,9319,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021/12/30,,,,257231,,,63723,,,42408,,258188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/01/06,,,,261508,,,67084,38975,,44935,,250572,,,,,,,,9694,,,,,,10300,,,,,,,,,,,,,,,,,,,,,
2022/01/13,,,,286437,,,69321,40371,,47287,,274528,,,,,,,,10868,,,,,,10566,,,,,,,,,,,,,,,,,,,,,
2022/01/20,,,,287651,,,69151,43601,,47784,,276300,,,,,,,,10664,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/01/27,5535445,,422725,301250,,,71982,56727,61860,48782,,280657,,,,,,,,10493,,,,,,10680,,,,,,,,,,,,,,,,,,,,,
2022/02/03,5468710,,450426,294651,,,64465,58205,,42647,,267244,,,,,,,,10454,,,,,,9740,,,,,,,,,,,,,,,,,,,,,
2022/02/10,,,,302128,,,66409,46632,,45950,,272557,,,,,,,,10386,,,,,,10936,,,,,,,,,,,,,,,,,,,,,
2022/02/17,,,,302019,,,67425,43967,,45571,,282336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/02/24,,,,311906,,,66438,42514,,46089,,280133,,,,,,,,10124,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/03/03,,,,301016,,,66752,41053,,45564,,,,,,,,,,9913,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/03/10,,,,306853,,,66761,,,46026,,,,,,,,,,9722,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/03/17,,,,299980,,,66177,,,44799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/03/24,,,,291536,,,68415,,,44440,,,,,,,,,,9340,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/03/31,,,,286776,,,70380,,,43892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/04/07,6286668,1568870,476895,315526,247195,212665,68153,58892,65520,48707,42943,,54494,,,,,,,9159,,,4993,,,12666,,,,,,,,,,,,,,,,,,,,,
2022/04/14,5935963,,436756,306249,228793,,71141,56207,,50972,,,,,,,,,,9849,,,4751,,,12669,,,,,,,,,,,,,,,,,,,,,
2022/04/21,6182191,,445514,311395,253581,208585,74545,57487,60367,53276,45354,275711,,,,,,,,10411,,,4850,,,13791,,,,,,,,,,,,,,,,,,,,,
2022/04/28,6507623,,485787,325072,306343,216587,76688,58640,,55040,51722,292812,,,,,,,,11097,,,5069,,,14334,7168,,,,,,,,,,,,,,,,,,,,
2022/05/05,6314821,,484773,314447,293793,,64444,58259,,50946,48974,,54074,,,,,,,10950,,,5202,,,13333,,,,,,,,,,,,,,,,,,,,,
2022/05/12,5804088,,454542,280138,258941,,73091,53549,,50080,42576,,,,,,,,,10926,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/05/19,5775244,,438844,314473,261348,,74857,50288,,48715,42977,,,,,,,,,11456,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/05/26,6546153,,488407,347174,275010,,83669,57555,,54393,45535,298563,,,,,,48122,,12124,,,,,,14445,,,,,,,,,,,,,,,,,,,,,
2022/06/02,,,401103,322372,235933,,78191,47050,,51778,,,,,,,,,,10663,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/06/09,,,376665,324574,229708,,80799,44467,,50165,,,,,,,,,,10502,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/06/16,,,438180,310885,218610,,76994,44846,,47443,,,,,,,,,,10320,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/06/23,,,468289,318067,228125,,82195,60965,,49056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/06/30,,,385103,301370,,,79786,50636,,48083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/07/07,,,,296550,,,76626,41598,,47052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/07/14,,,,293504,,,72055,,,44983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/07/21,,,,290402,,,70390,,,46369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/07/28,,,,296139,,,71263,,,47992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/08/04,,,,288809,,,68488,,,45260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/08/11,,,,291499,,,68282,,,44731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/08/18,,,,280399,,,66530,,,46603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/08/25,,,,288097,,,71095,,,47363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/09/01,,,,289731,,,70309,43540,,47975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/09/08,,,,302415,,,74270,41852,,48514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/09/15,,,,311989,,,71547,,,48390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/09/22,,,,,,,66088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/09/29,,,,295217,,,69589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/10/06,,,,,,,68805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/10/13,,,,,,,66273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/10/20,,,,,,,68543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/11/17,,,,,,,74137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/11/24,,,,,,,,,,47619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/12/01,,,,,,,72444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/03/02,,,,,340478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/03/09,,,,,329064,,,,,,54415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/03/23,,,,,,,,,,51698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/06/15,,,,,,,,67059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
