Date,Global,US,GB,DE,CA,NL,AU,PL,SE,IT,IE,DK,FR,BE,CH,NZ,AT,NO,ES,HU,CZ,PT,SG,SK,FI,GR,RO,PH,LT,LV,HK,IS,AE,MY,EE,LU,ZA,CL,BG,CY,RU,MT,CR,TW,KR,UA,VN,PA
2022/11/24,,2300679,424540,465271,431102,181590,,,,,65741,67391,,,,,62234,,,,,,,,,,,,,6985,,5895,,,6039,,,,,,,,,,,,,
2022/12/01,9026031,3867793,937380,976787,537264,250646,,200658,182949,,126464,123239,,,82590,49978,108280,86773,,31721,,,,22262,,,,,11691,11797,,10911,,,8823,6973,,,,4576,,,,,,,,
2022/12/08,13538987,4737283,1892666,1275006,724598,552672,455149,524423,205694,,215262,158187,,118612,137269,96778,155734,120570,,52012,64500,57624,,40154,,,34063,,19127,15162,,15885,13881,,11950,13046,,,9966,6176,,,,,,,,
2022/12/15,15811537,5833856,2224912,1239655,851834,837628,562447,707151,229138,,266443,154664,,153036,155874,120078,139282,129216,,61105,75538,58073,51805,45432,51163,,37521,,22628,17775,,18578,18085,,12586,10762,,,10205,7279,,,,,,,,
2022/12/22,19650972,7261476,2606682,1408924,1146935,909866,874766,893336,274911,339902,317639,175562,,187740,167855,175574,167920,152205,,94550,92074,85625,62981,55955,84563,49053,47146,,24904,20212,27362,23609,20721,,14244,12473,,,12160,8957,,,,,,,,
2022/12/29,24826186,7366036,3558534,2194019,1449449,1428416,1428485,730718,320498,510016,413664,187382,411618,328963,266651,270420,230092,128062,480744,133185,72363,148757,85359,44525,113882,64644,49049,,34779,29101,39562,20239,31301,,18702,18654,57792,,17992,13281,,,,,,,,
2023/11/16,,,,,,,,,,,,75124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/11/23,,2841394,616779,,446604,216126,,,,,88571,127686,,,,,55042,,,,,,,,,,,,,,,7983,,,,4415,,,,,,,,,,,,
2023/11/30,11687559,5192749,1146380,859449,654470,347659,,279036,179476,,152336,256449,,88970,104781,,115249,97866,,45962,72770,,,33282,,,39936,,16876,14722,,11268,,,10922,9875,,,12233,6644,,,,,,,,
2023/12/07,18388500,6258237,2517708,1448441,983812,710285,471056,650990,291966,424496,259898,339426,575327,186040,199380,107022,198575,169486,,98866,126722,84154,54511,58847,59997,74264,58392,,30147,23240,,18035,21349,,18088,18258,,,15057,8526,,,,,,,,
2023/12/14,19483130,6848047,2490732,1204760,1082018,974746,504990,742842,272813,588129,299188,274970,527027,226477,174386,122645,165683,153842,,95571,111467,82173,61342,57267,,75982,65949,,33288,24217,,19514,25923,,17072,16954,,,14752,9900,,,,,,,,
2023/12/21,23227533,8256494,2994405,1430366,1287564,1045009,722453,989885,352788,565822,367732,292558,597320,258317,204637,169815,190608,172945,,124524,135687,101540,69143,69201,77093,83663,72244,,35083,26514,33550,23032,29679,,18836,19328,,,17241,11673,,,,,,,,
2023/12/28,35714786,10302554,4856823,2712768,2019685,1835308,1520035,1266501,615332,944782,577587,396101,1431446,530404,367653,326964,327361,192671,656002,222623,156938,190445,105104,74672,121625,101715,89469,,55400,43747,52566,25997,47721,,27097,32838,92431,283925,25551,17132,,,46899,,,,,22340
