Date,Global,US,GB,AU,CA,DE,NL,ID,BR,PH,SE,FR,IT,NO,MY,IE,DK,BE,ES,SG,IN,CH,NZ,MX,TW,PL,PT,CZ,ZA,AT,FI,AR,HK,IL,TH,CO,VN,HU,AE,CL,PE,NG,SK,RO,GR,CR,SA,EC,IS,GT,LU,JP,PA,LT,EG,LV,DO,HN,EE,SV,BO,BG,UY,MA,CY,MT,NI,PY,KR,TR,UA,RU
2024/02/29,13063857,,869020,537482,496715,572092,333682,,,,179724,499646,,100716,157389,90004,121836,158207,,110072,,124129,83419,,101578,,87742,76689,95961,58596,,,41367,62553,,,,,27764,,,83046,20551,,,,,,7480,,7658,,,,,,,,,,,,,,,,,,,,,
2024/03/07,12676942,,840786,549030,467429,514065,316763,,,,153810,453900,,100697,150047,89650,117323,136047,,103971,,113839,82351,,102197,,87141,77347,98822,57632,,,42134,61203,,,,,27418,,,82620,20101,,,,,,7390,,7477,,,,,,,,,,,,,,,,,,,,,
2024/03/14,12294212,,791588,516626,448924,515711,287624,,,,154265,448881,,101558,136656,91661,108252,133269,,100963,,114262,86404,,107869,,89070,78710,100280,58802,,,42500,60341,,,,,24029,,,82402,20587,,,,,,7387,,7451,,,,,,,,,,,,,,,,,,,,,
2024/03/21,12538647,,795759,529651,453950,527371,292711,,,,161989,460757,,104935,138905,89135,111610,139368,,101135,,117264,87717,,110713,,92215,80491,103293,59925,,,44093,60304,,,,,23436,,,83847,21495,,,,,,7926,,7913,,,,,,,,,,,,,,,,,,,,,
2024/03/28,12697173,,806921,536471,465407,545643,303485,,,,166558,465259,,103088,140206,95906,111790,137823,,100216,,119779,89387,,110325,,93666,82920,106525,60800,,,42956,58123,,,,,23141,,,94240,22504,,,,,,8069,,7832,,,,,,,,,,,,,,,,,,,,,
2024/04/04,12375422,,777343,521725,456634,515184,304591,,,,159140,466329,,97153,143090,93680,103830,134091,,99453,,110203,84762,,104351,,88668,75203,103237,57140,,,39038,59410,,,,,22919,,,92925,,,,,,,7656,,7495,,,,,,,,,,,,,,,,,,,,,
2024/04/11,12947180,,772158,530481,481098,522156,293005,,,,150409,486319,,110261,139155,95801,106685,138063,,103823,,111059,90034,,107300,,96965,80068,114476,56116,,,44686,62781,,,,,23741,,,99032,21809,,,,,,8188,,7534,,19234,,,,,,,,,,,,,,,,,,,
2024/04/18,12940195,,776105,536756,496151,531597,302389,,,,159727,481543,,113855,144904,99231,104840,142609,,106646,,114577,91023,,115275,,92619,77882,113663,54939,,,46706,62365,,,,,23209,,,93331,,,,,,,8181,,7539,,18624,,,,,,,,,,,,,,,,,,,
2024/04/25,11827647,,695829,482414,432201,,276583,,,,153965,475965,,109985,137882,87984,99717,133525,,93743,,111387,79559,,98036,,82428,73849,109155,52244,,,40683,49799,,,,,23354,,,96283,,,,,,,7149,,7028,,,,,,,,,,,,,,,,,,,,,
2024/05/02,11886928,,707077,481485,460596,,266053,,,,,482079,,111392,139414,86521,99040,139658,,90696,,109317,80546,,96486,,81937,72555,109904,,,,40733,48176,,,,,25198,,,98104,,,,,,,7590,,7268,,,,,,,,,,,,,,,,,,,,,
2024/05/09,12128163,,727645,500806,459854,,272552,,,,151113,470730,,108370,148213,93627,95024,136635,,94734,,109030,84762,,98707,,87633,71527,111795,53191,,,40626,50845,,,,,26561,,,102246,,,,,,,7409,,7209,,,,,,,,,,,,,,,,,,,,,
2024/05/16,11603804,,699774,499747,453022,,254180,,,,,434454,,97873,141404,88905,86675,126636,,90694,,98078,83971,,96197,,82947,66354,108401,,,,40164,45322,,,,,24579,,,99573,,,,,,,7249,,6839,,,,,,,,,,,,,,,,,,,,,
2024/05/23,12127465,,719806,498991,451762,,278125,,,,,461233,,91057,141544,89440,90075,132988,,88635,,105295,84429,,100923,,89964,70759,113396,54000,,,40586,52535,,,,,25312,,,103091,,,,,,,7557,,7152,,,,,,,,,,,,,,,,,,,,,
2024/05/30,12333245,,733466,525086,469042,,289850,,,,,475655,,100047,149625,93303,92283,139305,,93740,,110642,85935,,103315,,88898,71120,114887,,,,41721,57217,,,,,26534,,,104601,,,,,,,7815,,7369,,,,,,,,,,,,,,,,,,,,,
2024/06/06,11798703,,694150,504097,450754,,271315,,,,,,,99044,147435,89590,87322,138009,,93972,,105798,83113,,104592,,83470,73102,116432,52297,,,42659,53051,,,,,25792,,,100687,,,,,,,7470,,7460,,,,,,,,,,,,,,,,,,,,,
2024/06/13,12146253,,695148,505021,461310,,276753,,,,,,,101792,155870,86031,93950,145731,,95638,,106249,84231,,108693,,82448,74190,118721,54844,,,42706,48705,,,,,26557,,,111228,,,,,,,7760,,7492,,,,,,,,,,,,,,,,,,,,,
2024/06/20,10978576,,663602,471731,425745,,253364,,,,,,,90498,134741,82526,83849,134516,,82740,,91380,77584,,95644,,80728,68329,105094,,,,39335,49770,,,,,21656,,,107058,,,,,,,,,6607,,,,,,,,,,,,,,,,,,,,,
2024/06/27,10849174,,659202,466861,412032,,238500,,,,,,,92556,136751,83207,,119115,,86611,,93941,76846,,97148,,76262,,104843,,,,39032,51964,,,,,22826,,,101671,,,,,,,,,6627,,,,,,,,,,,,,,,,,,,,,
2024/07/04,10807146,,669525,471301,415854,,242789,,,,,,,88922,133927,78204,,113854,,87522,,90522,77284,,89200,,75119,,104885,,,,36203,50773,,,,,23249,,,101009,,,,,,,,,6506,,,,,,,,,,,,,,,,,,,,,
2024/07/11,11071455,,682068,478273,418652,,249369,,,,,414424,,92836,137803,84090,82527,117704,,89588,,89395,80282,,89200,,79459,64993,103157,,,,37124,56792,,,,,22880,,,109497,,,,,,,,,6755,,,,,,,,,,,,,,,,,,,,,
2024/07/18,10802244,,651548,457680,403568,,253560,,,,,,,88455,133729,81355,78991,117375,,87648,,87583,76388,,85747,,76676,,105468,,,,35031,53129,,,,,21154,,,110229,,,,,,,,,6655,,,,,,,,,,,,,,,,,,,,,
2024/07/25,10632623,,643248,447870,407694,,232401,,,,,,,84893,130788,77966,73660,109913,,86672,,81629,74827,,78320,,75803,,108845,,,,34503,51199,,,,,20550,,,113882,,,,,,,,,6619,,,,,,,,,,,,,,,,,,,,,
2024/08/01,11147103,,679690,477355,418225,,225829,,,,,,,91288,137891,83658,78543,113129,,86986,,82093,78124,,86632,,76984,68877,114443,,,,34950,49410,,,,,21589,,,115559,,,,,,,,,6457,,,,,,,,,,,,,,,,,,,,,
2024/08/08,11320023,,685992,496236,410583,,238143,,,,,404633,,94197,137276,82801,83102,118482,,89047,,85521,80963,,90093,,75684,69498,119054,,,,37608,46968,,,,,21335,,,115607,,,,,,,,,6282,,,,,,,,,,,,,,,,,,,,,
2024/08/15,11703672,,711305,498040,427449,,254575,,,,143877,417965,,100371,143679,89657,86378,126841,,87126,,94833,82947,,91840,,75693,72452,119365,54532,,,39062,48823,,,,,23156,,,117558,,,,,,,7699,,6391,,,,,,,,,,,,,,,,,,,,,
2024/08/22,10982140,,631099,466679,402468,,244601,,,,,411917,,90485,130308,79576,82806,118349,,87741,,95676,76666,,90406,,,,114205,,,,38431,54724,,,,,22004,,,117882,,,,,,,,,5921,,,,,,,,,,,,,,,,,,,,,
2024/08/29,10964569,,627007,473099,404542,,249090,,,,,421494,,96352,133212,82492,83722,121216,,85048,,97807,77719,,87894,,,65468,117473,,,,38501,47221,,,,,22152,,,,,,,,,,,,6109,,,,,,,,,,,,,,,,,,,,,
2024/09/05,10656663,,634436,448311,385287,,250966,,,,,403686,,95262,128050,88342,79611,114681,,81886,,94193,76542,,81339,,,,113259,,,,36668,45949,,,,,22205,,,,,,,,,,6978,,5689,,,,,,,,,,,,,,,,,,,,,
2024/09/12,11269697,,673930,471312,415310,,267469,,,,145186,433621,,100032,135586,90361,84631,121916,,87513,,101837,79334,,90615,,,66086,121619,,,,38052,50719,,,,,24108,,,121766,,,,,,,7059,,6109,,,,,,,,,,,,,,,,,,,,,
2024/09/19,11966881,,716894,494575,446974,524535,286346,,,,158649,467876,,106122,143442,92553,91119,133991,,91953,,112062,83463,,99060,,74714,69940,125323,56087,,,40475,52886,,,,,25222,,,124085,,,,,,,7508,,6957,,,,,,,,,,,,,,,,,,,,,
2024/09/26,11519631,,686889,472027,429803,,281763,,,,157399,450865,,104622,137040,87544,90621,126721,,88000,,104967,79743,,90208,,78508,71106,117559,52846,,,38351,46915,,,,,24398,,,128946,,,,,,,7382,,6848,,,,,,,,,,,,,,,,,,,,,
2024/10/03,11866530,,718970,474145,440750,524104,292640,,,,165856,468100,,105251,141101,90822,94677,131930,,91128,,105790,83391,,88341,,81484,71702,119153,54681,,,38562,44182,,,,,25349,,,128854,,,,,,,7475,,7371,,,,,,,,,,,,,,,,,,,,,
2024/10/10,12261726,,754030,494094,470166,530094,305402,,,,175039,487670,,111046,144383,93446,100328,138390,,92911,,108721,85872,,100062,,80837,75881,126747,57484,,,43089,43874,,,,,27353,,,127106,,,,,,,7867,,7942,,,,,,,,,,,,,,,,,,,,,
2024/10/17,11059003,,690203,457821,418614,,272553,,,,154128,431674,,95661,124333,83148,88128,123711,,81421,,98485,76512,,88139,,73960,68570,115867,51586,,,38501,38672,,,,,24056,,,,,,,,,,6851,,6876,,,,,,,,,,,,,,,,,,,,,
2024/10/24,10773978,,665684,456584,413612,,259183,,,,141283,,,89944,119869,79195,87675,118172,,77750,,90626,77043,,,,71360,68633,114550,49905,,,38518,,,,,,23410,,,,,,,,,,6558,,7008,,,,,,,,,,,,,,,,,,,,,
2024/10/31,10584404,,654404,449612,403217,,252392,,,,141249,,,83512,119013,75970,89668,115906,,75285,,92505,72082,,,,69839,,115963,,,,37465,42762,,,,,23058,,,,,,,,,,,,6885,,,,,,,,,,,,,,,,,,,,,
