Date,Global,US,ID,PH,MY,BR,AU,CA,GB,IN,SG,ZA,NZ,TH,DE,MX,NL,FR,PT,DK,SE,NO,VN,CL,KR,AE,PE,TW,BE,AR,CH,ES,IE,CO,HK,DO,IL,CR,AT,SA,PL,PA,GT,EC,RO,CZ,FI,HU,HN,GR,BO,MA,PY,SV,LT,IS,SK,EG,LU,LV,UY,CY,NI,BG,UA,EE,NG
2021/04/15,23116338,6013044,1720758,1445780,434138,1788065,974435,751952,950320,1143494,303071,85957,315453,304286,669641,789058,433037,358759,149578,217395,249845,234504,102795,280109,37712,48068,166416,108109,122703,262582,117148,343289,106183,114485,58555,49449,53864,59366,62320,37274,149331,39879,52090,48687,31207,41557,50392,33264,23777,39796,30732,22269,37597,26438,16777,14211,21091,15310,10108,10883,18677,8036,11908,10051,18228,8512,
2021/04/22,22376153,6041483,1523578,1489340,403936,1699360,943537,718306,906670,1006950,286936,84905,307694,278939,637368,896852,372916,329388,143616,207119,262255,221287,98693,250857,40163,44053,161331,108947,113239,251532,106160,331403,104157,114691,55164,49484,59063,57723,63477,23620,141843,33278,49581,46111,31706,40215,51837,33183,23232,38556,29487,18609,35932,25910,17040,13635,20985,12808,9525,11148,18000,7991,11833,10003,17776,8253,
2021/04/29,21553565,5916187,1505674,1437418,388839,1511819,907279,694845,920206,910398,290127,84894,281126,264176,616488,870260,308833,318154,139141,203854,256903,209510,94680,228909,39282,43976,148851,108944,112580,235351,101261,309924,107339,109078,54606,45231,63468,48344,59892,23287,143301,29396,45876,43089,31549,39890,49990,33786,22101,38926,25820,18547,33319,24082,17373,15558,20079,13733,10017,11375,16735,7532,11185,9696,19103,8129,
2021/05/06,19220863,5334342,1393239,1287830,357502,1308929,843491,629959,823512,783385,262991,74828,254187,223525,526093,805047,276011,281938,125495,183124,233087,156789,75962,206772,34662,38717,131249,99591,97762,207148,89258,,91964,87762,50288,39512,54568,40607,48748,20536,,25996,41045,38435,25076,35182,42464,29577,19124,28295,23477,16223,28799,21380,15905,14341,17050,12638,8314,10105,14382,6174,9635,7359,,7312,
2021/05/13,17476239,4863118,1158074,1138705,302699,1220519,794498,594704,768576,682095,221991,71460,235227,205499,507162,771656,264016,272236,114544,133956,224726,126732,71287,202005,29668,35821,120886,87339,89195,193530,80577,,76827,89430,41332,36303,40988,39691,44437,19339,,24649,40206,37524,23326,33198,,26611,17536,25964,21670,14799,28214,19746,13900,12547,15798,12378,8062,9393,13810,5726,9058,7457,,6545,
2021/05/20,16652106,4782229,1147716,1082855,300512,1134631,708614,596073,722623,594593,200252,71273,225759,193882,453858,728655,249399,266364,114215,112833,189048,110938,71563,188843,26754,39019,109654,70921,87244,182402,74556,,70986,82281,38497,32891,35800,38010,39939,43705,,23851,37113,35923,22712,31927,,24604,16514,25301,19854,15534,24331,18709,11792,10097,14686,14800,7452,8582,12277,5353,8568,6868,,5799,
2021/05/27,14659346,4278106,1150086,939610,295352,980023,618256,506650,609428,512202,180970,64704,202489,173475,,,219261,,100617,104557,142778,102088,64992,161156,25164,33819,101910,59940,76744,,65641,,60151,77018,34335,27860,39230,32032,34904,26417,,20588,,,19974,,,21060,14784,,17719,13718,,16671,8721,8235,12073,12357,6106,6921,,4365,7927,,,,
2021/06/03,13728362,4006278,1066969,901599,269117,908612,576103,484427,552178,465109,170774,63498,185883,167786,,,193993,,97714,96491,,95353,63437,,24536,32410,100270,57844,70976,,60999,,56654,75004,33200,24553,37525,28739,,22840,,18546,,,17700,,,,14392,,16311,12590,,15850,9126,7860,11236,11477,6083,6672,,4163,7187,,,,
2021/06/10,12816838,3745763,1109819,859771,250832,851229,530386,461810,468405,429401,161464,59882,174436,159702,,,179082,,89107,83340,,86859,56673,,24501,30155,89053,55567,66206,,54869,,47706,,30974,23976,36002,25898,,20871,,16245,,,,,,,12838,,,11595,,,9145,7435,,10625,5661,6698,,3771,6500,,,,
2021/06/17,12201339,3681404,1019799,814027,252927,844991,488939,438936,426853,415380,149987,58559,161323,153084,,,165300,,75058,72981,,80851,50434,,23942,28544,85051,49163,60245,,48826,,42924,,28741,22237,34459,25156,,22854,,15544,,,,,,,11851,,,11717,,,8129,6794,,,5044,5804,,3788,6203,,,,
2021/06/24,11765750,3664366,950245,778134,251322,780524,463506,423853,417060,403989,144634,54052,149838,148904,,,164992,,73384,65313,,76829,49203,,25764,26848,76220,43117,60245,,45619,,40859,,27944,20471,32794,23280,,20899,,15224,,,,,,,11165,,,,,,8086,6398,,,4776,,,3567,5648,,,,
2021/07/01,11408608,3533292,970446,741893,246023,740250,407088,423181,421889,386919,141338,51564,141503,142899,,,,,68289,59072,,,48858,,30503,25292,,42671,54747,,42340,,,,27058,18905,,21955,,17742,,14516,,,,,,,10436,,,,,,6870,,,,4493,,,3462,,,,,
2021/07/08,10733910,3323093,873210,705157,231874,702123,385916,393376,381708,359915,137342,51317,136476,134746,,,,,68138,55075,,,44645,,27585,23791,,41301,48234,,40259,,,,27362,18193,,,,16803,,13916,,,,,,,,,,,,,7098,5455,,,4341,,,3470,,,,,
2021/07/15,10082121,3228462,790868,685073,220930,,364369,383108,353496,340960,130766,46470,136719,125205,,,,,63257,53497,,,42800,,24719,22013,,39983,44456,,,,,,25964,16500,,,,15738,,12571,,,,,,,,,,,,,6930,,,,3923,,,3235,,,,,
2021/07/22,9537038,3121140,759481,661011,196474,,351322,358692,,318109,120813,47030,130664,119114,,,,,57274,,,,43668,,21718,19103,,,,,,,,,22807,15688,,,,13793,,11536,,,,,,,,,,,,,,,,,3523,,,2961,,,,,
2021/07/29,8832945,2871240,757509,606051,193366,,327587,331936,,290608,113705,43779,119670,105502,,,,,54114,,,,40109,,19296,19238,,,,,,,,,,14571,,,,17447,,,,,,,,,,,,,,,,,,,3109,,,2736,,,,,
2021/08/05,8483046,2759486,775746,560322,195106,,322539,311314,,283165,106244,45012,115492,102470,,,,,51062,,,,39171,,17435,18265,,,,,,,,,,13081,,,,,,,,,,,,,,,,,,,,,,,2872,,,2596,,,,,
2021/08/12,8049008,2669011,744988,560322,180869,,325912,315857,,,105311,45242,109518,84562,,,,,49945,,,,38430,,16778,17297,,,,,,,,,,13114,,,,,,,,,,,,,,,,,,,,,,,2991,,,2517,,,,,
2021/08/19,7826908,2652260,691608,417538,176810,,313256,309967,,,102745,44706,102865,81021,,,,,47557,,,,38228,,15914,17038,,,,,,,,,,13052,,,,,,,,,,,,,,,,,,,,,,,2713,,,,,,,,
2021/08/26,7686174,2598186,697874,406073,176151,,302849,302500,,,98646,44035,94439,83534,,,,,45092,,,,38324,,15413,17202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2853,,,2431,,,,,
2021/09/02,7454420,2496394,707484,403381,170829,,291227,286840,,,92561,43822,85479,86627,,,,,42135,,,,39561,,14356,17030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2886,,,,,,,,
2021/09/09,7102072,2409245,636524,392604,165610,,280222,268575,,,89423,42283,82129,79569,,,,,41208,,,,37645,,13688,16623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021/09/16,7005873,2402816,563803,380007,155707,,274973,285738,,,85646,41052,82090,77339,,,,,40495,,,,36911,,13091,16529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021/09/23,6536464,2208063,546704,371030,154729,,250297,263753,,,85046,37790,79750,78559,,,,,34823,,,,35961,,10557,15623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021/09/30,6435773,2185001,535729,371515,162702,,239220,262977,,,78836,35604,79539,79048,,,,,34141,,,,35098,,11558,15332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021/10/07,6284226,2085015,517958,367065,168488,,233461,254179,,,75738,37735,74695,73472,,,,,34404,,,,37198,,11472,15397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021/10/14,6189796,2030165,509383,360711,166920,,240806,250131,,,74189,35612,72814,70005,,,,,35030,,,,38074,,10980,15362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021/10/21,5910937,1924821,472871,353000,157371,,235759,242258,,,71442,32722,66377,65975,,,,,35028,,,,35593,,10846,15243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021/10/28,5917780,1932233,484534,354451,167792,,235539,241606,,,71280,32602,65836,64518,,,,,,,,,35553,,10660,14791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021/11/04,5630130,1830596,473782,340797,162449,,225630,230745,,,69192,32803,63910,63954,,,,,,,,,33595,,10386,14882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021/11/11,5628116,1839767,466036,339871,160884,,226906,232043,,,69429,31794,63831,61176,,,,,,,,,32631,,10933,14844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021/11/18,,1792372,452979,316989,152059,,,,,,66147,31802,60948,59632,,,,,,,,,,,10310,14077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021/11/25,5462889,1763441,454561,329656,149978,,,221843,,,67099,31558,61401,61732,,,,,,,,,,,10081,15134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021/12/02,5779540,1850963,462446,339709,158623,,,249073,,,72818,32694,65258,66793,,,,,,,,,33850,,11064,15396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021/12/09,6355518,2117591,500216,370978,172289,,261607,265870,,,85608,36310,72133,72414,,,,,,,,,37986,,11864,16412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021/12/16,5958130,1916582,461139,340954,163049,,,,,,72689,33265,64990,67877,,,,,,,,,36157,,11062,15178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021/12/23,5712476,1787677,456397,316072,148648,,,,,,70267,32215,63087,69253,,,,,,,,,34890,,11328,15035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021/12/30,,1647707,440881,311311,150559,,,,,,67753,30573,57082,69404,,,,,,,,,33411,,11402,14719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/01/06,5368892,1675243,440175,299663,152964,,,208950,,,67266,30801,54023,64633,,,,,,,,,32533,,12874,14539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/01/13,5679397,1753916,462503,292435,153661,,,224735,,,69229,33479,55236,67719,,,,,,,,,34404,,13475,15664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/01/20,5492419,1674999,481148,283271,150166,,,211757,,,67690,31581,53485,64346,,,,,,,,,33984,,12098,14079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/01/27,,1639302,465429,278241,149468,,,,,,64115,30193,51644,64174,,,,,,,,,,,12011,13332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/02/03,,1613520,448996,277416,140064,,,,,,58085,31091,50046,62538,,,,,,,,,,,10802,13036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/02/10,,1621691,447618,285982,141881,,,,,,61373,31284,48544,63519,,,,,,,,,,,11548,13218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/02/17,,1614055,439817,281093,141240,,,,,,60449,31401,49815,63120,,,,,,,,,,,11542,12714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/02/24,,,424619,273555,133691,,,,,,58683,30135,46829,62703,,,,,,,,,,,12243,12231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/03/03,,,411657,270979,124741,,,,,,58134,31370,46241,60263,,,,,,,,,,,12251,12062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/03/10,,,401185,281692,116651,,,,,,56258,29098,44919,57342,,,,,,,,,,,11549,11422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/03/17,,,383434,268470,106627,,,,,,55489,30761,43763,,,,,,,,,,,,12623,11076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/03/24,,,376050,260917,110609,,,,,,53177,30126,42962,,,,,,,,,,,,12758,10798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/03/31,,,348780,255966,112076,,,,,,52829,30001,42676,,,,,,,,,,,,12381,10381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/04/07,,,326794,263871,99034,,,,,,51463,28890,43340,52174,,,,,,,,,,,12964,9321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/04/14,,,318880,250964,96829,,,,,,51125,28251,42942,,,,,,,,,,,,13815,9770,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/04/21,,,325056,248129,99324,,,,,,51718,25962,40982,54054,,,,,,,,,,,15370,10089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/04/28,,,347145,266054,105476,,,,,,55809,28979,41583,57738,,,,,,,,,,,17792,10039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/05/05,,,312852,260467,96052,,,,,,53579,31134,42786,61364,,,,,,,,,,,18861,10953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/05/12,,,328447,239381,97599,,,,,,53589,32478,40846,57204,,,,,,,,,,,16246,10888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/05/19,,,333621,261199,101775,,,,,,51894,30325,40657,,,,,,,,,,,,15714,10963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/05/26,,,336058,261268,104297,,,,,,53313,30449,40470,,,,,,,,,,,,14008,11073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/06/02,,,343787,263997,105760,,,,,,53212,31524,,,,,,,,,,,,,,11087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/06/09,,,352198,,112690,,,,,,52749,32098,,,,,,,,,,,,,,11075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/06/16,,,343854,,106974,,,,,,50720,31587,38840,,,,,,,,,,,,,11345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/06/23,,,353369,266239,109051,,,,,,50964,30758,,,,,,,,,,,,,,11790,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/06/30,,,343872,256372,106494,,,,,,52513,37552,40400,,,,,,,,,,,,,12042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/07/07,,,337050,253673,102434,,,,,,53178,31749,40115,,,,,,,,,,,,,11169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/07/14,,,311646,,102052,,233453,,557663,,51506,44486,50959,,,,,,,,,,,,,11339,,,,,,,45105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19763
2022/07/21,,,309786,,103705,,235360,246629,571003,,54962,48288,50639,66771,,,,,,,,,,,,11637,,,,,,,47255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17779
2022/07/28,,,315931,,107120,,,,447516,,57608,46089,47376,73482,,,,,,,,,,,,11944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15305
2022/08/04,,,316177,,108323,,,,393374,,57906,45474,47146,66587,,,,,,,,,,,,11576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/08/11,,,,,107704,,,,,,57446,44727,47684,73138,,,,,,,,,,,,11186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/08/18,,,,,109746,,,,,,58197,41723,46335,70484,,,,,,,,,,,,11708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/08/25,,,,,114747,,,,379739,,58589,44046,48347,,,,,,,,,,,,,12370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/09/01,,,,,113046,,,,,,57573,43535,48642,,,,,,,,,,,,,11921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/09/08,,,,,119504,,,,,,55237,41730,45548,76592,,,,,,,,,,,,12452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/09/15,,,,,111434,,,,,,54684,38285,45478,,,,,,,,,,,,,12713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/09/22,,,,,102252,,,,,,51354,35600,44686,,,,,,,,,,,,,12422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/09/29,,,,,104001,,,,,,53455,35603,,,,,,,,,,,,,,12395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/10/06,,,,,104062,,,,,,51725,36877,44910,,,,,,,,,,,,,12475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/10/13,,,,,106918,,,,,,52478,38834,45019,,,,,,,,,,,,,12217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/10/20,,,,,110238,,,,,,50903,37506,,,,,,,,,,,,,,12300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/10/27,,,,,112604,,,,,,48693,36497,,,,,,,,,,,,,,11899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/11/03,,,,,108612,,,,,,49173,40598,,,,,,,,,,,,,,11723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/11/10,,,,,112703,,,,,,,38833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/11/17,,,,,116228,,,,,,50751,39919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/11/24,,,,,103914,,,,,,48607,34566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/12/01,,,,,116247,,,,,,49703,35810,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/12/08,,,,,119392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/12/15,,,,,119541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/12/22,,,,,116308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/12/29,,,,,110879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/01/05,,,,,104016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/01/12,,,,,108654,,,,,,47300,34172,,,,,,,,,,,,,20532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/01/19,,,,,118257,,,,,,52604,34429,,,,,,,,,,,,,26690,14183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/01/26,,,,,110328,,,,,,41806,36049,,,,,,,,,,,,,32239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/02/02,,,,,102663,,,,,,,35942,,,,,,,,,,,,,29489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/02/09,,,,,95708,,,,,,,,,,,,,,,,,,,,35284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/02/16,,,,,125719,,,,,,,43784,,,,,,,,,,,,,30495,13451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/02/23,,,,,124509,,,,,,,40971,,,,,,,,,,,,,29633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/03/02,,,,,121833,,,,,,52988,41029,,,,,,,,,,,,,32257,,,62285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/03/09,,,,,105760,,,,,,,43557,,,,,,,,,,,,,28292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/03/16,,,,,105826,,,,,,,44932,,,,,,,,,,,,,28460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/03/23,,,,,97359,,,,,,,49778,,,,,,,,,,,,,27555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/03/30,,,,,97784,,,,,,,46593,,,,,,,,,,,,,29603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/04/06,,,,,109716,,,,,,50724,46227,,,,,,,,,,,,,30867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/04/13,,,,,111897,,,,,,47734,46485,,,,,,,,,,,,,29233,11890,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/04/20,,,,,110189,,,,,,,43467,,,,,,,,,,,,,28466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/04/27,,,,,91080,,,,,,,45621,,,,,,,,,,,,,26460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/05/04,,,,,106539,,,,,,,46258,,,,,,,,,,,,,23940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/05/11,,,,,108538,,,,,,,48509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/05/18,,,,,110424,,,,,,,47287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/05/25,,,,,107248,,,,,,,49440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/06/01,,,,,106844,,,,,,,47491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
