Date,Global,US,GB,DE,CA,NL,AU,PL,SE,IT,IE,DK,FR,BE,CH,NZ,AT,NO,ES,HU,CZ,PT,SG,SK,FI,GR,RO,PH,LT,LV,HK,IS,AE,MY,EE,LU,ZA,CL,BG,CY,RU,MT,CR,TW,KR,UA,VN,PA
2021/12/30,"19 (18,046,271)","15 (4,950,262)","17 (2,483,707)","30 (1,656,182)","9 (1,158,467)","15 (1,114,729)","14 (1,019,226)","56 (379,696)","95 (218,122)","96 (429,718)","14 (275,673)","83 (123,714)","63 (662,378)","15 (308,508)","16 (234,505)","19 (190,447)","29 (145,856)","129 (86,043)","152 (327,513)","26 (96,953)","112 (49,050)","53 (81,923)","39 (101,139)","79 (29,802)","92 (58,857)","108 (47,145)","83 (30,895)","162 (234,872)","22 (26,953)","20 (20,829)","70 (52,050)","65 (12,144)","41 (23,807)","144 (59,250)","26 (14,455)","11 (17,452)","54 (50,881)",--,"51 (11,601)","31 (8,713)",--,--,--,--,"97 (15,835)",--,--,--
2022/11/17,--,--,--,--,"123 (302,965)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2022/11/24,--,"97 (2,300,679)","179 (424,540)","160 (465,271)","72 (431,102)","149 (181,590)",--,--,--,--,"99 (65,741)","177 (67,391)",--,--,--,--,"75 (62,234)",--,--,--,--,--,--,--,--,--,--,--,--,"198 (6,985)",--,"161 (5,895)",--,--,"170 (6,039)",--,--,--,--,--,--,--,--,--,--,--,--,--
2022/12/01,"96 (9,026,031)","37 (3,867,793)","43 (937,380)","54 (976,787)","43 (537,264)","89 (250,646)",--,"182 (200,658)","135 (182,949)",--,"37 (126,464)","99 (123,239)",--,--,"57 (82,590)","192 (49,978)","33 (108,280)","170 (86,773)",--,"173 (31,721)",--,--,--,"103 (22,262)",--,--,--,--,"126 (11,691)","74 (11,797)",--,"77 (10,911)",--,--,"89 (8,823)","49 (6,973)",--,--,--,"188 (4,576)",--,--,--,--,--,--,--,--
2022/12/08,"59 (13,538,987)","40 (4,737,283)","21 (1,892,666)","36 (1,275,006)","34 (724,598)","38 (552,672)","64 (455,149)","35 (524,423)","118 (205,694)",--,"20 (215,262)","80 (158,187)",--,"56 (118,612)","32 (137,269)","45 (96,778)","28 (155,734)","128 (120,570)",--,"97 (52,012)","105 (64,500)","146 (57,624)",--,"42 (40,154)",--,--,"148 (34,063)",--,"62 (19,127)","55 (15,162)",--,"65 (15,885)","171 (13,881)",--,"55 (11,950)","22 (13,046)",--,--,"161 (9,966)","130 (6,176)",--,--,--,--,--,--,--,--
2022/12/15,"49 (15,811,537)","42 (5,833,856)","18 (2,224,912)","41 (1,239,655)","30 (851,834)","18 (837,628)","42 (562,447)","21 (707,151)","96 (229,138)",--,"18 (266,443)","77 (154,664)",--,"38 (153,036)","23 (155,874)","37 (120,078)","30 (139,282)","106 (129,216)",--,"56 (61,105)","73 (75,538)","143 (58,073)","147 (51,805)","31 (45,432)","175 (51,163)",--,"121 (37,521)",--,"39 (22,628)","33 (17,775)",--,"49 (18,578)","104 (18,085)",--,"38 (12,586)","35 (10,762)",--,--,"147 (10,205)","88 (7,279)",--,--,--,--,--,--,--,--
2022/12/22,"27 (19,650,972)","19 (7,261,476)","16 (2,606,682)","35 (1,408,924)","16 (1,146,935)","16 (909,866)","20 (874,766)","16 (893,336)","89 (274,911)","193 (339,902)","17 (317,639)","72 (175,562)",--,"27 (187,740)","23 (167,855)","17 (175,574)","24 (167,920)","86 (152,205)",--,"38 (94,550)","61 (92,074)","77 (85,625)","90 (62,981)","27 (55,955)","87 (84,563)","193 (49,053)","89 (47,146)",--,"34 (24,904)","29 (20,212)","173 (27,362)","39 (23,609)","81 (20,721)",--,"37 (14,244)","24 (12,473)",--,--,"101 (12,160)","61 (8,957)",--,--,--,--,--,--,--,--
2022/12/29,"18 (24,826,186)","15 (7,366,036)","15 (3,558,534)","24 (2,194,019)","15 (1,449,449)","12 (1,428,416)","10 (1,428,485)","21 (730,718)","75 (320,498)","89 (510,016)","13 (413,664)","66 (187,382)","165 (411,618)","15 (328,963)","18 (266,651)","13 (270,420)","19 (230,092)","92 (128,062)","120 (480,744)","20 (133,185)","94 (72,363)","33 (148,757)","54 (85,359)","30 (44,525)","58 (113,882)","140 (64,644)","82 (49,049)",--,"16 (34,779)","14 (29,101)","101 (39,562)","35 (20,239)","40 (31,301)",--,"20 (18,702)","19 (18,654)","97 (57,792)",--,"42 (17,992)","29 (13,281)",--,--,--,--,--,--,--,--
2023/11/16,--,--,--,--,--,--,--,--,--,--,--,"165 (75,124)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2023/11/23,--,"94 (2,841,394)","100 (616,779)",--,"78 (446,604)","140 (216,126)",--,--,--,--,"66 (88,571)","69 (127,686)",--,--,--,--,"109 (55,042)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,"119 (7,983)",--,--,--,"134 (4,415)",--,--,--,--,--,--,--,--,--,--,--,--
2023/11/30,"67 (11,687,559)","28 (5,192,749)","31 (1,146,380)","78 (859,449)","35 (654,470)","59 (347,659)",--,"116 (279,036)","129 (179,476)",--,"32 (152,336)","41 (256,449)",--,"85 (88,970)","47 (104,781)",--,"38 (115,249)","122 (97,866)",--,"133 (45,962)","102 (72,770)",--,--,"57 (33,282)",--,--,"160 (39,936)",--,"71 (16,876)","42 (14,722)",--,"76 (11,268)",--,--,"48 (10,922)","38 (9,875)",--,--,"162 (12,233)","131 (6,644)",--,--,--,--,--,--,--,--
2023/12/07,"34 (18,388,500)","22 (6,258,237)","18 (2,517,708)","40 (1,448,441)","20 (983,812)","20 (710,285)","78 (471,056)","33 (650,990)","78 (291,966)","157 (424,496)","20 (259,898)","38 (339,426)","79 (575,327)","30 (186,040)","19 (199,380)","49 (107,022)","22 (198,575)","78 (169,486)",--,"46 (98,866)","42 (126,722)","135 (84,154)","166 (54,511)","27 (58,847)","196 (59,997)","182 (74,264)","64 (58,392)",--,"26 (30,147)","22 (23,240)",--,"51 (18,035)","121 (21,349)",--,"21 (18,088)","16 (18,258)",--,--,"118 (15,057)","99 (8,526)",--,--,--,--,--,--,--,--
2023/12/14,"28 (19,483,130)","17 (6,848,047)","15 (2,490,732)","46 (1,204,760)","14 (1,082,018)","11 (974,746)","67 (504,990)","23 (742,842)","81 (272,813)","80 (588,129)","17 (299,188)","46 (274,970)","113 (527,027)","20 (226,477)","21 (174,386)","43 (122,645)","23 (165,683)","75 (153,842)",--,"44 (95,571)","55 (111,467)","125 (82,173)","115 (61,342)","26 (57,267)",--,"183 (75,982)","57 (65,949)",--,"22 (33,288)","16 (24,217)",--,"54 (19,514)","74 (25,923)",--,"24 (17,072)","19 (16,954)",--,--,"118 (14,752)","73 (9,900)",--,--,--,--,--,--,--,--
2023/12/21,"18 (23,227,533)","12 (8,256,494)","14 (2,994,405)","41 (1,430,366)","14 (1,287,564)","11 (1,045,009)","36 (722,453)","16 (989,885)","58 (352,788)","112 (565,822)","13 (367,732)","42 (292,558)","81 (597,320)","16 (258,317)","19 (204,637)","25 (169,815)","22 (190,608)","65 (172,945)",--,"31 (124,524)","41 (135,687)","89 (101,540)","75 (69,143)","28 (69,201)","131 (77,093)","156 (83,663)","50 (72,244)",--,"22 (35,083)","16 (26,514)","170 (33,550)","49 (23,032)","53 (29,679)",--,"23 (18,836)","16 (19,328)",--,--,"81 (17,241)","53 (11,673)",--,--,--,--,--,--,--,--
2023/12/28,"12 (35,714,786)","10 (10,302,554)","10 (4,856,823)","23 (2,712,768)","11 (2,019,685)","9 (1,835,308)","12 (1,520,035)","11 (1,266,501)","38 (615,332)","46 (944,782)","11 (577,587)","32 (396,101)","20 (1,431,446)","9 (530,404)","15 (367,653)","9 (326,964)","20 (327,361)","53 (192,671)","86 (656,002)","14 (222,623)","35 (156,938)","30 (190,445)","35 (105,104)","21 (74,672)","77 (121,625)","115 (101,715)","27 (89,469)",--,"12 (55,400)","11 (43,747)","66 (52,566)","40 (25,997)","25 (47,721)",--,"13 (27,097)","11 (32,838)","122 (92,431)","175 (283,925)","36 (25,551)","26 (17,132)",--,--,"151 (46,899)",--,--,--,--,"156 (22,340)"
