Date,Global,US,GB,DE,CA,NL,SE,AU,IT,PL,NO,FR,ES,DK,PH,MX,IE,JP,BE,AT,CH,FI,NZ,CZ,BR,HU,SG,PT,MY,GR,TW,SK,HK,CL,TH,RO,ID,VN,IS,CR,PE,LT,ZA,GT,RU,LV,KR,AE,EC,UA,EE,LU,AR,BG,PA,DO,HN,CY,SV,CO,MT,TR,KZ,BY,BO,VE,NI,IN,SA,UY,PY,EG,AD
2016/12/08,"23 (11,049,693)","39 (2,931,445)","5 (2,047,238)","25 (892,341)","34 (383,400)","24 (527,880)","10 (803,325)","55 (262,262)","36 (230,593)","12 (146,770)","9 (549,129)","162 (128,822)","77 (211,733)","10 (409,775)","86 (186,422)",--,"9 (146,636)",--,"37 (61,139)","10 (68,459)","42 (46,099)","45 (152,612)","42 (92,112)","20 (29,650)",--,"24 (22,866)","64 (50,802)","50 (38,915)","88 (34,699)","27 (11,692)","92 (26,654)","20 (9,833)","56 (27,700)",--,--,--,"135 (38,601)",--,"11 (20,648)",--,--,"43 (7,343)",--,"141 (6,195)",--,"36 (7,353)",--,--,--,--,"51 (5,378)","24 (4,342)",--,"49 (4,011)","97 (6,277)","140 (6,571)","144 (4,845)","28 (1,715)","174 (3,466)",--,"22 (6,310)",--,--,--,--,--,"197 (1,507)",--,--,--,--,--,--
2016/12/15,"24 (11,811,635)","40 (3,058,717)","4 (2,118,683)","20 (906,319)","36 (391,519)","5 (819,924)","11 (785,103)","47 (324,185)","23 (289,070)","10 (161,605)","7 (528,501)","127 (157,294)","60 (233,211)","13 (350,756)","78 (203,158)",--,"6 (155,070)",--,"19 (92,632)","11 (68,012)","33 (53,703)","39 (161,769)","34 (106,959)","19 (31,927)",--,"20 (24,985)","57 (58,739)","33 (53,420)","73 (40,569)","25 (11,393)","81 (30,509)","15 (10,969)","44 (34,024)",--,--,--,"136 (38,636)",--,"10 (20,890)",--,--,"36 (7,905)",--,"141 (6,312)",--,"49 (6,872)",--,--,--,--,"46 (5,649)","22 (4,666)",--,"54 (3,621)","91 (6,963)","126 (6,864)","113 (5,690)","28 (1,736)","162 (3,812)",--,"23 (6,025)",--,--,--,--,--,"175 (1,659)",--,--,--,--,--,--
2016/12/22,"13 (14,529,735)","26 (3,385,667)","2 (2,429,337)","11 (1,232,765)","19 (455,026)","4 (810,328)","6 (1,016,208)","27 (507,073)","10 (400,164)","2 (236,124)","3 (663,399)","66 (275,843)","51 (384,282)","12 (398,600)","59 (253,375)","194 (230,214)","3 (181,201)",--,"8 (125,024)","2 (93,122)","15 (77,372)","17 (235,595)","23 (147,077)","6 (45,129)",--,"5 (41,789)","46 (78,907)","19 (82,969)","56 (52,524)","17 (13,776)","56 (42,928)","4 (15,931)","19 (48,212)",--,--,--,"102 (51,902)",--,"7 (25,146)","105 (18,513)","121 (33,240)","22 (10,172)",--,"97 (8,634)",--,"15 (10,837)",--,--,"130 (13,176)",--,"24 (8,271)","11 (6,363)",--,"31 (4,980)","70 (8,879)","99 (8,766)","87 (6,677)","20 (2,076)","112 (5,017)","175 (26,806)","11 (8,411)","156 (31,243)",--,--,"190 (3,323)",--,"106 (2,343)",--,--,--,--,--,--
2016/12/29,"11 (15,085,920)","30 (2,857,510)","1 (2,420,534)","2 (1,610,377)","10 (484,584)","3 (871,543)","6 (883,257)","9 (673,528)","7 (456,263)","5 (190,448)","5 (469,408)","26 (400,924)","18 (687,809)","11 (325,658)","42 (432,283)","177 (225,845)","3 (161,780)",--,"1 (169,305)","3 (96,671)","3 (103,959)","19 (212,537)","9 (188,012)","6 (39,416)",--,"2 (48,384)","26 (106,929)","17 (81,175)","48 (59,764)","9 (15,685)","43 (50,233)","5 (13,199)","6 (57,846)",--,--,--,"77 (55,500)",--,"11 (15,962)","85 (20,196)","89 (41,742)","10 (12,556)",--,"76 (10,272)",--,"6 (12,540)",--,--,"113 (15,069)",--,"16 (9,242)","3 (8,336)",--,"15 (5,611)","66 (9,477)","75 (10,961)","81 (7,233)","6 (2,551)","112 (5,009)","192 (24,427)","11 (7,804)","78 (48,376)",--,--,"144 (3,792)",--,"76 (2,943)",--,--,--,--,--,--
2017/01/05,--,--,--,--,--,--,--,--,--,--,"181 (60,916)",--,"53 (284,172)",--,--,--,--,--,"124 (25,341)",--,--,--,--,--,--,--,"181 (21,463)","122 (17,408)",--,"114 (4,220)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2017/11/02,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"142 (5,283)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2017/11/09,--,--,"175 (303,447)",--,--,"158 (151,771)",--,--,--,--,"140 (89,085)",--,--,"76 (111,811)",--,--,"179 (26,326)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"59 (10,982)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2017/11/16,"164 (3,821,572)","142 (1,478,324)","86 (463,382)",--,"128 (198,006)","108 (186,661)","83 (191,796)",--,--,"135 (48,185)","52 (177,048)",--,--,"50 (162,559)",--,--,"90 (40,235)",--,--,"133 (18,324)",--,--,--,--,--,"153 (7,593)",--,--,--,"152 (3,994)",--,"147 (3,681)",--,--,--,--,--,--,"15 (18,690)",--,--,"176 (2,537)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"175 (1,718)",--,--,--,--,--,--,--,--,--,--,--,--
2017/11/23,"82 (6,130,250)","58 (2,443,743)","47 (728,166)","132 (348,028)","58 (304,053)","81 (254,285)","36 (433,110)","198 (145,532)",--,"52 (90,333)","33 (292,087)",--,--,"24 (248,515)",--,--,"49 (68,618)","193 (21,677)","164 (26,513)","61 (31,601)",--,"137 (61,954)",--,"128 (12,929)",--,"91 (11,001)",--,--,--,"73 (6,879)",--,"120 (4,463)",--,--,--,--,--,--,"13 (19,182)",--,--,"108 (3,543)",--,--,--,"164 (3,165)",--,--,--,--,"119 (3,558)","129 (2,098)",--,"129 (2,427)",--,--,--,"82 (1,112)",--,--,"90 (2,728)",--,--,--,--,--,--,--,--,--,--,--,--
2017/11/30,"25 (11,641,888)","19 (4,531,340)","19 (1,345,263)","33 (888,519)","34 (458,409)","45 (491,008)","14 (748,017)","68 (285,314)","111 (175,227)","19 (152,603)","16 (429,599)",--,"199 (135,718)","6 (384,465)","182 (141,812)",--,"23 (126,202)","56 (44,270)","41 (75,112)","15 (76,812)","53 (54,788)","65 (101,536)","70 (67,392)","23 (38,478)",--,"26 (26,384)","116 (47,072)","83 (30,904)","164 (33,609)","17 (17,946)","180 (20,339)","26 (12,897)","91 (23,338)",--,"149 (9,842)",--,--,--,"9 (23,568)",--,--,"24 (8,674)",--,--,--,"43 (8,338)",--,--,--,--,"41 (7,188)","33 (5,211)",--,"32 (5,647)",--,--,--,"25 (2,333)",--,--,"24 (6,658)",--,--,--,--,--,--,--,--,--,--,--,--
