Date,Global,US,GB,DE,CA,NL,SE,AU,IT,PL,NO,FR,ES,DK,PH,MX,IE,JP,BE,AT,CH,FI,NZ,CZ,BR,HU,SG,PT,MY,GR,TW,SK,HK,CL,TH,RO,ID,VN,IS,CR,PE,LT,ZA,GT,RU,LV,KR,AE,EC,UA,EE,LU,AR,BG,PA,DO,HN,CY,SV,CO,MT,TR,KZ,BY,BO,VE,NI,IN,SA,UY,PY,EG,AD
2020/12/31,"4 (23,235,257)","7 (5,071,065)","2 (3,111,519)","8 (1,589,604)","1 (1,225,813)","1 (1,315,342)","34 (348,344)","7 (947,859)","13 (897,853)","17 (346,669)","18 (257,771)","31 (749,293)","44 (802,717)","56 (127,988)","15 (749,352)","142 (686,056)","2 (321,791)","51 (505,821)","1 (309,068)","12 (104,413)","1 (222,174)","55 (82,012)","42 (116,601)","20 (66,645)",--,"5 (79,886)","9 (159,289)","27 (88,922)","37 (104,039)","30 (64,515)","74 (93,485)","36 (22,602)","8 (89,198)","160 (189,501)","60 (109,901)","20 (34,839)","200 (191,852)","145 (35,708)","11 (15,751)","129 (30,136)","150 (88,458)","8 (21,098)","16 (52,839)","192 (30,688)","9 (275,017)","1 (23,417)",--,"9 (35,555)","150 (36,677)","10 (59,998)","27 (13,687)","1 (16,448)",--,"19 (13,306)","132 (14,579)","142 (15,457)","137 (12,790)","2 (11,818)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,"28 (1,578)"
2021/01/07,--,--,--,--,--,--,--,--,--,--,--,--,"199 (221,218)",--,--,--,--,--,"143 (47,915)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"151 (68,811)",--,--,--,--,"101 (17,380)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2021/11/04,--,"107 (1,794,474)","155 (389,287)",--,"155 (233,144)","118 (225,879)",--,--,--,--,--,--,--,"124 (66,701)",--,--,"88 (58,724)",--,--,"149 (36,410)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"92 (7,544)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2021/11/11,"107 (6,622,750)","58 (2,399,478)","71 (583,318)","142 (456,003)","64 (349,466)","81 (290,325)","139 (144,045)",--,--,--,"78 (101,080)",--,--,"48 (126,745)",--,--,"53 (80,758)",--,"126 (60,390)","68 (57,625)","180 (44,905)","153 (43,665)",--,--,--,"171 (22,302)",--,--,--,--,--,--,--,--,--,--,--,--,"29 (13,742)",--,--,"197 (6,121)",--,--,--,"171 (6,193)","122 (11,518)",--,--,--,"108 (6,175)","149 (3,284)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2021/11/18,"82 (8,932,970)","74 (2,895,155)","56 (749,653)","56 (813,377)","32 (613,173)","55 (373,760)","67 (223,110)",--,--,"132 (201,545)","50 (156,245)",--,--,"20 (209,109)",--,--,"40 (114,415)",--,"74 (78,602)","26 (101,597)","59 (71,997)","101 (52,518)",--,"89 (48,279)",--,"86 (32,780)","167 (48,050)",--,--,"176 (29,480)",--,"74 (20,291)",--,--,--,"121 (20,873)",--,--,"7 (19,997)","177 (25,217)",--,"154 (7,071)",--,--,--,"150 (6,316)","86 (14,550)",--,--,--,"111 (6,253)","59 (5,204)",--,--,--,--,--,"196 (2,978)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2021/11/25,"41 (13,419,806)","28 (4,163,696)","29 (1,195,609)","21 (1,541,888)","18 (768,123)","52 (483,284)","23 (480,098)","83 (341,560)","197 (272,287)","91 (280,157)","21 (295,030)",--,--,"8 (313,716)",--,--,"15 (181,560)","190 (194,575)","60 (117,422)","9 (162,431)","26 (125,682)","45 (94,432)","113 (56,688)","45 (74,228)",--,"49 (50,842)","91 (64,979)","101 (55,921)",--,"101 (46,120)",--,"46 (27,127)",--,--,--,"77 (28,393)",--,--,"8 (26,127)","165 (27,436)",--,"54 (13,963)",--,--,--,"74 (9,264)","60 (19,430)","100 (12,959)",--,--,"43 (10,829)","27 (8,677)",--,"138 (7,201)",--,--,--,"68 (5,606)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2021/12/02,"9 (24,176,108)","6 (5,939,362)","2 (2,591,996)","1 (3,248,413)","7 (1,082,521)","22 (780,077)","1 (1,218,799)","20 (741,898)","71 (554,935)","16 (634,495)","2 (747,455)","90 (552,468)","124 (380,007)","3 (680,027)","154 (264,947)",--,"3 (305,284)","83 (317,637)","15 (196,720)","1 (361,706)","2 (280,782)","6 (187,789)","19 (143,665)","15 (197,067)",--,"13 (105,470)","45 (93,844)","20 (117,358)","139 (60,294)","48 (68,743)",--,"6 (62,251)","101 (35,324)",--,"124 (69,047)","16 (50,301)",--,"77 (59,778)","2 (40,243)","114 (33,783)",--,"12 (27,208)","184 (25,105)",--,--,"5 (24,491)","42 (29,636)","33 (23,416)",--,--,"6 (21,803)","7 (17,353)",--,"24 (14,754)","114 (17,795)","172 (14,645)","176 (12,537)","30 (7,699)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2021/12/09,"4 (30,344,322)","5 (6,927,290)","2 (3,481,017)","1 (3,372,077)","1 (1,349,533)","6 (1,283,725)","1 (1,162,441)","9 (1,023,514)","15 (1,173,194)","5 (1,104,314)","2 (764,399)","56 (852,104)","58 (684,445)","3 (621,178)","98 (367,739)",--,"1 (398,469)","59 (437,184)","11 (313,632)","1 (337,334)","1 (312,860)","3 (213,003)","7 (203,369)","5 (222,592)",--,"7 (148,190)","18 (126,848)","14 (133,609)","81 (89,747)","44 (77,902)","128 (60,450)","3 (80,791)","53 (57,834)",--,"75 (102,544)","3 (68,490)",--,"55 (79,285)","2 (45,490)","108 (35,206)",--,"5 (35,446)","79 (36,638)","164 (43,470)",--,"3 (28,133)","16 (42,353)","16 (33,086)",--,"149 (33,410)","5 (23,724)","1 (22,454)",--,"13 (17,726)","80 (23,191)","176 (16,766)","139 (15,217)","12 (10,739)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2021/12/16,"3 (32,175,593)","2 (7,859,265)","2 (3,697,625)","2 (3,269,724)","1 (1,375,025)","3 (1,495,238)","1 (1,140,317)","6 (1,166,967)","34 (980,988)","5 (1,070,760)","2 (788,305)","43 (957,108)","67 (591,304)","3 (565,722)","57 (492,788)","188 (750,095)","2 (424,590)","53 (503,403)","3 (388,096)","2 (292,262)","1 (329,092)","4 (224,312)","3 (244,608)","2 (230,985)",--,"6 (161,759)","12 (156,292)","15 (126,078)","51 (116,437)","44 (81,441)","98 (75,106)","21 (82,541)","40 (72,949)",--,"76 (98,596)","5 (66,513)",--,"55 (80,602)","2 (48,278)","103 (35,601)",--,"7 (33,236)","48 (45,918)","163 (44,613)","186 (139,557)","4 (26,656)","13 (48,695)","10 (37,632)","184 (41,622)","86 (40,942)","10 (21,402)","1 (24,706)",--,"13 (18,827)","72 (22,208)","161 (17,471)","134 (16,128)","9 (11,702)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2021/12/23,"1 (41,518,285)","3 (9,434,493)","2 (4,648,683)","2 (4,486,795)","2 (1,804,152)","2 (1,705,455)","2 (1,560,439)","1 (1,707,047)","13 (1,316,364)","4 (1,362,069)","5 (963,595)","23 (1,171,717)","41 (891,269)","2 (709,958)","22 (842,236)","133 (874,241)","2 (575,175)","39 (748,046)","1 (475,159)","2 (427,144)","1 (416,498)","4 (398,061)","1 (351,016)","2 (341,441)",--,"1 (275,589)","5 (211,328)","4 (184,104)","23 (157,648)","41 (91,972)","50 (113,881)","11 (118,608)","15 (110,435)",--,"61 (119,994)","3 (85,724)","199 (242,969)","31 (100,250)","1 (60,913)","81 (41,115)","180 (101,009)","5 (44,152)","30 (60,412)","117 (52,936)","160 (156,340)","1 (39,813)","5 (66,009)","6 (45,919)","113 (55,733)","53 (55,557)","5 (29,222)","1 (28,505)",--,"5 (23,471)","63 (23,622)","137 (18,680)","120 (17,117)","5 (14,755)","195 (18,337)",--,--,--,--,--,--,--,--,--,--,--,--,--,--
2021/12/30,"1 (38,691,349)","3 (7,043,075)","2 (3,965,859)","2 (4,428,763)","3 (1,621,420)","1 (1,924,122)","2 (865,884)","1 (1,889,094)","5 (1,523,209)","9 (795,457)","4 (484,497)","4 (1,502,555)","26 (1,176,624)","3 (410,358)","19 (891,437)","70 (1,145,345)","2 (444,126)","29 (932,595)","1 (610,110)","2 (351,280)","1 (465,136)","4 (217,432)","1 (349,861)","2 (186,243)","161 (948,708)","1 (222,583)","3 (240,175)","1 (204,278)","24 (170,368)","36 (92,474)","27 (152,222)","7 (65,221)","7 (133,800)","63 (408,173)","52 (147,746)","8 (65,402)","173 (260,379)","50 (79,356)","1 (30,113)","52 (55,222)","79 (146,550)","5 (42,673)","12 (109,677)","87 (61,122)","54 (239,778)","2 (36,650)","6 (66,681)","6 (50,582)","75 (69,380)","42 (64,304)","8 (22,657)","1 (29,640)",--,"4 (22,800)","49 (29,708)","73 (23,433)","79 (20,185)","2 (16,389)","168 (20,371)",--,--,--,--,--,"88 (25,784)",--,"92 (12,134)",--,--,--,--,--,--
2022/01/06,--,--,--,--,--,--,--,--,--,--,--,--,"138 (320,744)",--,--,--,--,--,"99 (70,833)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"54 (205,917)","134 (6,618)","148 (11,776)",--,--,"40 (59,369)",--,--,--,--,--,--,--,"123 (3,516)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2022/11/03,--,"149 (1,890,892)","150 (458,497)",--,"162 (259,817)","146 (189,207)",--,--,--,--,"159 (75,887)",--,--,"122 (73,527)",--,--,"91 (67,290)",--,--,"175 (39,145)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"62 (8,654)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2022/11/10,"118 (8,569,420)","74 (3,086,564)","64 (781,902)","145 (508,264)","65 (474,365)","71 (307,823)","99 (179,331)",--,--,"177 (213,275)","66 (129,692)",--,--,"46 (156,966)",--,--,"53 (94,231)",--,"139 (69,848)","53 (74,470)","140 (55,753)","117 (63,975)",--,"176 (45,722)",--,"156 (35,333)",--,--,--,--,--,"139 (17,638)",--,--,--,--,--,--,"32 (16,123)",--,--,--,--,--,--,"196 (7,432)","152 (22,966)",--,--,--,"126 (7,417)","126 (4,297)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2022/11/17,"54 (12,137,477)","37 (4,221,549)","32 (988,718)","47 (952,460)","11 (857,473)","49 (387,728)","52 (274,482)","112 (328,054)",--,"74 (328,149)","40 (194,585)",--,--,"21 (241,382)",--,--,"22 (140,128)",--,"53 (94,868)","16 (124,611)","42 (88,348)","84 (75,358)","193 (49,665)","59 (68,025)",--,"90 (44,978)","141 (57,300)","165 (51,355)",--,"138 (51,078)",--,"64 (25,004)",--,--,--,"94 (40,092)",--,--,"11 (19,006)","170 (35,259)",--,"93 (13,379)",--,--,--,"101 (9,488)","103 (27,042)","170 (13,208)",--,--,"44 (11,253)","45 (6,984)",--,"165 (8,668)",--,--,--,"132 (5,580)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2022/11/24,"18 (18,916,682)","12 (5,621,588)","10 (1,570,520)","5 (2,162,440)","5 (1,076,779)","23 (604,606)","3 (831,635)","55 (450,906)","152 (351,129)","13 (665,510)","6 (475,013)","189 (321,845)",--,"2 (420,320)",--,--,"5 (232,143)","131 (303,288)","28 (138,473)","1 (252,126)","17 (140,813)","23 (159,174)","61 (75,219)","17 (142,422)",--,"37 (74,545)","68 (75,468)","79 (70,499)",--,"86 (71,410)",--,"16 (47,439)",--,--,--,"37 (57,945)",--,"156 (58,685)","2 (27,377)","166 (36,042)",--,"9 (33,815)",--,--,--,"8 (24,890)","72 (36,933)","92 (17,782)",--,--,"10 (23,700)","17 (12,106)",--,"74 (11,690)",--,--,--,"49 (8,348)",--,--,--,--,--,"146 (13,958)",--,--,--,--,--,--,--,--,--
2022/12/01,"5 (27,676,347)","4 (7,993,722)","1 (2,813,928)","2 (3,246,604)","5 (1,195,184)","13 (756,967)","1 (1,227,901)","10 (851,122)","77 (598,712)","10 (655,705)","1 (793,893)","76 (558,289)","129 (419,416)","2 (626,271)","155 (425,170)",--,"1 (366,511)","82 (396,325)","12 (192,093)","1 (347,044)","2 (267,091)","13 (206,720)","8 (161,115)","3 (215,624)",--,"11 (128,735)","36 (105,252)","28 (124,297)","176 (76,539)","55 (111,565)",--,"4 (71,133)","95 (40,236)",--,--,"25 (75,663)",--,"110 (74,782)","1 (42,084)","142 (38,671)",--,"9 (36,121)","199 (33,870)",--,--,"3 (32,696)","35 (56,868)","26 (30,349)",--,--,"5 (27,505)","3 (20,160)",--,"16 (19,196)","162 (17,755)",--,"187 (17,178)","16 (12,740)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2022/12/08,"1 (37,016,166)","5 (9,246,348)","2 (4,368,962)","1 (3,896,056)","5 (1,456,601)","2 (1,293,786)","1 (1,163,102)","3 (1,285,537)","19 (1,239,727)","2 (1,225,782)","2 (893,740)","31 (846,425)","51 (880,081)","3 (670,641)","100 (556,722)","166 (1,096,838)","1 (492,365)","54 (547,709)","2 (340,345)","1 (433,434)","1 (372,312)","9 (248,885)","1 (258,523)","2 (277,097)",--,"5 (179,148)","22 (139,587)","14 (172,314)","92 (115,204)","59 (116,287)","108 (79,088)","2 (107,886)","43 (68,403)",--,"164 (105,312)","14 (93,210)",--,"70 (113,698)","1 (52,511)","91 (53,571)",--,"7 (44,716)","100 (50,790)","131 (67,783)",--,"2 (35,782)","27 (77,507)","13 (42,601)",--,"196 (25,911)","4 (28,674)","1 (29,439)",--,"16 (26,414)","53 (32,319)","140 (24,989)","115 (23,122)","13 (15,098)",--,--,--,--,--,--,--,"190 (17,795)",--,--,--,--,--,--,--
2022/12/15,"1 (41,921,397)","6 (10,737,172)","2 (4,755,529)","1 (4,438,236)","4 (1,672,675)","1 (1,757,958)","1 (1,242,557)","1 (1,451,195)","13 (1,244,755)","2 (1,504,600)","3 (857,305)","16 (1,028,372)","51 (801,796)","3 (623,928)","65 (692,555)","134 (1,212,605)","1 (560,317)","35 (814,883)","1 (453,277)","1 (428,357)","1 (453,431)","10 (258,091)","1 (293,723)","1 (319,880)",--,"4 (204,322)","10 (168,257)","14 (171,207)","61 (143,594)","57 (107,969)","65 (106,928)","2 (119,856)","21 (90,196)",--,"117 (126,516)","8 (98,840)",--,"54 (121,158)","1 (58,485)","87 (52,098)",--,"4 (51,477)","90 (61,436)","121 (69,127)",--,"2 (40,503)","13 (88,221)","7 (54,970)","194 (56,003)","111 (33,470)","3 (28,907)","1 (30,106)",--,"9 (27,443)","66 (29,063)","162 (25,114)","105 (24,268)","8 (17,171)",--,--,--,--,"167 (15,703)","170 (13,007)",--,"188 (17,334)",--,--,--,--,--,--,--
2022/12/22,"1 (48,156,836)","4 (12,407,937)","2 (5,093,993)","1 (4,815,844)","3 (2,087,493)","1 (1,800,845)","2 (1,352,834)","1 (1,961,237)","9 (1,468,467)","2 (1,650,655)","3 (894,165)","14 (1,147,055)","44 (1,047,096)","4 (635,330)","45 (894,230)","87 (1,582,287)","2 (618,941)","11 (1,143,622)","1 (510,484)","1 (489,743)","1 (456,216)","3 (360,465)","1 (385,546)","1 (369,903)",--,"2 (281,466)","8 (194,053)","8 (227,237)","53 (159,532)","53 (120,156)","50 (144,056)","2 (141,097)","21 (101,194)",--,"92 (160,441)","6 (117,025)",--,"72 (114,100)","1 (64,833)","77 (53,624)",--,"3 (53,776)","46 (77,300)","115 (75,988)",--,"2 (43,310)","16 (91,447)","6 (55,725)","138 (70,696)","91 (36,908)","3 (30,456)","2 (32,644)",--,"8 (28,586)","68 (29,523)","161 (24,153)","106 (25,333)","5 (19,211)",--,--,--,--,"155 (16,273)","187 (13,181)",--,"180 (18,576)",--,--,--,--,--,--,--
2022/12/29,"1 (57,651,756)","4 (11,569,029)","2 (5,976,806)","1 (6,388,597)","3 (2,404,223)","1 (2,558,343)","2 (1,380,451)","1 (2,710,826)","3 (2,114,810)","2 (1,423,526)","4 (693,910)","3 (1,856,785)","17 (1,697,039)","3 (582,597)","22 (1,166,678)","68 (1,810,174)","2 (700,699)","10 (1,396,977)","1 (766,797)","1 (569,844)","1 (646,173)","2 (367,835)","1 (511,030)","1 (308,634)","94 (1,567,343)","1 (341,448)","3 (241,906)","2 (344,210)","44 (197,446)","38 (151,587)","13 (228,402)","2 (118,046)","16 (135,472)","61 (558,637)","56 (233,005)","5 (117,039)",--,"72 (114,306)","1 (49,522)","37 (87,940)","85 (212,924)","3 (68,597)","11 (180,259)","59 (113,923)",--,"2 (58,048)","14 (97,914)","3 (78,365)","71 (112,200)","55 (54,744)","3 (35,379)","1 (45,272)",--,"2 (39,634)","39 (41,687)","74 (35,743)","56 (37,495)","3 (27,464)","114 (33,678)",--,--,--,"95 (23,109)","75 (22,198)","73 (37,734)","126 (26,264)","66 (21,648)",--,"161 (17,177)","177 (22,918)",--,--,--
2023/01/05,--,--,--,--,--,--,--,--,--,--,"136 (78,268)",--,"103 (482,811)",--,--,--,"150 (46,932)",--,"59 (96,083)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"174 (4,831)",--,--,--,--,--,--,"90 (10,131)",--,--,--,"36 (65,946)",--,--,--,--,--,--,--,"83 (7,182)",--,--,--,--,"74 (27,026)","78 (20,504)",--,--,--,--,--,--,--,--,--
2023/10/19,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"187 (5,750)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2023/10/26,--,--,--,--,--,--,--,--,--,--,--,--,--,"187 (58,872)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2023/11/02,--,"182 (2,163,785)","143 (529,848)",--,"132 (354,118)","79 (255,193)","98 (174,829)",--,--,--,"49 (138,838)",--,--,"65 (102,543)",--,--,"119 (68,986)",--,"152 (70,032)","117 (53,464)","163 (53,446)","196 (54,385)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"83 (8,527)",--,--,--,--,--,--,--,--,--,--,--,"138 (7,391)","175 (4,059)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2023/11/09,"65 (11,713,143)","40 (3,876,756)","24 (961,847)","67 (781,781)","25 (649,004)","36 (436,322)","49 (239,000)","147 (334,732)",--,"146 (248,027)","17 (222,023)",--,--,"29 (206,792)",--,--,"24 (126,620)",--,"40 (115,108)","24 (99,150)","25 (106,099)","121 (71,307)",--,"155 (56,999)",--,"150 (38,420)",--,"169 (61,460)",--,--,--,"101 (22,719)",--,--,--,"167 (36,790)",--,--,"23 (16,446)","177 (41,881)",--,--,--,--,--,"164 (8,901)","150 (32,876)","177 (16,609)",--,--,"75 (8,682)","46 (6,659)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2023/11/16,"34 (14,923,197)","24 (4,524,042)","17 (1,263,747)","27 (1,167,612)","15 (849,663)","24 (508,541)","21 (374,439)","95 (396,549)",--,"75 (324,956)","11 (304,208)",--,--,"11 (300,681)",--,--,"15 (177,895)","199 (299,367)","29 (147,577)","11 (153,629)","13 (152,274)","86 (87,808)","152 (60,511)","76 (79,995)",--,"90 (52,972)","148 (58,642)","144 (68,903)",--,--,--,"48 (30,962)",--,--,--,"96 (47,985)",--,--,"14 (23,240)","124 (50,948)",--,"113 (13,699)",--,--,--,"141 (9,509)","95 (49,185)","114 (19,905)",--,--,"57 (10,907)","22 (9,552)",--,--,--,--,--,"102 (6,777)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2023/11/23,"14 (21,632,325)","13 (6,317,818)","7 (1,921,520)","12 (1,943,634)","5 (1,101,875)","17 (634,104)","8 (627,487)","51 (530,437)","127 (435,704)","14 (718,170)","6 (427,126)","136 (408,940)",--,"4 (416,598)",--,--,"5 (284,436)","122 (393,476)","15 (193,258)","3 (241,878)","5 (200,329)","48 (141,944)","51 (90,242)","23 (128,678)",--,"69 (77,214)","58 (84,220)","75 (91,584)",--,"90 (105,177)",--,"16 (50,846)","178 (32,656)",--,--,"16 (84,342)",--,"178 (113,276)","7 (32,109)","96 (56,446)",--,"14 (31,840)",--,--,--,"13 (19,574)","70 (64,955)","51 (26,359)",--,"76 (48,555)","13 (17,516)","12 (14,282)",--,"55 (18,214)",--,--,--,"29 (12,324)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2023/11/30,"2 (33,728,604)","3 (9,753,939)","3 (3,060,821)","3 (4,118,738)","3 (1,454,551)","8 (912,417)","2 (1,026,942)","20 (823,106)","51 (749,181)","6 (918,440)","2 (634,112)","42 (718,952)","125 (496,939)","2 (676,134)","158 (623,741)",--,"2 (416,872)","84 (489,189)","6 (282,391)","2 (459,032)","1 (375,026)","26 (189,203)","14 (155,157)","2 (275,445)",--,"12 (146,990)","27 (124,810)","52 (135,738)",--,"55 (152,401)",--,"4 (96,680)","90 (45,365)",--,--,"6 (124,569)",--,"155 (124,826)","6 (39,660)","77 (68,463)",--,"6 (47,516)",--,"178 (82,562)",--,"3 (35,856)","60 (74,664)","28 (36,526)",--,"52 (59,098)","3 (29,381)","2 (27,204)",--,"11 (34,526)","97 (25,257)",--,"184 (25,253)","12 (18,607)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2023/12/07,"1 (48,242,745)","3 (11,042,654)","2 (5,587,995)","1 (5,753,527)","2 (1,958,842)","1 (1,528,390)","2 (1,436,827)","3 (1,425,511)","21 (1,391,842)","2 (1,717,584)","2 (993,647)","17 (1,316,269)","47 (1,035,952)","2 (856,758)","106 (795,076)","142 (1,584,377)","4 (592,149)","59 (626,963)","1 (489,380)","2 (626,949)","1 (570,614)","13 (275,271)","2 (304,246)","1 (414,185)",--,"1 (282,316)","14 (170,726)","16 (245,631)","82 (145,317)","48 (168,191)","130 (98,389)","2 (152,433)","47 (71,922)",--,--,"2 (153,375)",--,"109 (161,905)","2 (55,396)","52 (84,273)",--,"3 (65,473)","96 (84,632)","117 (103,284)",--,"4 (45,527)","56 (79,904)","9 (64,399)","200 (72,206)","18 (85,773)","4 (37,172)","1 (41,390)",--,"14 (35,497)","33 (49,838)","105 (37,038)","93 (36,343)","4 (23,042)","156 (37,046)",--,--,--,"159 (20,385)","121 (17,399)",--,"175 (30,165)","157 (18,431)",--,--,--,--,--,--
2023/12/14,"1 (47,232,471)","3 (11,800,605)","2 (4,918,108)","1 (4,555,944)","2 (2,059,871)","1 (1,860,569)","2 (1,276,208)","3 (1,442,973)","8 (1,736,192)","2 (1,508,534)","2 (875,695)","18 (1,292,465)","48 (951,660)","2 (644,914)","73 (964,024)","123 (1,692,353)","4 (584,766)","51 (695,366)","1 (542,833)","2 (476,180)","1 (462,360)","16 (240,590)","2 (312,292)","1 (355,305)",--,"2 (237,488)","10 (187,973)","20 (225,197)","63 (160,369)","53 (155,626)","107 (104,763)","2 (134,076)","31 (85,129)",--,"191 (157,167)","8 (142,007)",--,"137 (143,435)","5 (56,521)","63 (72,267)","176 (163,564)","3 (62,315)","98 (94,687)","122 (102,290)",--,"3 (44,011)","55 (74,054)","7 (73,069)","160 (79,742)","27 (73,980)","4 (31,630)","1 (35,733)",--,"14 (31,416)","38 (43,995)","94 (37,833)","94 (35,216)","3 (23,424)","159 (36,180)",--,--,--,"62 (29,034)","151 (16,424)",--,"196 (26,349)",--,--,"199 (18,508)",--,--,--,--
2023/12/21,"1 (53,338,897)","3 (13,562,190)","2 (5,644,579)","1 (5,231,270)","2 (2,381,008)","1 (1,916,427)","2 (1,396,637)","2 (1,854,181)","11 (1,616,614)","3 (1,752,109)","2 (906,731)","12 (1,424,682)","44 (1,118,199)","4 (647,863)","52 (1,196,352)","129 (1,662,918)","3 (670,162)","25 (1,034,622)","1 (586,072)","2 (531,973)","1 (520,531)","11 (332,986)","2 (388,103)","2 (408,096)",--,"1 (298,896)","6 (207,953)","7 (274,045)","52 (183,226)","53 (161,904)","58 (143,567)","2 (155,897)","17 (112,793)","173 (287,003)","157 (176,674)","10 (142,673)",--,"136 (148,469)","5 (62,968)","63 (72,508)","146 (177,162)","4 (63,221)","68 (114,208)","108 (112,642)",--,"3 (47,430)","33 (96,773)","5 (76,741)","97 (104,751)","37 (69,057)","4 (33,517)","1 (39,213)",--,"14 (35,237)","45 (43,146)","87 (39,054)","94 (36,679)","4 (25,257)","157 (38,160)",--,--,--,"89 (24,612)","153 (16,635)",--,--,"185 (17,843)",--,--,--,--,--,--
2023/12/28,"1 (75,826,005)","3 (15,547,474)","2 (7,742,035)","2 (8,131,265)","2 (3,446,175)","2 (2,913,058)","2 (1,760,650)","1 (3,158,525)","3 (2,569,578)","2 (2,045,888)","2 (877,019)","2 (2,872,849)","13 (1,920,213)","2 (768,760)","24 (1,753,451)","62 (2,540,814)","3 (889,653)","7 (1,528,132)","1 (993,730)","2 (777,963)","2 (806,561)","4 (466,817)","1 (611,455)","2 (467,498)","78 (2,217,880)","1 (466,110)","1 (294,008)","1 (458,982)","20 (267,835)","42 (200,507)","13 (275,542)","2 (169,260)","7 (165,704)","37 (784,566)","63 (308,395)","4 (168,551)",--,"119 (161,479)","4 (57,838)","27 (122,536)","51 (322,179)","3 (89,187)","18 (285,834)","45 (167,220)",--,"3 (69,764)","22 (119,556)","2 (109,476)","37 (178,507)","10 (104,482)","3 (42,633)","1 (57,460)","151 (440,010)","9 (48,141)","24 (56,715)","53 (54,406)","50 (51,930)","2 (34,789)","104 (49,046)",--,--,--,"66 (29,155)","63 (25,365)","62 (54,318)","117 (39,394)","39 (37,099)",--,"116 (23,085)","170 (32,138)","127 (51,961)",--,--
2024/01/04,--,--,--,--,--,"163 (179,151)",--,--,"129 (377,644)",--,"61 (108,256)",--,"101 (525,067)",--,--,--,"124 (62,073)",--,"37 (138,724)",--,--,--,--,--,--,--,--,--,--,--,--,"148 (19,788)",--,--,--,--,--,--,--,--,--,"143 (13,389)",--,--,--,"37 (14,938)",--,--,--,"13 (96,815)","123 (7,600)","102 (4,951)",--,--,--,--,--,"58 (10,013)",--,--,--,--,"34 (37,560)","37 (32,284)",--,--,--,--,--,--,--,--,--
