Date,Global,US,GB,CA,AU,IE,DE,NZ,NL,FR,CH,BE,HU,AT,SE,SK,LV,PT,LT,CZ,EE,LU,FI,RO,DK,GR,IS,PL,AE,MT,ZA,CY,BG,IT
2021/12/09,"179 (5,860,617)","54 (3,070,360)","83 (686,214)","54 (502,846)",--,"74 (81,597)",--,--,--,--,--,--,--,--,--,--,"118 (8,030)",--,"194 (7,570)",--,"174 (5,748)","170 (3,707)",--,--,--,--,--,--,--,--,--,--,--,--
2021/12/16,"140 (6,523,524)","49 (3,430,900)","72 (755,458)","49 (531,768)","180 (250,317)","64 (94,445)",--,"139 (54,125)",--,--,--,--,--,--,--,--,"154 (7,295)",--,--,--,--,"144 (4,090)",--,--,--,--,--,--,--,--,--,--,--,--
2021/12/23,"76 (9,361,662)","26 (4,584,191)","50 (1,116,422)","30 (793,134)","70 (448,794)","44 (152,468)",--,"71 (93,739)",--,--,"115 (62,936)","198 (60,846)","108 (46,618)","172 (46,993)",--,"143 (22,269)","58 (12,424)",--,"105 (11,590)",--,"106 (7,753)","84 (5,433)",--,"197 (19,601)",--,--,"170 (8,246)",--,--,--,--,"187 (3,376)",--,--
2021/12/30,"74 (9,486,478)","29 (3,727,012)","44 (1,261,350)","27 (827,937)","38 (670,011)","37 (148,477)","186 (536,949)","49 (125,980)","161 (232,244)",--,"66 (101,639)","81 (111,368)","91 (47,709)","139 (51,233)",--,--,"46 (13,291)","165 (41,590)","86 (12,598)",--,"100 (7,362)","57 (7,799)",--,--,--,--,--,--,"186 (10,107)",--,"199 (25,634)","145 (3,860)",--,--
2022/11/24,--,--,--,"156 (277,179)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2022/12/01,--,"71 (2,828,527)",--,"93 (370,323)",--,--,--,--,--,--,--,--,--,"194 (41,017)",--,--,"195 (7,263)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2022/12/08,--,"68 (3,533,233)","96 (712,548)","65 (521,038)",--,"86 (82,753)",--,--,--,--,"193 (52,181)",--,--,"161 (52,535)",--,"197 (17,528)","157 (8,708)",--,--,--,--,"118 (5,339)",--,--,--,--,--,--,--,--,--,--,--,--
2022/12/15,"154 (8,134,878)","61 (4,132,471)","76 (878,900)","62 (609,764)","152 (307,924)","62 (105,670)",--,"137 (63,657)",--,--,"128 (66,046)",--,--,"138 (51,883)",--,"149 (21,091)","105 (10,281)",--,"155 (11,213)",--,"186 (6,009)","87 (5,867)",--,--,--,--,"197 (7,185)",--,--,--,--,--,--,--
2022/12/22,"89 (10,516,459)","35 (5,319,697)","57 (1,088,321)","34 (825,139)","69 (491,630)","52 (131,888)",--,"61 (99,227)",--,--,"105 (73,507)","156 (68,795)","108 (50,474)","108 (65,839)",--,"108 (26,911)","78 (11,802)",--,"139 (12,215)","171 (51,144)","171 (6,600)","66 (6,979)",--,--,--,--,"147 (9,541)",--,--,--,--,--,--,--
2022/12/29,"67 (13,344,946)","27 (5,466,114)","42 (1,579,680)","25 (1,102,445)","33 (884,957)","40 (175,339)","123 (819,035)","32 (169,931)","122 (313,468)","130 (471,633)","56 (127,558)","63 (136,437)","53 (79,331)","79 (88,233)",--,"123 (21,392)","44 (17,084)","136 (64,585)","74 (17,065)",--,"88 (8,889)","37 (11,955)","148 (62,852)",--,--,--,"145 (8,805)",--,--,--,--,"175 (5,363)","192 (8,509)",--
2023/11/30,--,"54 (3,773,877)",--,"88 (434,977)",--,"133 (67,212)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2023/12/07,"189 (8,965,532)","47 (4,512,851)","51 (995,705)","50 (658,431)",--,"65 (116,755)",--,"164 (63,419)",--,--,"117 (70,578)",--,"184 (42,603)","151 (60,339)",--,"126 (25,964)","107 (12,294)",--,"136 (14,492)",--,"142 (8,113)","97 (6,861)",--,--,--,--,--,--,--,--,--,--,--,--
2023/12/14,"150 (9,621,085)","47 (4,920,055)","57 (1,014,822)","41 (731,233)","182 (335,368)","55 (134,062)",--,"150 (67,935)",--,--,"166 (62,397)",--,"179 (43,459)","186 (51,162)",--,"129 (25,359)","76 (13,397)",--,"105 (16,095)",--,"137 (8,082)","93 (6,714)",--,--,--,--,--,--,--,--,--,--,--,--
2023/12/21,"87 (12,083,864)","28 (6,114,489)","50 (1,290,752)","30 (920,443)","69 (510,345)","46 (168,396)",--,"74 (99,355)",--,--,"110 (76,498)","191 (74,041)","132 (57,656)","146 (61,604)",--,"119 (30,560)","60 (15,100)",--,"87 (18,108)",--,"108 (9,352)","72 (8,053)",--,--,--,--,"160 (10,232)",--,--,--,--,--,--,--
2023/12/28,"52 (17,649,258)","22 (7,643,280)","41 (2,132,081)","23 (1,454,093)","27 (1,087,142)","42 (253,291)","153 (777,498)","33 (186,078)","114 (339,996)","122 (575,970)","64 (129,409)","73 (147,377)","64 (96,925)","94 (97,405)","179 (191,349)","104 (28,898)","30 (24,658)","117 (83,408)","49 (27,391)",--,"48 (13,551)","37 (14,229)","138 (78,933)","179 (39,793)","187 (91,720)",--,"146 (11,208)",--,"188 (17,775)",--,--,"142 (7,573)","185 (11,777)",--
