Date,Global,US,PH,GB,AU,CA,ID,SG,MY,MX,IE,BR,IN,TH,ES,DE,AR,NZ,CL,NL,TW,IT,VN,AE,PT,HK,SE,TR,PE,NO,BE,JP,SA,PL,CO,DK,CH,AT,FI,IL,ZA,CR,GR,KR,UY,EC,HU,RO,CZ,SV,PY,PA,HN,LT,SK,EG,BO,LV,DO,BG,EE,IS,CY,NI,GT,LU,MA
2022/03/24,"158 (5,855,597)","150 (1,712,178)","16 (972,531)",--,"177 (227,592)","147 (227,923)",--,"68 (63,734)","133 (69,038)",--,"85 (53,896)",--,--,--,--,--,--,--,--,--,--,--,--,"104 (12,270)",--,--,--,--,--,--,--,--,"192 (12,119)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2022/03/31,"172 (5,670,042)","171 (1,681,603)","18 (916,596)",--,"173 (222,310)","159 (222,667)",--,"68 (64,062)","134 (70,072)",--,"110 (51,849)",--,--,--,--,--,--,--,--,--,--,--,--,"121 (11,439)",--,--,--,--,--,--,--,--,"177 (12,841)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2022/04/07,"152 (5,844,747)","131 (1,816,315)","21 (859,633)","173 (375,454)","158 (232,169)","142 (232,785)",--,"75 (62,275)","135 (63,268)",--,"77 (58,326)",--,--,--,--,--,--,--,--,--,--,--,--,"110 (10,127)",--,--,--,--,--,--,--,--,"186 (8,225)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2022/04/14,"191 (5,353,373)","170 (1,659,289)","36 (718,485)",--,--,"182 (219,419)",--,"81 (59,760)","140 (62,017)",--,"101 (53,629)",--,--,--,--,--,--,--,--,--,--,--,--,"115 (10,461)",--,--,--,--,--,--,--,--,"179 (8,658)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2022/04/21,--,"176 (1,605,760)","39 (685,922)",--,--,"191 (207,462)",--,"85 (58,107)","172 (60,408)",--,"118 (49,722)",--,--,--,--,--,--,--,--,--,--,--,--,"121 (10,260)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2022/04/28,--,--,"45 (703,037)",--,--,--,--,"95 (58,051)","194 (61,111)",--,"126 (48,961)",--,--,--,--,--,--,--,--,--,--,--,--,"131 (10,008)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2022/05/05,--,--,"48 (678,318)",--,--,--,--,"109 (52,472)",--,--,"126 (49,304)",--,--,--,--,--,--,--,--,--,--,--,--,"162 (9,734)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2022/05/12,--,--,"46 (637,214)",--,--,--,--,"115 (53,258)","157 (60,044)",--,"148 (46,757)",--,--,--,--,--,--,--,--,--,--,--,--,"151 (10,329)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2022/05/19,--,--,"47 (708,762)",--,--,--,--,"110 (53,024)","155 (62,173)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,"181 (10,509)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2022/05/26,--,--,"43 (767,157)",--,--,--,--,"111 (57,850)","153 (66,801)",--,"188 (43,444)",--,--,--,--,--,--,--,--,--,--,--,--,"156 (11,075)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2022/06/02,--,--,"44 (745,258)",--,--,--,--,"128 (54,106)","164 (63,322)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,"152 (11,077)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2022/06/09,--,--,"45 (747,699)",--,--,--,--,"124 (53,361)","187 (64,841)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,"180 (10,643)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2022/06/16,--,--,"50 (720,757)",--,--,--,--,"116 (53,340)","199 (62,690)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,"175 (10,780)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2022/06/23,--,--,"50 (700,611)",--,--,--,--,"121 (52,249)","183 (62,776)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2022/06/30,--,--,"51 (615,421)",--,--,--,--,"141 (49,872)","187 (60,305)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2022/07/07,--,--,"49 (664,150)",--,--,--,--,"136 (50,338)","185 (59,883)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2022/07/14,--,--,"46 (719,195)",--,--,--,--,"131 (51,505)","183 (59,290)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,"167 (9,090)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2022/07/21,--,--,"45 (696,231)",--,--,--,--,"157 (50,761)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"187 (8,960)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2022/07/28,--,--,"44 (710,161)",--,--,--,--,"164 (50,170)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"182 (8,938)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2022/08/04,--,--,"36 (803,277)",--,--,--,--,"152 (51,612)","178 (61,927)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,"181 (9,093)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2022/08/11,--,--,"41 (750,078)",--,--,--,--,"170 (48,624)","195 (59,136)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2022/08/18,--,--,"44 (698,969)",--,--,--,--,"164 (47,966)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2022/08/25,--,--,"55 (636,818)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2022/09/01,--,--,"55 (653,106)",--,--,--,--,"164 (49,522)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2022/09/08,--,--,"55 (646,918)",--,--,--,--,"167 (50,547)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2022/09/15,--,--,"57 (647,932)",--,--,--,--,"186 (47,504)",--,--,"200 (42,304)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2022/09/22,--,--,"64 (618,220)",--,--,--,--,"187 (47,214)",--,--,"172 (44,505)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2022/09/29,--,"154 (1,749,121)","63 (621,223)",--,--,--,--,"194 (47,707)",--,--,"149 (47,409)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2022/10/06,--,"143 (1,801,466)","60 (616,594)",--,--,"174 (234,006)",--,--,--,--,"130 (50,655)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2022/10/13,--,"146 (1,794,951)","61 (610,995)",--,--,"173 (233,009)",--,--,--,--,"147 (48,389)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2022/10/20,--,"138 (1,857,941)","64 (611,345)",--,--,"186 (236,971)",--,--,--,--,"134 (49,742)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2022/10/27,--,"175 (1,791,245)","61 (743,018)",--,--,--,--,--,--,--,"189 (45,936)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2022/11/03,--,--,"105 (503,269)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2022/11/10,--,--,"106 (498,924)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2022/11/17,--,--,"115 (493,904)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
