Date,Global,US,GB,CA,DE,SE,NL,AU,NO,PL,DK,IE,PH,BE,IT,CH,ES,AT,FR,NZ,HU,CZ,SG,FI,PT,GR,SK,MY,RO,IS,HK,LT,LV,EE,JP,LU,RU,AE,BG,VN,MT,ZA,TW,CY,UA,TH,PA,EC,CR,GT,KR,HN,AD
2016/12/01,"172 (2,599,578)","153 (1,071,782)","113 (309,029)","130 (137,418)",--,"65 (292,671)",--,--,"103 (108,886)",--,"87 (117,552)","112 (24,596)",--,--,--,--,--,"117 (14,845)",--,--,--,"198 (5,867)",--,--,--,"102 (4,155)","167 (2,207)",--,--,"114 (5,935)",--,--,"179 (2,171)",--,--,--,--,--,--,--,"119 (1,666)",--,--,--,--,--,--,--,--,--,--,--,--
2016/12/08,"122 (4,108,174)","107 (1,507,187)","46 (782,367)","69 (234,364)","165 (218,806)","59 (316,397)","113 (166,421)",--,"71 (146,556)","63 (52,869)","70 (142,485)","48 (60,689)",--,"198 (16,291)",--,--,--,"83 (20,656)",--,"197 (26,083)","107 (7,831)","86 (11,449)",--,--,--,"77 (5,683)","63 (5,198)",--,--,"92 (7,628)",--,"132 (3,010)","105 (3,701)",--,--,"129 (1,333)",--,--,"175 (1,539)",--,"70 (2,909)",--,--,--,--,--,--,--,--,--,--,--,--
2016/12/15,"101 (4,621,659)","117 (1,581,450)","42 (922,519)","63 (260,347)","159 (241,002)","54 (323,504)","54 (290,229)",--,"67 (150,522)","51 (61,913)","77 (128,005)","39 (75,538)",--,"105 (29,542)",--,"175 (18,559)",--,"88 (20,412)",--,"141 (33,536)","90 (8,997)","76 (12,098)",--,--,--,"76 (5,666)","66 (5,974)","190 (19,011)",--,"70 (8,496)",--,"103 (3,756)","89 (4,220)","163 (2,711)",--,"104 (1,690)",--,--,"198 (1,436)",--,"58 (3,097)",--,--,--,--,--,--,--,--,--,--,--,--
2016/12/22,"66 (5,756,514)","97 (1,751,875)","33 (1,135,311)","45 (301,499)","123 (332,829)","37 (470,112)","45 (330,817)","113 (149,610)","51 (203,384)","32 (107,498)","70 (151,141)","30 (95,022)",--,"55 (42,506)",--,"85 (27,808)",--,"64 (29,563)",--,"98 (47,658)","50 (16,989)","52 (18,560)","200 (20,400)",--,"106 (20,454)","54 (7,127)","24 (8,982)","151 (24,070)",--,"47 (11,254)",--,"82 (4,735)","50 (6,535)","99 (3,877)",--,"57 (2,454)",--,--,"137 (1,899)",--,"42 (4,371)",--,--,"51 (1,111)",--,--,--,--,--,--,--,--,--
2016/12/29,"45 (7,237,127)","70 (1,763,760)","14 (1,477,125)","23 (386,858)","64 (580,458)","32 (485,868)","23 (439,785)","48 (300,069)","53 (170,755)","25 (106,028)","63 (157,462)","22 (102,391)","179 (100,025)","20 (92,067)","101 (95,864)","29 (58,616)","132 (139,656)","43 (40,404)","127 (156,420)","43 (93,005)","11 (30,747)","36 (20,530)","112 (33,671)","198 (42,536)","61 (25,494)","28 (10,664)","20 (8,385)","108 (29,478)",--,"48 (8,326)","103 (17,799)","37 (8,063)","18 (9,656)","46 (5,671)",--,"19 (4,947)",--,--,"53 (3,197)",--,"31 (4,727)",--,--,"23 (1,725)",--,--,--,--,--,--,--,--,--
2017/11/16,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"135 (6,176)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2017/11/23,--,"158 (1,437,540)",--,"180 (154,216)",--,"181 (126,389)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"138 (5,928)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2017/11/30,"142 (4,243,061)","54 (2,566,225)","155 (329,099)","115 (213,472)",--,"90 (205,404)",--,--,"145 (87,493)","169 (46,194)","119 (98,206)","134 (29,916)",--,--,--,--,--,--,--,--,"160 (7,770)","185 (10,575)",--,--,--,"96 (5,765)","103 (5,205)",--,--,"116 (7,017)",--,"130 (3,286)","148 (3,531)","185 (2,604)",--,--,--,--,"162 (2,114)",--,"103 (2,550)",--,--,--,--,--,--,--,--,--,--,--,--
2017/12/07,"86 (6,379,466)","55 (2,961,201)","49 (887,885)","63 (305,104)","195 (277,565)","53 (403,672)","139 (195,077)","183 (159,824)","75 (169,350)","43 (116,953)","68 (167,335)","56 (59,866)",--,"102 (41,057)",--,--,--,"132 (23,988)",--,--,"48 (20,447)","44 (27,339)",--,--,--,"48 (12,417)","30 (13,513)",--,--,"103 (9,244)",--,"30 (9,939)","37 (10,280)","48 (7,364)",--,"65 (3,961)",--,--,"76 (3,672)",--,"39 (5,813)",--,--,"51 (1,754)",--,--,--,--,--,--,--,--,--
2017/12/14,"61 (7,505,091)","47 (3,337,534)","43 (1,030,493)","43 (409,430)","194 (301,639)","42 (470,218)","54 (368,198)","166 (176,004)","81 (156,717)","25 (157,480)","80 (142,864)","47 (87,639)",--,"41 (72,187)",--,"175 (27,455)",--,"118 (25,570)",--,"150 (45,775)","39 (24,467)","37 (33,573)","143 (42,501)",--,--,"43 (13,306)","23 (15,017)","141 (37,326)",--,"85 (10,592)",--,"24 (10,986)","25 (11,854)","44 (7,728)",--,"47 (4,649)",--,--,"72 (4,020)",--,"37 (5,816)",--,--,"42 (2,116)",--,--,--,--,--,--,--,--,--
2017/12/21,"56 (8,331,608)","42 (3,527,366)","40 (1,168,908)","34 (460,095)",--,"31 (608,128)","69 (323,538)","124 (227,835)","79 (166,858)","9 (240,456)","75 (148,039)","39 (103,931)","183 (140,222)","49 (64,885)",--,"160 (31,604)",--,"115 (29,446)",--,"109 (60,858)","23 (32,687)","26 (40,883)","114 (46,861)",--,--,"37 (13,799)","10 (18,450)","104 (43,823)",--,"76 (12,126)",--,"20 (12,152)","17 (13,482)","35 (8,619)",--,"45 (4,544)",--,--,"67 (4,658)",--,"35 (6,274)",--,--,"38 (2,362)",--,--,--,--,--,--,--,--,--
2017/12/28,"29 (11,647,031)","21 (4,101,683)","16 (1,850,531)","9 (666,526)","74 (722,373)","24 (702,602)","38 (462,320)","45 (544,319)","66 (164,095)","5 (266,869)","58 (176,714)","24 (144,092)","113 (184,877)","16 (126,509)","189 (132,954)","45 (67,857)",--,"55 (51,971)","134 (216,972)","49 (122,169)","7 (58,911)","11 (43,802)","48 (79,419)","137 (64,661)","127 (22,496)","17 (18,096)","20 (19,748)","65 (58,961)",--,"70 (11,450)","108 (21,265)","8 (14,890)","7 (17,942)","13 (11,097)",--,"13 (8,007)",--,--,"31 (5,808)",--,"16 (7,974)",--,"183 (21,834)","16 (3,255)",--,"152 (10,211)",--,--,--,--,--,--,--
2018/01/04,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"174 (3,807)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2018/11/22,--,"105 (2,109,766)",--,"139 (228,905)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"91 (9,541)",--,--,"114 (9,192)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,"163 (1,094)",--,--,--,--,--,--,--,--,--
2018/11/29,"104 (6,465,085)","35 (3,832,859)","167 (383,854)","70 (361,316)",--,"86 (233,647)","144 (207,350)",--,"116 (108,269)","143 (81,878)","89 (113,720)","145 (40,011)",--,--,--,--,--,"178 (26,050)",--,--,"124 (14,177)","109 (20,817)",--,--,--,"52 (14,996)","83 (9,920)",--,"73 (12,143)","107 (9,720)",--,"73 (6,465)","56 (7,861)","114 (4,654)",--,"160 (2,626)",--,--,"127 (3,693)",--,"116 (3,796)",--,--,"72 (1,780)",--,--,--,--,--,--,--,--,--
2018/12/06,"46 (10,397,101)","31 (4,572,463)","37 (1,149,969)","28 (609,746)","92 (640,006)","32 (521,997)","85 (323,141)","80 (341,950)","53 (246,877)","31 (204,533)","42 (230,706)","54 (93,648)",--,"89 (57,090)",--,"80 (61,385)",--,"61 (57,596)",--,"67 (76,245)","35 (32,225)","40 (43,527)","182 (41,315)","139 (56,501)","129 (30,327)","20 (23,766)","20 (21,617)",--,"27 (18,668)","47 (16,274)","198 (17,406)","20 (13,951)","21 (13,022)","33 (10,257)",--,"40 (5,565)",--,--,"76 (5,727)",--,"40 (7,475)",--,--,"36 (2,831)",--,--,--,--,--,--,--,--,--
2018/12/13,"36 (11,762,348)","29 (4,768,477)","24 (1,388,321)","19 (707,519)","79 (662,185)","25 (543,786)","26 (629,364)","69 (368,299)","45 (256,901)","13 (303,118)","42 (199,658)","35 (127,360)","177 (161,843)","38 (102,309)",--,"62 (71,535)",--,"51 (60,262)",--,"63 (81,724)","20 (38,134)","19 (50,217)","130 (51,522)","170 (52,427)","106 (36,944)","18 (23,069)","9 (25,574)","169 (39,367)","21 (22,153)","44 (17,731)","89 (25,962)","12 (16,332)","18 (14,495)","33 (10,893)",--,"28 (6,519)",--,--,"70 (6,020)","175 (5,991)","20 (9,269)",--,--,"24 (3,318)",--,--,--,--,--,--,--,--,--
2018/12/20,"23 (13,604,264)","20 (5,101,604)","19 (1,630,343)","15 (771,930)","61 (835,397)","22 (617,138)","17 (805,087)","49 (499,682)","40 (288,677)","4 (431,828)","38 (213,831)","20 (155,148)","131 (194,235)","17 (128,270)",--,"28 (96,615)",--,"40 (73,514)",--,"48 (109,871)","7 (63,496)","8 (71,536)","101 (59,316)","133 (65,770)","77 (44,138)","17 (24,779)","5 (36,774)","137 (45,544)","10 (29,468)","31 (22,006)","67 (28,938)","11 (19,439)","9 (19,077)","15 (14,218)","197 (45,159)","13 (8,598)",--,--,"30 (7,770)","176 (6,149)","17 (10,791)",--,--,"17 (4,041)",--,--,--,--,--,--,--,--,--
2018/12/27,"10 (21,837,306)","14 (7,062,102)","11 (2,983,682)","3 (1,309,799)","31 (1,497,642)","19 (881,222)","10 (1,262,382)","10 (1,162,404)","30 (319,104)","5 (535,324)","35 (287,967)","13 (259,299)","60 (330,670)","6 (253,922)","90 (408,389)","12 (191,069)","81 (410,384)","27 (113,623)","48 (518,358)","11 (243,161)","7 (121,076)","6 (94,160)","35 (101,028)","74 (101,384)","26 (85,012)","8 (37,544)","5 (44,718)","62 (72,020)","5 (39,393)","24 (25,005)","17 (49,812)","6 (30,280)","7 (31,132)","7 (20,719)","103 (67,307)","7 (16,651)",--,--,"9 (12,848)","72 (9,995)","8 (16,217)",--,"144 (33,511)","8 (6,130)",--,"144 (23,852)","171 (9,338)","188 (20,951)","172 (17,736)","120 (17,130)",--,"179 (6,166)",--
2019/01/03,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"69 (11,901)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"91 (1,525)",--,--,--,--,--,--,--,--,--
2019/11/14,--,--,--,"148 (243,596)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2019/11/21,--,"162 (1,636,224)","194 (336,066)","94 (320,119)",--,--,"193 (165,958)",--,--,--,"168 (74,373)","171 (38,231)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"126 (6,994)",--,--,--,--,--,--,--,--,--,--,"136 (2,492)",--,--,--,--,--,--,--,--,--,--,--,--
2019/11/28,"148 (5,229,709)","85 (2,415,359)","89 (546,100)","66 (396,206)",--,"122 (198,979)","115 (228,903)",--,"164 (81,416)",--,"78 (127,427)","90 (59,818)",--,--,--,--,--,--,--,--,"164 (15,907)",--,--,--,--,"118 (16,139)","135 (10,028)",--,"116 (14,004)","78 (9,654)",--,"104 (5,651)","131 (5,518)","113 (4,845)",--,"151 (2,957)",--,--,--,--,"60 (3,897)",--,--,"93 (1,995)",--,--,--,--,--,--,--,--,--
2019/12/05,"45 (10,399,628)","21 (4,200,706)","23 (1,484,566)","24 (635,948)","108 (695,303)","46 (456,223)","81 (337,814)","104 (296,835)","54 (207,576)","111 (158,696)","37 (266,086)","35 (131,551)",--,"94 (60,442)",--,"62 (72,064)",--,"82 (54,897)",--,"99 (63,917)","30 (50,240)","38 (49,422)",--,--,"154 (34,333)","51 (27,910)","26 (28,915)",--,"37 (25,787)","41 (18,173)",--,"26 (15,592)","19 (15,611)","26 (12,928)",--,"31 (7,108)",--,"146 (5,417)","60 (7,273)",--,"34 (6,630)",--,--,"41 (3,330)",--,--,--,--,--,--,--,--,--
2019/12/12,"36 (11,746,944)","25 (4,459,510)","15 (1,682,100)","22 (718,829)","115 (737,496)","49 (406,716)","25 (647,284)","107 (324,975)","61 (184,912)","52 (265,112)","38 (233,240)","26 (171,744)",--,"52 (105,389)",--,"50 (84,190)",--,"82 (59,347)",--,"90 (72,149)","25 (58,654)","39 (59,420)","196 (47,215)",--,"161 (36,696)","49 (30,728)","10 (35,768)",--,"30 (31,425)","33 (20,201)",--,"22 (17,831)","23 (14,709)","34 (12,288)",--,"33 (8,150)",--,"108 (7,165)","74 (7,787)",--,"25 (9,043)",--,--,"25 (4,391)",--,--,--,--,--,--,--,--,--
2019/12/19,"35 (13,079,513)","30 (4,871,249)","16 (1,857,927)","22 (805,749)","94 (802,558)","40 (489,537)","28 (673,246)","69 (418,365)","58 (208,650)","34 (318,640)","44 (226,919)","23 (197,975)",--,"41 (119,402)",--,"40 (99,039)",--,"65 (68,315)",--,"54 (96,287)","20 (65,219)","16 (73,429)","133 (57,244)",--,"117 (44,304)","49 (29,843)","24 (40,008)",--,"39 (29,354)","33 (21,340)","149 (25,391)","16 (20,408)","15 (17,676)","25 (13,817)",--,"29 (8,369)",--,"85 (8,763)","75 (7,775)",--,"20 (10,047)",--,--,"26 (4,707)",--,--,--,--,--,--,--,--,--
2019/12/26,"14 (23,412,959)","8 (7,373,863)","7 (3,502,518)","6 (1,463,725)","35 (1,897,945)","23 (835,871)","9 (1,246,389)","16 (1,136,223)","35 (281,706)","11 (508,389)","27 (350,674)","10 (329,605)","115 (261,615)","7 (274,496)","109 (458,168)","10 (238,705)","131 (316,374)","28 (129,378)","138 (356,121)","13 (246,394)","6 (168,296)","10 (105,090)","46 (100,534)","111 (83,560)","40 (92,661)","26 (46,089)","18 (57,976)","90 (74,342)","12 (42,000)","23 (28,579)","32 (46,026)","6 (34,323)","6 (31,751)","9 (22,109)",--,"6 (19,421)",--,"29 (16,445)","16 (14,618)","134 (20,931)","6 (15,162)","33 (34,004)",--,"8 (7,363)",--,--,--,--,--,--,--,--,--
2020/01/02,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"90 (20,080)",--,--,--,--,--,"161 (4,751)","178 (5,264)",--,--,--,--,--,--,--,"122 (2,445)",--,--,"75 (2,333)",--,--,--,--,--,--,--,--,--
2020/11/12,--,"122 (1,841,037)","195 (353,370)","155 (244,479)",--,--,"197 (171,034)",--,--,--,--,"140 (43,195)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"84 (7,991)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2020/11/19,"149 (5,483,199)","57 (2,674,774)","93 (511,739)","36 (517,121)",--,--,"107 (231,829)",--,"151 (77,269)",--,"121 (85,062)","67 (64,451)",--,--,--,--,--,--,--,--,"156 (19,866)",--,--,--,--,"172 (21,908)","153 (12,560)",--,"187 (15,155)","68 (9,748)",--,"148 (6,455)","173 (5,980)","175 (4,823)",--,--,--,--,--,--,--,--,--,"102 (2,461)",--,--,--,--,--,--,--,--,--
2020/11/26,"73 (8,729,704)","23 (4,021,685)","37 (942,355)","20 (733,297)","146 (502,553)","79 (226,198)","63 (345,324)",--,"64 (138,038)",--,"60 (153,254)","35 (119,573)",--,"116 (65,071)",--,"115 (57,802)",--,"69 (56,634)",--,--,"82 (30,641)","120 (39,876)","182 (44,830)",--,--,"67 (34,358)","50 (21,552)",--,"82 (25,024)","44 (13,571)",--,"71 (10,329)","68 (9,344)","74 (7,796)",--,"61 (5,306)",--,"180 (8,470)","195 (5,003)",--,--,--,--,"51 (3,862)",--,--,--,--,--,--,--,--,--
2020/12/03,"27 (15,767,651)","6 (6,391,262)","8 (2,030,630)","12 (934,596)","47 (1,171,007)","15 (690,006)","40 (539,178)",--,"26 (322,356)","33 (289,858)","26 (333,764)","13 (214,308)","186 (201,164)","47 (116,081)",--,"21 (152,659)",--,"26 (120,400)",--,--,"26 (64,786)","34 (87,773)","91 (65,276)","136 (60,002)","73 (61,432)","51 (43,920)","16 (46,207)",--,"15 (44,616)","22 (22,234)","154 (24,789)","9 (28,930)","11 (23,514)","16 (18,893)",--,"16 (11,273)",--,"63 (16,565)","48 (11,168)",--,--,--,--,"19 (5,795)",--,--,--,--,--,--,--,--,--
2020/12/10,"18 (18,939,227)","4 (7,170,716)","7 (2,506,953)","8 (1,088,906)","32 (1,281,352)","19 (631,992)","9 (909,116)","136 (291,730)","28 (335,167)","15 (487,402)","21 (321,480)","9 (272,796)","145 (233,444)","19 (185,536)","101 (379,318)","12 (189,701)","171 (280,891)","20 (129,533)",--,"113 (63,270)","15 (82,576)","27 (89,123)","55 (86,720)","105 (66,234)","66 (64,846)","58 (46,178)","7 (54,014)","148 (56,447)","10 (52,710)","20 (24,258)","59 (38,580)","8 (30,208)","11 (23,869)","12 (19,405)",--,"9 (14,767)",--,"37 (20,098)","42 (12,285)","162 (33,143)",--,--,--,"17 (6,872)","121 (16,823)",--,--,--,--,--,--,--,--
2020/12/17,"20 (19,446,785)","13 (7,715,667)","7 (2,517,628)","12 (1,137,240)","43 (1,159,888)","18 (651,460)","8 (980,648)","123 (325,973)","26 (329,112)","12 (508,789)","22 (299,002)","10 (277,731)","122 (268,388)","18 (199,184)","169 (261,205)","14 (166,809)",--,"27 (110,238)",--,"106 (74,410)","9 (99,369)","24 (94,572)","45 (101,071)","89 (74,474)","74 (60,375)","52 (43,499)","6 (58,555)","123 (64,650)","12 (50,308)","18 (27,493)","58 (43,039)","9 (30,251)","7 (26,771)","23 (20,446)",--,"10 (13,848)",--,"30 (22,910)","42 (11,459)","185 (30,755)",--,"151 (21,229)",--,"11 (7,565)","79 (20,059)",--,--,--,--,--,--,--,--
2020/12/24,"8 (32,218,073)","4 (11,067,032)","6 (4,053,693)","7 (1,805,323)","21 (2,418,844)","15 (1,215,423)","5 (1,386,498)","35 (781,685)","18 (487,008)","8 (865,941)","18 (516,591)","7 (467,083)","33 (596,917)","6 (443,424)","65 (531,517)","9 (354,711)","79 (546,452)","18 (239,992)","85 (618,974)","27 (190,616)","8 (246,529)","10 (166,084)","14 (187,017)","16 (233,918)","13 (159,587)","31 (64,873)","5 (100,908)","39 (113,766)","6 (77,436)","13 (46,161)","15 (82,710)","6 (44,519)","7 (44,873)","11 (32,363)","190 (167,560)","7 (29,124)","171 (76,408)","9 (43,470)","13 (21,081)","91 (46,263)",--,"25 (53,495)","129 (60,292)","8 (11,584)","51 (27,180)","197 (50,785)","190 (12,452)",--,--,--,--,--,"53 (1,084)"
2020/12/31,"22 (14,582,001)","8 (4,985,189)","5 (2,353,487)","7 (973,589)","87 (657,650)","106 (185,877)","6 (1,009,484)","138 (304,998)","82 (111,758)","73 (198,857)","152 (74,965)","9 (230,925)","113 (244,335)","16 (195,500)","117 (313,351)","21 (132,422)","123 (338,604)","90 (46,047)",--,--,"32 (50,325)","186 (27,941)","43 (96,709)",--,"91 (49,250)","41 (54,801)","69 (16,301)","103 (60,451)","44 (28,314)","56 (9,712)","35 (53,114)","16 (17,598)","17 (16,710)","51 (9,900)",--,"9 (11,793)","55 (140,342)","34 (21,617)","66 (9,293)",--,--,"50 (36,542)",--,"10 (9,006)","19 (41,096)",--,--,--,--,--,--,--,--
2021/11/18,--,"151 (1,778,871)",--,"94 (376,798)",--,--,--,--,--,--,"165 (62,214)","179 (43,086)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"85 (7,893)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
