Date,Global,US,GB,CA,AU,NL,IE,DE,SE,BE,NZ,NO,DK,ZA,CH,PT,AT,AE,IS,SG,LV,LT,LU,EE,CY,SK
2023/11/30,"33 (16,685,228)","8 (7,456,525)","4 (2,677,303)","7 (1,163,633)","7 (1,080,102)","18 (647,216)","1 (622,241)",--,"179 (146,662)","36 (143,467)","13 (160,700)","139 (89,141)",--,"140 (64,192)",--,--,--,--,--,--,--,--,--,--,--,--
2023/12/07,"35 (17,834,369)","9 (8,254,772)","13 (2,907,798)","11 (1,193,776)","12 (1,061,493)","23 (681,739)","1 (659,015)",--,--,"40 (159,743)","16 (162,303)","193 (88,591)",--,"144 (67,936)",--,--,--,--,--,--,--,--,--,--,--,--
2023/12/14,"35 (17,497,122)","13 (7,505,397)","7 (3,248,493)","13 (1,086,240)","10 (1,075,652)","19 (825,609)","1 (674,409)",--,"180 (164,355)","30 (201,320)","17 (165,195)","144 (101,464)",--,--,--,--,--,--,--,--,--,--,--,--,--,--
2023/12/21,"35 (18,126,003)","18 (7,474,183)","10 (3,529,253)","19 (1,121,277)","11 (1,140,335)","14 (908,405)","2 (684,324)",--,"164 (177,967)","24 (226,121)","19 (178,811)","137 (111,633)",--,--,--,--,--,--,--,--,--,--,--,--,--,--
2023/12/28,"47 (18,186,910)","24 (7,258,031)","18 (3,745,820)","36 (1,121,308)","19 (1,192,121)","31 (878,441)","6 (684,211)",--,"200 (181,331)","38 (233,012)","30 (191,759)","119 (114,655)",--,--,--,--,--,--,--,--,--,--,--,--,--,--
2024/01/04,"11 (20,766,879)","2 (8,512,102)","1 (4,133,026)","3 (1,257,148)","3 (1,294,553)","1 (997,473)","1 (676,910)","194 (495,929)","86 (198,390)","8 (253,924)","6 (200,011)","29 (158,534)","121 (93,807)","157 (73,831)","106 (65,027)",--,"88 (63,664)","80 (23,509)","75 (9,190)",--,--,--,"115 (4,772)","183 (6,489)",--,--
2024/01/11,"7 (24,788,155)","2 (9,553,825)","1 (4,746,061)","2 (1,479,782)","3 (1,530,532)","1 (1,351,139)","1 (698,914)","59 (794,336)","47 (241,778)","3 (320,068)","2 (247,892)","22 (206,012)","50 (127,870)","74 (88,263)","40 (93,739)","133 (74,934)","45 (81,749)","52 (28,943)","48 (10,995)","134 (57,826)","126 (10,257)","131 (13,394)","62 (6,517)","115 (7,886)","143 (6,297)",--
2024/01/18,"9 (26,502,009)","4 (9,479,500)","1 (5,153,532)","3 (1,614,794)","2 (1,835,137)","1 (1,478,202)","1 (755,205)","41 (1,034,372)","18 (419,613)","3 (356,657)","3 (286,571)","16 (266,732)","27 (184,911)","67 (100,950)","36 (110,676)","103 (84,566)","31 (98,876)","55 (30,359)","54 (11,235)","150 (60,801)","110 (11,705)","142 (14,245)","72 (6,573)","101 (9,149)","155 (6,416)",--
2024/01/25,"8 (28,528,162)","3 (10,165,474)","1 (5,494,542)","1 (1,824,692)","2 (2,140,593)","1 (1,604,574)","1 (791,359)","48 (988,528)","18 (468,183)","3 (398,084)","3 (310,461)","16 (294,928)","20 (217,316)","40 (117,445)","37 (117,104)","81 (98,650)","30 (106,469)","61 (28,978)","46 (12,452)","165 (62,296)","102 (12,157)","133 (14,489)","67 (7,118)","120 (9,050)","140 (6,377)",--
2024/02/01,"8 (28,868,638)","4 (10,143,949)","1 (5,373,633)","2 (1,879,225)","1 (2,299,243)","1 (1,636,478)","1 (768,749)","51 (989,054)","18 (546,081)","2 (413,728)","3 (331,634)","12 (341,448)","16 (252,004)","37 (138,060)","27 (122,686)","70 (104,585)","25 (110,851)","51 (30,423)","45 (13,333)","178 (62,051)","85 (12,773)","151 (14,306)","70 (7,271)","106 (9,380)","123 (6,523)",--
