Date,Global,US,GB,CA,SE,NL,AU,NO,IE,DE,BE,NZ,DK,CH,FI,IT,HU,AT,PL,PT,IS,ES,CZ,SK,LV,LT,GR,FR,RO,LU,EE,MT,BG,CY,AE,SG,HK,ZA,MY
2015/12/31,"198 (1,706,626)","188 (631,222)","116 (262,573)","103 (72,979)",--,"131 (83,639)",--,--,"174 (12,787)",--,"161 (14,969)",--,--,"187 (10,423)",--,--,--,--,--,"191 (8,271)",--,"156 (92,157)",--,--,--,--,"133 (3,175)",--,--,--,--,--,--,--,--,--,--,--,--
2016/12/01,--,"193 (920,384)",--,"200 (99,459)","89 (230,489)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"176 (4,464)",--,--,--,--,--,"196 (2,257)",--,--,--,--,--,--,--,--,--,--,--,--
2016/12/08,"186 (2,740,129)","132 (1,352,341)","163 (301,612)","111 (172,422)","83 (241,537)",--,--,"163 (82,613)","180 (20,913)",--,--,--,--,--,--,--,"177 (5,443)",--,"174 (27,850)",--,"128 (6,110)",--,"144 (7,548)","109 (3,380)","190 (2,320)",--,"129 (3,765)",--,--,"186 (1,004)",--,"107 (2,065)",--,--,--,--,--,--,--
2016/12/15,"175 (3,117,335)","132 (1,456,076)","125 (371,039)","107 (193,187)","67 (263,407)",--,--,"139 (88,478)","136 (26,924)",--,--,--,--,--,--,--,"165 (5,866)",--,"123 (35,295)",--,"92 (7,257)",--,"162 (7,505)","109 (3,906)","149 (2,848)","173 (2,554)","134 (3,960)",--,--,"146 (1,370)",--,"99 (2,210)",--,--,--,--,--,--,--
2016/12/22,"129 (3,896,110)","111 (1,634,177)","83 (498,118)","67 (232,467)","51 (370,986)","163 (126,980)",--,"116 (112,630)","92 (37,567)",--,"114 (26,062)","180 (30,932)",--,"138 (21,185)",--,--,"70 (11,439)","183 (13,143)","58 (59,681)","100 (22,413)","62 (9,918)",--,"82 (12,308)","66 (5,919)","83 (4,537)","114 (3,489)","79 (5,243)",--,--,"84 (1,904)","158 (2,698)","69 (3,015)",--,--,--,--,--,--,--
2016/12/29,"76 (5,186,390)","73 (1,741,931)","58 (726,930)","32 (332,469)","34 (452,015)","79 (206,916)","81 (207,942)","95 (106,784)","71 (45,577)",--,"42 (62,501)","71 (65,155)",--,"41 (50,180)",--,--,"22 (24,831)","163 (15,587)","51 (69,252)","57 (26,530)","54 (8,090)","129 (142,655)","64 (13,974)","47 (5,816)","34 (7,442)","57 (6,157)","47 (8,110)","179 (114,263)",--,"30 (4,123)","80 (4,236)","54 (3,569)","86 (2,523)","39 (1,361)",--,--,--,--,--
2017/11/30,--,"114 (1,643,235)",--,--,"176 (131,676)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2017/12/07,"200 (3,803,870)","93 (2,138,995)","190 (335,215)","130 (212,259)","69 (297,812)",--,--,--,--,--,--,--,--,--,--,--,"110 (11,128)",--,--,--,--,--,"116 (14,569)","86 (6,804)","87 (5,548)","84 (5,186)","104 (6,441)",--,--,"152 (2,317)","122 (3,863)","88 (3,388)","186 (2,049)","117 (1,027)",--,--,--,--,--
2017/12/14,"161 (4,431,016)","79 (2,332,744)","144 (401,186)","80 (280,460)","64 (323,370)","126 (223,236)",--,--,"178 (30,582)",--,"120 (37,733)",--,--,--,--,--,"100 (12,475)",--,--,--,"177 (6,471)",--,"97 (17,239)","80 (7,680)","72 (6,796)","69 (6,059)","87 (7,069)",--,--,"107 (2,801)","109 (4,313)","76 (3,436)","178 (2,196)","99 (1,187)",--,--,--,--,--
2017/12/21,"151 (4,972,602)","74 (2,491,145)","130 (466,825)","73 (325,320)","54 (405,044)","148 (202,880)",--,"187 (94,170)","163 (36,224)",--,"125 (35,704)",--,--,--,--,--,"70 (18,304)",--,--,--,"145 (7,997)",--,"76 (22,154)","61 (9,847)","63 (8,425)","62 (7,323)","89 (8,110)",--,--,"118 (2,707)","92 (5,248)","83 (3,896)","169 (2,570)","106 (1,325)",--,--,--,--,--
2017/12/28,"71 (7,276,585)","57 (3,007,838)","76 (730,927)","30 (494,339)","38 (580,899)","56 (383,434)","83 (357,013)","114 (115,557)","101 (49,650)",--,"47 (80,224)","91 (78,967)","140 (92,172)","154 (35,990)",--,--,"26 (37,437)",--,--,"85 (28,472)","107 (8,607)",--,"51 (25,076)","56 (10,618)","26 (11,714)","38 (9,548)","62 (10,963)",--,--,"42 (5,572)","60 (7,126)","57 (4,918)","95 (3,407)","61 (1,934)",--,"176 (33,667)",--,--,--
2018/11/29,--,"107 (2,139,224)",--,"169 (220,024)","176 (140,209)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2018/12/06,"180 (4,950,210)","109 (2,545,252)","191 (413,510)","81 (373,017)","61 (317,735)",--,--,"148 (111,698)",--,--,--,--,--,--,--,--,"200 (12,000)",--,--,--,"130 (9,273)",--,--,"161 (7,581)","155 (4,964)","144 (4,961)","108 (10,066)",--,"149 (8,457)",--,--,"170 (3,179)",--,"152 (1,273)",--,--,--,--,--
2018/12/13,"154 (5,494,979)","94 (2,712,792)","156 (495,411)","64 (433,790)","59 (316,785)","158 (238,479)",--,"135 (119,799)","182 (43,903)",--,--,--,--,--,--,--,"164 (13,768)",--,--,--,"109 (10,584)",--,"181 (18,326)","152 (8,776)","128 (6,053)","104 (6,144)","113 (10,200)",--,"129 (9,948)","175 (2,599)","162 (4,468)","128 (3,986)",--,"145 (1,441)",--,--,--,--,--
2018/12/20,"127 (6,211,577)","77 (2,912,326)","122 (587,738)","51 (467,706)","55 (351,045)","105 (299,232)","191 (217,533)","112 (139,599)","140 (53,396)",--,"150 (45,296)","168 (52,167)",--,--,--,--,"82 (23,103)",--,--,--,"70 (13,402)",--,"105 (25,797)","79 (12,436)","78 (8,149)","85 (7,361)","98 (10,861)",--,"99 (12,267)","113 (3,420)","93 (6,054)","104 (4,517)","194 (3,316)","109 (1,673)",--,--,--,--,--
2018/12/27,"60 (10,363,896)","44 (4,143,284)","53 (1,159,315)","25 (820,320)","42 (470,218)","49 (582,354)","65 (563,513)","67 (182,343)","82 (93,291)",--,"48 (112,774)","53 (128,397)","143 (97,699)","81 (75,119)","171 (60,386)",--,"33 (49,298)","194 (32,435)",--,"100 (38,079)","59 (16,293)",--,"52 (36,882)","48 (16,170)","35 (14,618)","42 (12,648)","48 (18,076)",--,"46 (18,339)","42 (7,546)","45 (9,765)","57 (7,017)","78 (5,649)","60 (2,794)",--,--,"198 (18,076)",--,--
2019/01/03,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"198 (6,112)",--,--,--,--,--,--,--,--,--,--,--,--
2019/11/28,--,--,--,"172 (233,254)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2019/12/05,"192 (4,786,067)","77 (2,503,937)","127 (504,004)","80 (382,769)","119 (220,745)",--,--,"169 (95,549)","179 (42,622)",--,--,--,--,--,--,--,"139 (18,367)",--,--,--,"132 (8,917)",--,--,"139 (10,550)","103 (6,715)","112 (6,289)","195 (12,679)",--,"152 (13,026)","180 (3,046)","133 (4,974)","111 (3,079)",--,"178 (1,521)",--,--,--,--,--
2019/12/12,"175 (5,530,085)","90 (2,732,949)","119 (607,113)","67 (445,627)","131 (205,769)","173 (217,202)",--,"177 (97,726)","142 (59,636)",--,--,--,--,--,--,--,"142 (21,208)",--,--,--,"119 (10,612)",--,--,"120 (14,145)","117 (7,237)","85 (8,056)","170 (14,497)",--,"117 (16,113)","137 (3,705)","128 (5,727)","80 (4,524)",--,"119 (2,040)",--,--,--,--,--
2019/12/19,"140 (6,291,354)","84 (3,023,557)","115 (694,808)","54 (507,295)","97 (249,253)","147 (238,580)",--,"136 (118,913)","119 (71,459)",--,"168 (48,732)","187 (52,231)",--,--,--,--,"128 (24,144)",--,--,--,"101 (11,948)",--,"155 (30,172)","108 (15,754)","74 (9,014)","72 (9,711)","164 (15,145)",--,"143 (15,267)","121 (3,908)","102 (6,606)","61 (5,305)",--,"113 (2,195)",--,--,--,--,--
2019/12/26,"59 (11,774,400)","35 (4,735,821)","47 (1,409,948)","23 (976,380)","52 (472,317)","49 (559,635)","68 (604,205)","81 (183,904)","67 (128,406)",--,"56 (133,510)","49 (145,597)","130 (120,756)","79 (97,420)",--,--,"39 (67,779)",--,--,"113 (46,991)","69 (16,699)",--,"63 (43,794)","66 (23,034)","31 (17,474)","39 (17,213)","95 (23,531)",--,"70 (22,758)","39 (10,019)","44 (11,886)","44 (8,074)","98 (6,631)","59 (3,625)","132 (7,258)",--,--,"116 (17,621)",--
2020/11/26,--,--,--,"130 (274,368)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2020/12/03,--,"79 (2,545,970)","198 (375,311)","81 (379,118)","104 (226,822)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"136 (8,360)",--,--,--,"175 (6,153)","168 (6,570)",--,--,--,--,--,--,--,--,--,--,--,--,--
2020/12/10,"165 (6,016,316)","58 (3,050,512)","136 (529,076)","49 (518,852)","104 (236,355)","182 (207,542)",--,"185 (92,280)","112 (66,350)",--,--,--,--,--,--,--,--,--,--,--,"102 (10,872)",--,--,"138 (14,468)","151 (7,063)","155 (7,475)",--,--,"199 (15,531)","132 (3,795)",--,--,--,"187 (2,061)",--,--,--,--,--
2020/12/17,"155 (6,683,639)","72 (3,410,882)","129 (575,413)","57 (584,283)","87 (253,334)","122 (258,765)",--,"181 (98,189)","113 (73,359)",--,--,--,--,--,--,--,"170 (23,584)",--,--,--,"80 (12,838)",--,--,"116 (16,388)","104 (8,615)","132 (8,169)",--,--,"171 (17,127)","131 (3,854)","164 (5,889)",--,--,"150 (2,429)",--,--,--,--,--
2020/12/24,"62 (11,398,581)","30 (4,957,843)","60 (943,217)","23 (936,416)","42 (569,302)","55 (484,194)","72 (539,144)","105 (156,120)","60 (127,346)",--,"50 (133,511)","66 (144,047)","137 (122,473)","116 (78,404)","50 (138,394)",--,"58 (60,935)","170 (50,371)",--,"102 (58,871)","55 (22,906)",--,"151 (43,113)","46 (30,038)","35 (16,051)","52 (13,419)","173 (25,237)",--,"81 (27,166)","46 (8,746)","61 (10,688)",--,"124 (7,369)","89 (3,646)","163 (10,557)",--,--,--,--
2020/12/31,"151 (6,007,011)","67 (2,557,032)","80 (641,366)","36 (579,826)",--,"55 (424,594)","142 (301,093)",--,"93 (73,168)",--,"110 (67,426)",--,--,--,--,--,--,--,--,--,"145 (6,253)",--,--,--,"162 (5,897)","180 (5,907)","196 (22,979)",--,--,"85 (4,424)",--,--,--,"112 (2,980)",--,--,--,--,--
2021/11/25,--,--,--,"143 (259,762)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2021/12/02,--,"61 (2,644,455)",--,"70 (405,427)","141 (179,980)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"105 (9,795)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2021/12/09,"175 (5,935,589)","53 (3,092,107)","140 (491,864)","53 (506,761)","142 (183,552)","162 (213,865)",--,--,"145 (52,982)",--,--,--,--,--,--,--,--,--,--,--,"88 (12,043)",--,--,--,"189 (6,429)",--,--,--,--,"175 (3,667)",--,--,--,--,--,--,--,--,--
2021/12/16,"146 (6,416,009)","55 (3,323,826)","134 (514,529)","52 (527,899)","142 (183,814)","117 (253,889)",--,--,"133 (58,998)",--,--,--,--,--,"179 (42,709)",--,--,--,--,--,"66 (13,549)",--,--,--,--,--,--,--,--,"162 (3,861)",--,--,--,--,--,--,--,--,--
2021/12/23,"90 (8,683,292)","34 (4,212,174)","94 (698,006)","34 (734,176)","87 (291,128)","91 (319,408)","133 (298,074)","183 (99,464)","91 (86,546)",--,"143 (70,632)","118 (69,215)","191 (74,048)",--,"68 (98,694)",--,"179 (31,714)",--,--,--,"60 (17,627)",--,--,"165 (19,746)","133 (8,647)","181 (8,551)",--,--,--,"103 (4,720)","189 (5,912)",--,--,--,--,--,--,--,--
2021/12/30,"84 (8,750,169)","34 (3,481,632)","85 (752,076)","30 (775,008)","102 (204,444)","58 (519,576)","71 (457,461)","194 (66,360)","92 (80,219)",--,"68 (126,944)","86 (90,498)",--,"106 (73,791)","60 (74,719)",--,"169 (30,059)","187 (41,748)",--,"199 (37,603)","77 (10,711)",--,--,--,"115 (8,959)","165 (8,843)",--,--,--,"80 (6,228)","199 (5,137)",--,--,--,--,--,--,--,--
2022/11/24,--,"183 (1,775,637)",--,"103 (329,426)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2022/12/01,--,"60 (3,042,391)",--,"75 (421,836)","160 (163,647)",--,--,--,"167 (54,090)",--,--,--,--,--,--,--,--,--,--,--,"107 (8,589)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2022/12/08,"187 (7,496,665)","65 (3,650,481)","87 (739,936)","51 (580,661)","135 (190,236)","153 (221,337)",--,--,"79 (85,647)",--,--,--,"181 (87,022)",--,--,--,--,--,--,--,"98 (12,548)",--,--,--,--,--,--,--,--,"163 (4,408)",--,--,--,--,--,--,--,--,--
2022/12/15,"189 (7,641,383)","69 (3,848,947)","114 (667,954)","65 (590,434)","119 (202,058)","89 (308,036)",--,--,"91 (84,328)",--,--,--,--,--,"187 (49,342)",--,--,--,--,--,"87 (14,092)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2022/12/22,"105 (9,549,514)","44 (4,799,282)","89 (783,059)","36 (772,868)","95 (252,570)","76 (349,229)",--,"177 (97,333)","75 (102,676)",--,"157 (68,548)",--,"179 (84,752)","181 (54,339)","92 (83,395)",--,--,--,--,--,"63 (18,211)",--,--,--,--,--,--,--,--,"170 (4,364)",--,--,--,--,--,--,--,--,--
2022/12/29,"78 (12,280,479)","36 (5,009,221)","61 (1,142,737)","30 (1,038,127)","73 (322,767)","46 (635,023)","92 (481,414)","140 (96,654)","57 (141,396)",--,"67 (133,312)","97 (90,558)","146 (99,527)","97 (92,009)","53 (118,557)",--,"144 (43,486)","133 (62,138)",--,"149 (62,860)","51 (17,256)",--,--,--,"122 (11,081)","157 (12,106)",--,--,--,"90 (6,921)","166 (6,784)",--,--,--,--,--,--,--,--
2023/11/23,--,"170 (2,243,591)",--,"150 (345,769)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2023/11/30,--,"45 (4,242,798)",--,"55 (530,122)","194 (141,862)",--,--,--,"147 (64,467)",--,--,--,--,--,--,--,--,--,--,--,"129 (8,528)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2023/12/07,"117 (10,494,761)","38 (5,035,216)","54 (978,593)","32 (784,665)","90 (255,346)","131 (265,474)",--,"167 (97,519)","71 (109,686)","199 (562,558)",--,--,"154 (101,030)","102 (76,501)",--,--,--,"108 (72,243)",--,--,"87 (13,777)",--,--,--,"151 (10,419)",--,--,--,--,"106 (6,475)","199 (7,031)",--,--,--,--,--,--,--,--
2023/12/14,"114 (10,692,230)","39 (5,121,657)","64 (965,905)","35 (828,608)","105 (229,917)","70 (370,363)",--,"186 (87,885)","67 (120,852)",--,"157 (81,270)",--,--,"144 (66,249)",--,--,--,"134 (61,078)",--,--,"86 (14,925)",--,--,--,"141 (10,526)","179 (12,881)",--,--,--,"115 (5,847)",--,--,--,--,--,--,--,--,--
2023/12/21,"75 (13,179,963)","27 (6,249,022)","51 (1,242,169)","24 (1,034,452)","77 (280,538)","58 (417,571)","153 (368,237)","142 (107,437)","48 (159,396)","192 (591,340)","97 (99,589)","117 (79,951)","194 (85,454)","98 (82,996)",--,--,--,"93 (76,215)",--,--,"65 (19,068)",--,--,"177 (24,013)","89 (12,791)","140 (14,993)",--,--,--,"88 (7,051)","140 (8,301)",--,--,--,--,--,--,--,--
2023/12/28,"34 (21,301,350)","17 (8,256,432)","39 (2,315,123)","15 (1,770,074)","55 (470,328)","29 (893,476)","44 (876,515)","78 (145,605)","34 (286,999)","93 (1,147,359)","33 (246,977)","40 (171,264)","122 (130,873)","45 (164,889)","84 (110,255)","90 (598,877)","88 (81,267)","58 (136,117)","157 (282,454)","56 (124,331)","50 (22,963)",--,--,"112 (27,358)","36 (22,835)","56 (24,563)",--,--,"155 (41,549)","40 (13,652)","53 (13,032)",--,"186 (11,775)","120 (8,190)","130 (21,204)",--,--,--,--
