rank,ID,title,artist,streams
525,6yHcupH90OWeXlDOKVptaL,We Wish You a Merry Christmas,The Everly Brothers,46938.0
526,0S78OUsLm86UgdWKMng3Py,All I Want For Christmas Is You,Clementine Duo,46895.0
527,2Iu2RRK5i0X9y7n5eGh00c,Maybe This Christmas,"Nils Landgren, Johan Norberg, Jonas Knutsson",46436.0
528,4dqysiyUKqZLWnMXmjMXN8,Have Yourself A Merry Little Christmas,Nathan Sykes,46427.0
529,7ztAsMJvTv8iEanLWOJoim,Come Home For Christmas,The Platters,46183.0
530,10kn0gLwDNIfmaQPhRpIO3,Someday At Christmas,Jack Johnson,46142.0
531,5Ynx1oX9KzN8hMWmxLMf86,Home for Christmas - 2018 Remaster,Kate Bush,45729.0
532,3sDdyBHQ60Cs1opmIyRvhp,Happy Holiday / The Holiday Season,Andy Williams,45178.0
533,3Zko53CbcNWEd45VgF5fn9,I'll Be Home For Christmas,Mila Crowell,44931.0
534,0N0vEsp8fGDIvpoLB8l2UW,Children's Christmas Song - Stereo,The Supremes,44915.0
535,5FaSqONiGaXC0LwQRSYgJq,Christmas Truce,Sabaton,43751.0
536,2n696HxgxizXqgoBdENuaU,Christmas Day,Snow Dept.,42954.0
537,2SmsAqPTSHmETcQgkZEN02,We Wish You A Merry Christmas,The Vamps,40931.0
538,5547x0ZawobhfSeh2QKAca,O Holy Night,Céline Dion,39883.0
539,4C21nmqlSdhGFzAtM790EP,Christmas,Billie Martin,39824.0
540,71wZ1KJdXSa5hC51kvGBL2,All I Want for Christmas Is You,Fifth Harmony,39693.0
541,0jqdngTlJTNE44iN1A0dKp,I've Been Waiting (For Christmas),Black Dylan,39529.0
542,7czngzdquqygGuPg6v12L6,Merry Christmas Baby,James Brown,39353.0
543,3vBz6SgHdwktd5SPWH2UuP,A Christmas Carol Main Title,Alan Silvestri,39337.0
544,2i9tle5pcFC30juQxD8q4p,Last Christmas - Piano Version,Dana Daoud,39306.0
545,3n5GIKGHX4cdMRM2mEU6MN,Can't Wait 'Til Christmas,Hikaru Utada,39230.0
546,1WrksSayukHRLctEsjcSGf,Have Yourself a Merry Little Christmas,Josh Groban,37637.0
547,1nF6kk3toU1cYByXvtVSjg,This Is Christmas Time,Mario Biondi,37412.0
548,2MbygbYR1nRq7gb4D9nTfb,"Merry Christmas, Baby","Rod Stewart, CeeLo Green, Trombone Shorty",37391.0
549,6jIlKyNbgXloxJH0u2FtM6,Christmas All Over Again,Tom Petty and the Heartbreakers,36889.0
550,3ia1LZNjVM8pbAMNj4f5lM,White Christmas,Dundas,36843.0
551,1Z6cte0YAdz2tbqZQhCBVy,My Christmas Prayer,Bobby Vinton,36295.0
552,6pTTEPXrL8STDDeudUCt7z,A Christmas Carol,Jose Mari Chan,36250.0
553,0XpApJu5havzspIyIVe2ut,Calling It Christmas - Radio Edit,"Elton John, Joss Stone",35916.0
554,11ziZOzjAyya1WMIukPMVL,Christmas,Dean Loo,35509.0
555,0sHUNH07fDPqRwGUEJUUw1,The Christmas Song (Chestnuts Roasting On An Open Fire) (duet with John Legend),Nat King Cole,35450.0
556,00rqz2YF3u3C0FaKkpXdTS,merry christmas darling,Christina Perri,35220.0
557,3hNDUii7FDRk352di0Za1U,Forever Christmas Eve,Lee Ann Womack,34842.0
558,13pH7N2nIP5cE7oUbcWsya,The Bells At Christmas,Jose Mari Chan,34661.0
559,6GaZJe6Xa6ejW3PRUARIgr,Have Yourself A Merry Little Christmas,Darius Rucker,34235.0
560,1H38vfbgKRoubLzJjCGY2S,I Believe in Father Christmas,Susan Boyle,33636.0
561,3OfiRybgoMcTtEFKuvyx0r,I'll Be Home For Christmas,Pentatonix,33428.0
562,177r7J6bnoMnW4MQx1GQng,Have Yourself a Merry Little Christmas,Daniela Andrade,32775.0
563,5nF4ra7lETOa2Wc4LrQ01g,Grown Up Christmas List,Janice Javier,32579.0
564,6wAT9x3dx1N99gXXvds56Q,Last Christmas,Drei Rana,32328.0
565,0Jn03ZRq6uRAKSiqmXQcai,Give Me Your Heart for Christmas,Jose Mari Chan,32268.0
566,78ylzQxu8Ht3gbFq5hI9Vo,Have Yourself a Merry Little Christmas,Tres Hermanas,32118.0
567,1IPrRFn01138TWwgwZQmnL,You Just Know It's Christmas,The Company,31306.0
568,1btSZUaWvlSo9ySuCZARG4,I Really Don't Want Much for Christmas (feat. Eric Benét),Chris Botti,30531.0
569,2oNaPHo4Z5henj2aYuyL5t,Have Yourself A Merry Little Christmas,Bamboo,30063.0
570,3SpOijdOzgSb9fLs6Q2PbW,It's Christmas Time Again,Jessica Simpson,29942.0
571,5tbSC9aFC7fzlI3BMEs2Wr,Please Come Home For Christmas,Jon Bon Jovi,29126.0
572,58ePGDlx3W3o9sh8N1HLh3,Christmas Day,"Chris Tomlin, We The Kingdom",27948.0
573,7xiry9FhlH58EumExMvIhi,Last Christmas,Little Jinder,27457.0
574,531J2rK8fUPV0jKWnBl4ha,Blue Christmas,Eliza May,27364.0
575,5fb7rhNrsaTAc1zjjVKa6f,Please Come Home For Christmas,Jon Bon Jovi,26389.0
576,5bjWdBx64POBYiUny759hy,Last Christmas,Ariana Grande,25653.0
577,4tQbNpBxZv4EraguW1vvRh,Fall in Love at Christmas - Radio Version,"Mariah Carey, Khalid, Kirk Franklin",25332.0
578,4FNxbkIp6HjDhFDDhWD3Hm,December Song (I Dreamed Of Christmas),George Michael,25208.0
579,6j7IMHstB2Z6NT3E9ZhSEA,Christmastime,The Smashing Pumpkins,24293.0
580,1s5ggQsYhH2TNhm5ZAO108,Have Yourself a Merry Little Christmas,"Jamie Rivera, Reine Mendoza",23670.0
581,1X2xiaBzG69Sew96KaTfkN,(Christmas Eve) After Midnight,Björn Skifs,23554.0
582,0j2U0uKqPtCi80urIcHkWC,The Christmas Song (Chestnuts Roasting On An Open Fire),Mary J. Blige,23494.0
583,5vboe2jdiTQqTlrWK9Lzow,Spin Me A Christmas,Aqua,21592.0
584,2TglVXqqCVbJSI6536YwLs,Christmas Time is Here,Sissel,21512.0
585,1GUfNofUIbAeHwRWYeMn0t,Christmas Day,"Chris Tomlin, We The Kingdom",21119.0
586,2Mr3n4M9QmEi585ZIl5umQ,Vianocny hymnus (Happy Christmas),Pavol Habera,21102.0
587,6eAMa0e7WCbjM7ivbAhvkq,This Christmas,TAEYEON,20398.0
588,4vvteZOTAFQ3Ba6R2RFLAd,Merry Christmas Everyone,Shakin' Stevens,20251.0
589,3hL7DGsF3ZIeWOjXRGhM8V,Have Yourself A Merry Little Christmas,Darius Rucker,19763.0
590,7x8RxDYcxonZjHyUx8Nk7u,White Christmas (with The Bobby Tucker Singers) - 78rpm Version,Frank Sinatra,19404.0
591,7ApIrXPhwrWfQEMXZ9GjAM,Last Christmas,David Fonseca,19163.0
592,7jw7q9X0zO62UC1mXlgwm9,I Wish It Could Be Christmas Everyday,Girls Aloud,18823.0
593,7Jn95gJeMylHpNkWLxRfpQ,I'll Be Home For Christmas,Jimmy Buffett,18756.0
594,4Vijp58cC5QW78P5ClOP2q,The Christmas Song (Chestnuts Roasting On An Open Fire),"Mel Tormé, Robert Wells, The Antonelli Orchestra",18681.0
595,0EzImSsh6qC5gg63NyHfxH,this christmas with you,"blondette, sweet planet",18426.0
596,0cwealcvftIKDBFJh1X014,Please Come Home For Christmas,Charles Brown,18286.0
597,3FaUJo1nrRUm51tc4nldkg,Christmas (Baby Please Come Home),The Offspring,18040.0
598,1pdPwEGe8y7GcqEqma8CR6,クリスマス -white falcon & blue christmas- remixed by 小西康陽,"Sunny Day Service, Yasuharu Konishi",17821.0
599,0sloHXSbbZ54E7K42GOVSc,Happy Christmas John,Thegiornalisti,17727.0
600,2t9XWnqsfTSAVk4jTet6OB,I'll Be Home for Christmas,Lady A,17636.0
601,6skTvnm735GYcgiKaeDDPq,It's Christmas Time (feat. Dan Caplen),Macklemore,17629.0
602,0IZXC3mHpIdPZMZratBAfr,"promise, (From the Original Netflix Series ""Home For Christmas"")",Fay Wildhagen,16671.0
603,2dz0u8FY3EYQqRsiW7qR4v,When Christmas Comes to Town,"Matthew Hall, Meagan Moore",16570.0
604,2C9eDqjEyfZmQg6F5ZCe9s,Anata to Christmas Eve,BNK48,16489.0
605,7kbTk6XgcqbeFHhMZWB3uy,Please Come Home For Christmas,Jon Bon Jovi,16291.0
606,5T00IZXkpwf7WlYffw1IaM,Merry Christmas Feast - What Does It Mean? - We Bring You Glad Tiding,"Traditional, Eva Urbanova, Jaroslav Tůma",16145.0
607,5sbGuhLX3Yigo6b69ftsub,White Christmas,Tore,15890.0
608,4azpxOozyGBpqBZ9OlC9L2,The Christmas Song (Chestnuts Roasting On An Open Fire),Jacob Collier,15659.0
609,0QIZKDe6cXvstWYFjHYiPF,Christmas (Baby Please Come Home),Darlene Love,15653.0
610,5c5ARrENAc6Dqsn43vlwbt,Count on Christmas,Bebe Rexha,15037.0
611,6ppoXyBjTp22DXbU9HcSNS,The Christmas Waltz - Alternate Version/Remastered 1999,Frank Sinatra,14620.0
612,2DksC1UZFBldtB8v35SOZ6,Here This Christmas,Gwen Stefani,14244.0
613,77krX8umv2UXFY0LkmXH3B,Christmas Time Is Here,Diana Krall,14234.0
614,59m84qYfFmnP4fWmvUtWWw,Snoopy's Christmas,The Royal Guardsmen,13877.0
615,4esbOBEtuunzHxeTOKVYaP,The Christmas Song (Chestnuts),Dianne Reeves,13777.0
616,2xaXP8vDhQThF2fmlG3Uux,"This Is Halloween (From ""Nightmare Before Christmas"")",The London Film Score Orchestra,13677.0
617,0Xli2YuBgawcd6IF80B1mN,Christmas Day,Snow Dept.,13621.0
618,3UtAj8EP7DvesfEMQULP79,White Christmas,"Elvis Presley, Royal Philharmonic Orchestra",13498.0
619,4bLV6dcjnHejKFKUm2lShe,It's Beginning To Look a Lot Like Christmas,Mila Crowell,13349.0
620,3tdV0DSPeNQoWcNak4nGSY,The Christmas Sing-Along,Pentatonix,13258.0
621,4Lll68EpptcdBtADAR0aal,Valkea joulu (White Christmas),Jari Sillanpää,13249.0
622,7JRMfxIK1nYPp4ErYIO7vL,Christmas Is You,Ingesund Christmas Ensemble,13246.0
623,64LKCeijm5ydFSO62qJnUp,We Wish You A Merry Christmas,The Cheerlots,12505.0
624,1cq4fvons3LlPhNhq4HMpm,A Christmas Kiss,"The Snowy Hill Singers, Mia Stegmar",11711.0
625,5HCluHiDocDIXCWjLCeiCi,LAST CHRISTMAS,EXILE,11336.0
626,590PwjWAn8KD8WT5xcmiQH,Last Christmas,Glee Cast,11272.0
627,3TpZWt1R4DFPQsArrFOsjC,Fun Fun Christmas,BENI,9992.0
628,0Kdhb8UqEMYPjUMOXRQWD0,This Christmas - Recorded At Spotify Studios NYC,Lalah Hathaway,9794.0
629,5NAzGjb7RM9oQZLB10CjvI,White Christmas,Boney M.,9508.0
630,2IprIjGNRlj3TfqUWCAo0C,Last Christmas,Taylor Swift,9489.0
631,617cDTzVRFEwYPzi3FKaXT,Christmas without You,TAEYEON,9064.0
632,6idoRsRChdGNrPv1Ut6Arr,It's Christmas Everywhere,"Noble, Zé Manel, SYRO, Meestre, Gabriela Couto",8396.0
633,2EyD00fjvw7glLCjEUg50j,Christmas Time Again,FUKI,8375.0
634,6bO6VtoEa42EJzgWgNhlPF,Christmas Medley,Boney M.,8352.0
635,35OjjtMHKnPdOAsEZ6M9OA,The Magic of Christmas Time,TAEYEON,7734.0
636,12ZyM4hBEItwtlzs23Dy16,This Christmas,Picture This,7570.0
637,3yV0qNvuSKPE9rNnLwgvj2,Christmas Wrapping (with Iggy Pop),Kylie Minogue,7253.0
638,6kTasgCQCep1GwhxH43ikG,Oh Christmas Tree,Boney M.,7134.0
639,30jUvRSwuookngdsulLVOf,From This Christmas On,"The Seasonals, Lauren Dunn",6943.0
640,1j75fzIDImv5G7NvSW9FNK,All I Want for Christmas Is You,She & Him,6658.0
641,1IadC8NaIubFysSSsEXsql,Goodbye Christmas - English Version,LAY,6612.0
642,4zjrdI0IuLwjvdYM4TUlxe,Have Yourself A Merry Little Christmas,Frank Sinatra,6527.0
643,6QBry6PAKhwRDd18x67Anf,Rockin' Around the Christmas Tree - Acoustic,Adam Christopher,6375.0
644,5hfAJno3mZYeKYzqo8Kx8f,All I Want For Christmas Is You,Glee Cast,6191.0
645,1K9BFOfOK7p0tYWnb1WeUI,A Christmas Kiss,"The Snowy Hill Singers, Mia Stegmar",6148.0
646,7dfN7KxBMzbHcdAwDf2PAa,I'll Be Home for Christmas,Doris Day,6099.0
647,1KTopLtzIdyLEa9fxSlpjp,We Need A Little Christmas,Glee Cast,5616.0
648,4fc0T9yEVDRdBo9VDvLIvc,Let It Go 〜ありのままで〜 - Christmas Gospel Ver.,May J.,5575.0
649,065CI94mu3IZwqPU4BX4Cb,Christmas the Whole Year Round,Sabrina Carpenter,5559.0
650,4koBxdDNagMUcIHOKdqhi4,Tropical Christmas,Natsu Summer,5466.0
651,6tvBaxCaqLDfufidsSwBrq,A Very Merry Christmas to You,Victor Willis,5338.0
652,1NRpTRaS4H5TAaFllvHncI,We Wish You A Merry Christmas / Carol Of The Bells,Take 6,5095.0
653,7fg8jlLmStsuaBNX1ZcSLN,The Ghost Of Christmas,"In Wintertime, Mia Stegmar",5022.0
654,0vykxEcemqcaNB758Da3Z5,Christmas (Baby Please Come Home),Reed Deming,4956.0
655,0WW2Zh8rqKBmheJACwRs4T,Last Train Home this Christmas,Jane's Party,4833.0
656,48oeKQYVAGSGFvlyc05M2L,We Wish You A Merry Christmas,Kidsongs,4782.0
657,7IiWdCebKD9AhpHhqzqhBN,White Christmas,Darlene Love,4668.0
658,74vAkZaoEU54yZdOoSLrTa,The Christmas Song,The Raveonettes,4657.0
659,5HGeTJqFRlhY3VYC9phKw6,Christmas Must Be Tonight,Bahamas,4242.0
660,1qSBHo7rjtqYdd0XJB8ngq,I Heard The Bells On Christmas Day,The Civil Wars,4052.0
661,2ewT2b7Fsp5kRg1bg4eDQb,Merry Christmas Trap,RxBeats,3918.0
662,5sM2h1csukv1qo3QffVafN,The Twelve Days Of Christmas,Kidsongs,3873.0
663,1hkN1uNp46MFKuSgQ5Eyaf,Have Yourself a Merry Little Christmas,Keston Cobblers Club,3835.0
664,3WK5dnEvyR27YQRFzCVGIq,Have Yourself a Merry Little Christmas,Frank Sinatra,3812.0
665,2WVN4RTt8GYet3IvLCuDKh,Blue Christmas,"Gabrielle Aplin, Hannah Grace",3548.0
666,3neUzgNBXrTi4NkHiDVkxd,Bílé vánoce (White Christmas),Karel Gott,3514.0
667,0Xi9LfrVI0yu0WS3P0mXUE,White Christmas,Bright Eyes,3489.0
668,5vqb2PU9QDP7hbZ8k5aPKK,El Christmasito,"Abo El Anwar, Abyusif",2996.0
669,0daczwc7BcLFiwt7JZk5n6,Last Christmas - Recorded at Spotify Studios NYC - Live,Yoke Lore,2860.0
670,4MidM1ux8fwIWEM01eX6AC,Wonderful Christmastime - Recorded at Spotify Studios NYC,"Xavier Omär, Sango",2845.0
671,0YwrkAtgA2cVRIABI8OZfI,Have Yourself A Merry Little Christmas,Mary J. Blige,2320.0
672,2a90ygVM4bOjZR0lTuWBR7,White Christmas (with The Bobby Tucker Singers),Frank Sinatra,2037.0
673,2qCmSactb5Kxr6J0LD7rdC,A Christmas Kiss,"The Snowy Hill Singers, Mia Stegmar",1858.0
674,53KFbGFNhSCk9kE3ClaNbR,This Christmas,TAEYEON,1576.0
675,1R0c4zQFh5ibaY94zZqbMT,Man's Not Hot - Christmas Edition,Big Shaq,1528.0
676,47oukzOiH3ljgteKmk26YN,Amigos del Mundo (Happy Christmas),"Pedrito Fernández, Ricky Martin, Tatiana",1321.0
677,0mEiJFgZomv4tQKqLiBDxI,These Days (Longing for Christmas),Victor Crone,1250.0
678,7M3k7CQYsEOknxlCrXgj1D,All My Christmases,Jillian Edwards,0.0
679,0JDB5rOWJiSDzi9UT4iwxT,Merry Christmas Mr. Lawrence,Ryuichi Sakamoto,0.0
680,5wQHsooDKqLXRv5RNUBfzR,Have Yourself A Merry Little Christmas,MiC LOWRY,0.0
681,5tRrwNQKQa6p3ONmz4G3ay,Christmas in Our Hearts,Ateneo Chamber Singers,0.0
682,2I6IeSyW701c7OP82Juhvo,December Song (I Dreamed Of Christmas),George Michael,0.0
683,2CZWUmcG9swKChEPBllPra,8 Days of Christmas,Destiny's Child,0.0
684,1upIC70GIjvJJ4iJ5i85Ny,Have Yourself A Merry Little Christmas - Live From BBC Radio 2,First Aid Kit,0.0
685,53ke8sTyEWjVjiBoE8kbkS,Please Come Home for Christmas,Hak Huyun Lee,0.0
686,5f5wlkRHWhYxOdp1hOUsTb,The 12 Days of Christmas,Straight No Chaser,0.0
687,5a1iz510sv2W9Dt1MvFd5R,It's Beginning to Look a Lot like Christmas,Michael Bublé,0.0
688,2fnRDm6l90OTwQL8S3sGKy,It's Christmas Day Bro,"Jake Paul, Jerry Purpdrank, Nick Crompton, Chance Sutton, Anthony Trujillo, Erika Costell",0.0
689,0MbVyoHFVTyUtf6kc9DSpB,So This Is Christmas,"FaWiJo, José Feliciano",0.0
690,7b5qINPEmxLfpaAdw4aFju,All I Want for Christmas (Is My Two Front Teeth),Spike Jones,0.0
691,5KkqyiAZr8QT6zscgM2pJf,Christmas Day,EXO,0.0
692,2MJXMQz7e0kIl4Mkx4RbHX,Dead Christmas,Monster Magnet,0.0
693,2Pc3sIt3654ULen1qDRWXv,Text Me Merry Christmas (feat. Kristen Bell),Straight No Chaser,0.0
694,1l3YnvqFtlAbxiTNAhfLtu,Christmas Time Is Here (feat. Marini Nainggolan),"Dua Empat, Dave Rimba",0.0
695,55U1UHQ4lQHZVcN0C5TTZb,White Christmas,"Bing Crosby, Ken Darby Singers, John Scott Trotter & His Orchestra",0.0
696,6nPe8sU2LMR4i6VjRVPFh5,A Christmas Duel,"The Hives, Cyndi Lauper",0.0
697,3Qrul1e32ARKXZbtEfvuvW,Be My Baby - Christmas Mix,Barry Hay's Flying V Formation,0.0
698,6WY4wvlmgccWapnIg14Vy0,Merry Christmas Mr. Lawrence,Ryuichi Sakamoto,0.0
699,4i8FRHzllz1aIuQoXtobbf,Balls to Christmas,The Amazing Spacefrogs,0.0
700,3MLiwlzrMHJdrdIls3uULv,All I Want For Christmas Is You,Polish Club,0.0
701,17oLsEzzlGFlrBKViCzmGc,Merry Christmas Mr. Lawrence,Ryuichi Sakamoto,0.0
702,6bE3npRCJW3wmy4NV44ZS2,12 Days of Christmas,Gucci Mane,0.0
703,6XNPfvNwufWNOEsQCx7Oq9,Last Christmas,Dirk Bergmann,0.0
704,6K6oyL5HwvvoQ6VmFaG8iD,Have Yourself A Merry Little Christmas,Chanté Moore,0.0
705,1aOIW5GzlVx0B8lX2foIFg,Christmas Eve (Sarajevo 12/24),Savatage,0.0
706,1W2ubWPoj734ZnvX48fZIk,Christmas Song (Chestnuts Roasting),Seal,0.0
707,1Rft80kbFqobq6CsIssNak,Last Christmas,Good Harvest,0.0
708,6Tw5gpHfFlR3mgtkBWXl2j,White Christmas (feat. Clyde McPhatter & Bill Pinckney),The Drifters,0.0
709,1Yh422fN8CMaNXjKVvfuYV,Heavy Christmas,220 Volt,0.0
710,50e0bnvfTTu2nZjOkescnS,"Jacuchzet, frohlocket! from Christmas Oratorio BWV 248 - 2005 Digital Remaster","Johann Sebastian Bach, Empire Brass",0.0
711,4zMP6aieSmWQNFdp3O4Owv,Just Like Christmas,Low,0.0
712,4ugb8JzEPfmpLq5grYEuwh,Last Christmas - Pudding Mix,Wham!,0.0
713,6DZLFc5ccVK7NS3OFdHYqE,Kissin' Christmas(クリスマスだからじゃない),桑田佳祐 & His Friends,0.0
714,6F2fBbJN8jsxbARj9xvbKe,The Christmas Shoes,Newsong,0.0
715,6aUZUtiei2S6S64PI3k4BO,Star Wars Christmas,The Matinee,0.0
716,6ZDaRctHGLVCYY430vaAyT,Have Yourself a Merry Little Christmas,Frank Sinatra,0.0
717,0qiHfHe2hkeQ7svJnGR1vU,I'm Coming Home This Christmas,Brolle,0.0
718,4cqLCCMzG6GQ9Bch2PBzFp,The Christmas Song (Merry Christmas To You) - Remastered 1999,Nat King Cole,0.0
719,3bTj3C6tSyLWBAAt8yzG4v,National Lampoon's Christmas Vacation: Christmas Vacation,Kathryn Jones,0.0
720,7AhwtvWWMdohC9G1n0LJH2,On Christmas Night,Nelson Can,0.0
721,47QNVtdZVYHi0jI8b1xLaj,Last Christmas,Roger Handeland,0.0
722,3oBI7xji5dVUbSamXAj2tt,Dear Christmas,Dear Jane,0.0
723,79hzIvq0wmNaYrpdgWVBOO,A Holly Jolly Christmas,"Johnny Marks, Jan Utbult, Noteservice Wind Band, Bjørn Breistein",0.0
724,4Vu09TiueASvmxn6IeTQmT,Merry Christmas Mr. Lawrence,David West,0.0
725,0BLHp2n7sdosXiGYAcN14m,Takin' Care Of Christmas,"Randy Bachman, Beverley Mahood",0.0
