rank,ID,title,artist,streams
185,6ZTFZm4IEFnMSDfO6mVgMY,Christmas Saves The Year,Twenty One Pilots,1362581.0
186,6h3MR7BSXsxUgypreO85Mp,We Wish You A Merry Christmas,John Denver,1358964.0
187,5MrUeMnwotFhQCLlb2qEZK,Christmas (Baby Please Come Home) (feat. Bryan Adams),Robbie Williams,1341063.0
188,0FuXrVBkBEn7WmPm8rT4GV,Have Yourself a Merry Little Christmas (feat. Esperanza Spalding),John Legend,1330028.0
189,1IUtgwxLYzDVd41EgbKUjX,All I Want For Christmas Is You (SuperFestive!) Duet with Mariah Carey,Justin Bieber,1298813.0
190,2KKXOhM6ZvffZIUJaI8UXB,Christmas Song,"Kurt Nilsen, The Norwegian Radio Orchestra",1284243.0
191,5ZfbW6bwH6bKlsCxpokq8c,Christmas (Baby Please Come Home),Olivia Holt,1254490.0
192,5P8Xvy5tzhmfyfA6GplQ8h,I Want a Hippopotamus for Christmas (Hippo the Hero),Gayla Peevey,1251374.0
193,3vvnvVvBYMsVAUn26yBaMn,Have Yourself a Merry Little Christmas (feat. Esperanza Spalding),John Legend,1216293.0
194,7MPDF0igrlB71jcP9PiHoF,It's Gonna Be a Cold Cold Christmas,Darleens,1212974.0
195,0pGdmGx8l6OkT3FGgudLUr,Have Yourself a Merry Little Christmas - Voice,"Hugh Martin, Mel Tormé",1211017.0
196,4cLMJLCJS4tXQoH416h77P,"Have Yourself a Merry Little Christmas - Jo Whiley, BBC Radio 1 Session",Coldplay,1193085.0
197,4SoKhHMopURSMWCTkVriGl,Someday At Christmas,Stevie Wonder,1185185.0
198,6JQ9jd8LI0XbWIyvZK2h9h,Christmas Lights,Bailey Jehl,1177401.0
199,7ziHNBvbvVCSLeqdKDLQR4,Someday At Christmas,Stevie Wonder,1153270.0
200,3YymcLSyCyyNjLCStcaHys,Christmas Time (Don't Let the Bells End),The Darkness,1134928.0
201,3nhzTOc939C4v4ecTEZTPl,Christmas Wrapping,The Waitresses,1110176.0
202,00pXPeNvEBEFNUTVBT62QI,Christmas All Over Again,Tom Petty and the Heartbreakers,1097799.0
203,5MPd7GzOkGRoFBaSqmqiSL,What Christmas Means To Me,Hanson,1096530.0
204,47rT8p31NNBsBrMJdTcdmh,Have Yourself a Merry Little Christmas,Albin Lee Meldau,1087083.0
205,7zxd3J5hMPeLN71VS8vnE4,What Christmas Means To Me,98º,1080068.0
206,7uMwRRjTbAnpamA9cc842p,Have Yourself a Merry Little Christmas,Natalie Taylor,1076103.0
207,0dMWL9laoZYIySUxSrRSil,A Holly Jolly Christmas,Lady A,1060497.0
208,4DphT1rljbJjbK9WdrR1zI,Christmas Time Is Here - Instrumental,Vince Guaraldi Trio,1055348.0
209,6CT7ZQKVafBZjCOCafy5Ad,Christmas (Baby Please Come Home),U2,1035085.0
210,3TsBzYxkYRHoEll9u77pGr,It's Only Christmas,Ronan Keating,1019837.0
211,30SNjazZhzunhAWCjhdyyD,Christmas All Over Again,Tom Petty and the Heartbreakers,1014139.0
212,4G0YpYB1Ullb5rgJeJoMcP,I'll Be Home For Christmas - Recorded at Spotify Studios NYC,Demi Lovato,1009377.0
