Link Artist,Artist,Streams,Daily,As lead,Solo,As feature
/spotify/artist/29SeiO68HQHBs7pDdWOvvX_songs.html,JesÃºs AdriÃ¡n Romero,"2,938.3",2.012,"2,643.5","2,223.6",294.9
/spotify/artist/6aZyMrc4doVtZyKNilOmwu_songs.html,Colbie Caillat,"2,938.2",0.798,"2,032.9","1,969.3",905.3
/spotify/artist/3uL4UpqShC4p2x1dJutoRW_songs.html,Ghostemane,"2,938.0",1.040,"2,571.5","2,040.2",366.5
/spotify/artist/0vLuOi2k62sHujIfplInlK_songs.html,Hungria,"2,936.7",2.966,"2,527.0","1,794.9",409.7
/spotify/artist/5L1lO4eRHmJ7a0Q6csE5cT_songs.html,LISA,"2,935.4",7.666,"2,453.2","2,250.5",482.2
/spotify/artist/4pejUc4iciQfgdX6OKulQn_songs.html,Queens of the Stone Age,"2,934.4",1.112,"2,934.4","2,934.1",
/spotify/artist/2mxe0TnaNL039ysAj51xPQ_songs.html,R. Kelly,"2,930.8",1.633,"2,151.6","1,652.3",779.2
/spotify/artist/6GI52t8N5F02MxU0g5U69P_songs.html,Santana,"2,930.4",1.365,"2,891.4","1,197.7",38.9
/spotify/artist/0ZHPrnImGh4re3TbSNkoZl_songs.html,Beret,"2,930.0",1.327,"2,456.9","1,775.6",473.1
/spotify/artist/5sWHDYs0csV6RS48xBl0tH_songs.html,Two Feet,"2,929.5",1.142,"2,787.1","2,717.3",142.4
/spotify/artist/4utLUGcTvOJFr6aqIJtYWV_songs.html,Skylar Grey,"2,928.9",0.910,643.4,386.4,"2,285.5"
/spotify/artist/6S0dmVVn4udvppDhZIWxCr_songs.html,Sean Kingston,"2,925.3",1.619,"2,642.7","1,677.5",282.5
/spotify/artist/56ZTgzPBDge0OvCGgMO3OY_songs.html,Beach House,"2,923.5",1.823,"2,923.5","2,923.5",
/spotify/artist/5Z1CCuBsyhEHngq3U5IraY_songs.html,Westlife,"2,922.6",1.272,"2,839.1","2,693.2",83.5
/spotify/artist/536BYVgOnRky0xjsPT96zl_songs.html,Two Door Cinema Club,"2,917.7",0.950,"2,914.4","2,819.3",3.2
/spotify/artist/1vppDmG3i5sXf3DJzrK4T1_songs.html,Thiaguinho,"2,912.1",1.853,"2,432.4","2,125.9",479.8
/spotify/artist/2SHhfs4BiDxGQ3oxqf0UHY_songs.html,Roxette,"2,907.4",1.577,"2,882.6","2,841.4",24.8
/spotify/artist/6BrvowZBreEkXzJQMpL174_songs.html,Hardwell,"2,906.4",0.833,"2,240.7",243.5,665.7
/spotify/artist/6MF9fzBmfXghAz953czmBC_songs.html,Taio Cruz,"2,899.6",1.255,"2,601.1","1,407.8",298.5
/spotify/artist/4x1nvY2FN8jxqAFA0DA02H_songs.html,John Lennon,"2,899.3",1.248,"2,895.0","2,217.4",4.3
/spotify/artist/51DevdOxIJin6DB1FXJpD1_songs.html,UZI,"2,896.7",1.695,"2,205.5","1,566.9",691.3
/spotify/artist/1l2ekx5skC4gJH8djERwh1_songs.html,Don Diablo,"2,895.3",0.694,"1,970.0",643.0,925.2
/spotify/artist/3drqpTL4sQOckmAfF9i1wg_songs.html,Summer Cem,"2,892.4",0.744,"1,472.4",512.1,"1,419.9"
/spotify/artist/3Fl1V19tmjt57oBdxXKAjJ_songs.html,Blueface,"2,880.4",0.553,"1,657.1",864.6,"1,223.3"
/spotify/artist/2rmkQLzj0k4nZdQehOUByO_songs.html,Chino Pacas,"2,880.3",7.707,"1,250.6",799.0,"1,629.7"
/spotify/artist/6AiX12wXdXFoGJ2vk8zBjy_songs.html,Yuvan Shankar Raja,"2,878.5",3.697,"2,385.8",354.8,492.7
/spotify/artist/1sPg5EHuQXTMElpZ4iUgXe_songs.html,ANAVITÃRIA,"2,877.0",1.333,"2,464.0","1,457.9",412.9
/spotify/artist/03Yb3iBy9GCifXiATEFcit_songs.html,Pepe Aguilar,"2,876.5",1.413,"2,414.7","1,856.4",461.8
/spotify/artist/5cIc3SBFuBLVxJz58W2tU9_songs.html,Oh Wonder,"2,876.5",0.847,"1,573.5","1,572.2","1,303.0"
/spotify/artist/4ofCBoyEiGSePFAG500xev_songs.html,Regard,"2,873.9",1.024,"2,644.0","1,434.0",229.8
/spotify/artist/3yDIp0kaq9EFKe07X1X2rz_songs.html,Nile Rodgers,"2,871.6",1.585,36.1,4.4,"2,835.5"
/spotify/artist/2YOYua8FpudSEiB9s88IgQ_songs.html,Yung Gravy,"2,870.7",0.777,"2,322.9","1,477.0",547.8
/spotify/artist/5Zq7R5qmi58ByYyBQTlNuk_songs.html,Lee Brice,"2,867.8",1.162,"2,817.6","2,563.5",50.1
/spotify/artist/4qBgvVog0wzW75IQ48mU7v_songs.html,KYLE,"2,866.8",0.324,"2,768.2",653.7,98.6
/spotify/artist/19eLuQmk9aCobbVDHc6eek_songs.html,Louis Armstrong,"2,863.6",1.381,"2,187.5","1,847.7",676.1
/spotify/artist/1fUSLFr4WUBx7joEcGwpvG_songs.html,Sorriso Maroto,"2,862.6",2.860,"2,138.8","1,453.1",723.8
/spotify/artist/4xnihxcoXWK3UqryOSnbw5_songs.html,Sasha Alex Sloan,"2,855.8",1.229,"1,964.3","1,799.2",891.5
/spotify/artist/0VKh7CQDi9MkUvaBMoK1V0_songs.html,Bronco,"2,855.1",2.109,"2,782.4","2,640.1",72.8
/spotify/artist/4iJLPqClelZOBCBifm8Fzv_songs.html,Pierce The Veil,"2,850.8",2.186,"2,835.4","2,241.1",15.4
/spotify/artist/25XJqeReVV38w0tR04GGBd_songs.html,Mainstreet,"2,849.7",1.842,20.4,,"2,829.3"
/spotify/artist/6U1dBXJhC8gXFjamvFTmHg_songs.html,Zac Efron,"2,848.9",0.936,"1,301.0",,"1,547.9"
/spotify/artist/60df5JBRRPcnSpsIMxxwQm_songs.html,Otis Redding,"2,848.0",1.220,"2,565.8","2,516.5",282.2
/spotify/artist/56SjZARoEvag3RoKWIb16j_songs.html,B Praak,"2,844.4",2.603,"1,439.5",230.4,"1,404.9"
/spotify/artist/1gBUSTR3TyDdTVFIaQnc02_songs.html,NCT DREAM,"2,844.0",1.920,"2,764.3","2,673.2",79.7
/spotify/artist/1Cd373x8qzC7SNUg5IToqp_songs.html,BoyWithUke,"2,842.1",1.651,"2,823.5","2,344.8",18.6
/spotify/artist/53KwLdlmrlCelAZMaLVZqU_songs.html,James Blake,"2,836.0",1.106,"1,638.5","1,111.9","1,197.5"
/spotify/artist/5YwzDz4RJfTiMHS4tdR5Lf_songs.html,XamÃ£,"2,833.7",0.706,942.1,13.8,"1,891.7"
/spotify/artist/5r3wPya2PpeTTsXsGhQU8O_songs.html,Shubh,"2,829.5",3.394,"2,829.5","2,547.3",
/spotify/artist/4AKwRarlmsUlLjIwt38NLw_songs.html,Ofenbach,"2,825.9",1.734,"2,445.2",516.5,380.7
/spotify/artist/2BTZIqw0ntH9MvilQ3ewNY_songs.html,Cyndi Lauper,"2,822.1",1.685,"2,806.5","2,786.1",15.6
/spotify/artist/1o2NpYGqHiCq7FoiYdyd1x_songs.html,Bea Miller,"2,822.1",0.583,"1,724.0","1,526.2","1,098.1"
/spotify/artist/1OAjDaKgg00KCUYqDe68un_songs.html,Gigi D'Agostino,"2,819.8",1.516,"1,153.7","1,055.1","1,666.2"
/spotify/artist/3Me35AWHCGqW4sZ7bWWJt1_songs.html,Xavi,"2,819.4",3.021,"2,787.2","2,159.0",32.2
/spotify/artist/4exLIFE8sISLr28sqG1qNX_songs.html,Travis Barker,"2,819.2",0.696,109.5,,"2,709.7"
/spotify/artist/5V0MlUE1Bft0mbLlND7FJz_songs.html,Ella Fitzgerald,"2,814.7",1.034,"2,733.4","1,340.4",81.3
/spotify/artist/2h5Ha0ZiMFmOQD3iYcSXsy_songs.html,KayBlack,"2,813.7",3.068,"1,980.6",25.0,833.0
/spotify/artist/0RqtSIYZmd4fiBKVFqyIqD_songs.html,Thirty Seconds To Mars,"2,812.7",1.049,"2,744.3","2,657.1",68.4
/spotify/artist/2XnBwblw31dfGnspMIwgWz_songs.html,Axwell /\ Ingrosso,"2,812.0",0.582,"2,812.0","1,876.5",
/spotify/artist/1mXAhKnZEdF6rotyyd4GBi_songs.html,MC Kevinho,"2,811.7",0.563,"1,816.6","1,170.6",995.2
/spotify/artist/2KC9Qb60EaY0kW4eH68vr3_songs.html,ITZY,"2,807.2",1.280,"2,768.7","2,739.7",38.5
/spotify/artist/7pFeBzX627ff0VnN6bxPR4_songs.html,Desiigner,"2,805.5",0.391,"2,189.7","2,022.9",615.8
/spotify/artist/6wPhSqRtPu1UhRCDX5yaDJ_songs.html,The Pussycat Dolls,"2,805.0",1.217,"2,611.2","1,677.1",193.8
/spotify/artist/3AVfmawzu83sp94QW7CEGm_songs.html,Astrid S,"2,802.4",0.466,"2,028.3","1,808.1",774.1
/spotify/artist/2gRP1Ezbtj3qrERnd0XasU_songs.html,Camila,"2,800.8",1.785,"2,776.4","2,598.0",24.4
/spotify/artist/4RSyJzf7ef6Iu2rnLdabNq_songs.html,Willy William,"2,800.8",0.592,361.7,321.9,"2,439.1"
/spotify/artist/4YqwRbMLqGHRHLS1w2ZKse_songs.html,Veigh,"2,798.3",3.344,"1,613.4",16.3,"1,184.9"
/spotify/artist/1dABGukgZ8XKKOdd2rVSHM_songs.html,Lofi Fruits Music,"2,797.7",0.765,"2,791.7",15.5,6.1
/spotify/artist/6UBA15slIuadJ8h2lPRPos_songs.html,Tech N9ne,"2,796.0",0.862,"2,280.8","1,140.5",515.2
/spotify/artist/7x8nK0m0cP2ksQf0mjWdPS_songs.html,Dierks Bentley,"2,793.2",0.741,"2,600.9","2,133.1",192.3
/spotify/artist/2ExGrw6XpbtUAJHTLtUXUD_songs.html,Stefflon Don,"2,790.8",0.735,639.2,321.1,"2,151.6"
/spotify/artist/57WHJIHrjOE3iAxpihhMnp_songs.html,Louis Tomlinson,"2,789.4",0.591,"2,256.1","1,650.5",533.2
/spotify/artist/1zuJe6b1roixEKMOtyrEak_songs.html,Tina Turner,"2,788.3",1.260,"2,096.9","2,058.6",691.3
/spotify/artist/1J2VVASYAamtQ3Bt8wGgA6_songs.html,Ja Rule,"2,783.1",1.131,"1,688.7",152.8,"1,094.4"
/spotify/artist/3k68C6mNMJL6OaAdWeW2ZF_songs.html,Diego & Victor Hugo,"2,780.5",1.794,"2,433.9","1,077.0",346.6
/spotify/artist/0NIPkIjTV8mB795yEIiPYL_songs.html,Wallows,"2,778.2",1.993,"2,778.2","1,828.6",
/spotify/artist/6t1gpxYbY8OlLA7D2RiikQ_songs.html,Loud Luxury,"2,773.9",0.773,"2,605.5",74.0,168.4
/spotify/artist/0yNSzH5nZmHzeE2xn6Xshb_songs.html,Calle 13,"2,769.6",1.099,"2,630.7","1,913.7",138.9
/spotify/artist/2qWK8K2Jfh67UqtwY8tCW6_songs.html,YSY A,"2,768.6",2.197,"1,974.5",528.1,794.0
/spotify/artist/6y8XlgIV8BLlIg1tT1R10i_songs.html,Old Dominion,"2,767.7",1.194,"2,712.4","2,663.8",55.3
/spotify/artist/6Ff53KvcvAj5U7Z1vojB5o_songs.html,*NSYNC,"2,766.6",2.607,"2,724.7","2,612.3",41.8
/spotify/artist/7a0XAaPaK2aDSqa8p3QnC7_songs.html,BeÃ©le,"2,763.9",3.910,710.6,544.9,"2,053.3"
/spotify/artist/3ZuBEj9ppJe8GSdKaMTfMN_songs.html,Nimo,"2,760.0",1.083,"1,567.6",698.7,"1,192.4"
/spotify/artist/6xlRSRMLgZbsSNd0BMobwy_songs.html,DENNIS,"2,760.0",1.000,"2,219.9",11.2,540.0
/spotify/artist/54R6Y0I7jGUCveDTtI21nb_songs.html,Boney M.,"2,759.7",1.479,"2,045.6","1,963.7",714.0
/spotify/artist/77kULmXAQ6vWer7IIHdGzI_songs.html,Jordan Davis,"2,753.6",2.079,"2,713.5","2,088.5",40.1
/spotify/artist/4MXUO7sVCaFgFjoTI5ox5c_songs.html,Sufjan Stevens,"2,752.3",1.177,"2,704.6","2,603.0",47.7
/spotify/artist/07QEuhtrNmmZ0zEcqE9SF6_songs.html,Owl City,"2,745.9",0.947,"2,650.0","1,773.7",95.9
/spotify/artist/5Vo1hnCRmCM6M4thZCInCj_songs.html,OFFICIAL HIGE DANDISM,"2,743.7",1.490,"2,742.8","2,742.8",0.9
/spotify/artist/5bWUlnPx9OYKsLiUJrhCA1_songs.html,Jon Z,"2,739.3",1.428,996.1,295.9,"1,743.2"
/spotify/artist/3gMaNLQm7D9MornNILzdSl_songs.html,Lionel Richie,"2,738.4",1.243,"2,664.0","2,121.7",74.4
/spotify/artist/1Db5GsIoVWYktPoD2nnPZZ_songs.html,Gloria Trevi,"2,733.7",1.532,"2,529.5","2,180.8",204.3
/spotify/artist/7keGfmQR4X5w0two1xKZ7d_songs.html,Kungs,"2,727.9",1.009,"2,389.5",592.4,338.4
/spotify/artist/7qjJw7ZM2ekDSahLXPjIlN_songs.html,Sid Sriram,"2,727.0",2.426,"1,318.7",540.7,"1,408.2"
/spotify/artist/64d1rUxfizSAOE9UbMnUZd_songs.html,Sezen Aksu,"2,720.0",2.314,"2,620.7","2,563.2",99.3
/spotify/artist/3YcBF2ttyueytpXtEzn1Za_songs.html,Incubus,"2,711.2",1.242,"2,707.3","2,705.2",3.9
/spotify/artist/1dVygo6tRFXC8CSWURQJq2_songs.html,Sonu Nigam,"2,710.6",3.079,"1,334.0",302.1,"1,376.5"
/spotify/artist/5nki7yRhxgM509M5ADlN1p_songs.html,Oliver Heldens,"2,709.4",0.792,"1,571.9",255.7,"1,137.5"
/spotify/artist/1GLtl8uqKmnyCWxHmw9tL4_songs.html,The Kooks,"2,708.0",0.907,"2,700.1","2,662.7",7.9
/spotify/artist/5JMLG56F1X5mFmWNmS0iAp_songs.html,Chelsea Cutler,"2,704.4",0.535,885.9,647.3,"1,818.5"
/spotify/artist/6tzRZ39aZlNqlUzQlkuhDV_songs.html,Pabllo Vittar,"2,703.5",2.409,"1,540.0",940.7,"1,163.5"
/spotify/artist/250b0Wlc5Vk0CoUsaCY84M_songs.html,JENNIE,"2,701.8",7.547,"1,095.5","1,095.5","1,606.2"
/spotify/artist/0GgY7hjMoGDsX8ZDe2mwds_songs.html,Soolking,"2,698.3",1.076,"2,084.9",776.5,613.4
/spotify/artist/68kEuyFKyqrdQQLLsmiatm_songs.html,Vince Staples,"2,697.1",0.884,"1,698.2","1,237.0",999.0
/spotify/artist/3hteYQFiMFbJY7wS0xDymP_songs.html,Gesaffelstein,"2,695.9",1.837,"1,254.8",238.4,"1,441.1"
/spotify/artist/4upwdFMlZBmQ68jP9jPzjK_songs.html,Gemitaiz,"2,694.7",0.966,"2,032.8",781.5,661.9
/spotify/artist/2UZMlIwnkgAEDBsw1Rejkn_songs.html,Tom Petty,"2,688.7",1.328,"2,656.2","2,655.1",32.5
/spotify/artist/1QOmebWGB6FdFtW7Bo3F0W_songs.html,Gustavo Cerati,"2,688.4",1.392,"2,494.8","2,401.2",193.6
/spotify/artist/6L34dW6SKMSDaGIfYDU19j_songs.html,Maes,"2,688.0",2.054,"1,893.6","1,171.1",794.4
/spotify/artist/2K5nCggbhSZ00YCYP5qkZS_songs.html,Shiva,"2,687.0",2.420,"1,840.8",999.7,846.2
/spotify/artist/6XFITTl7cFTdopDY3lUdlY_songs.html,J Alvarez,"2,686.9",1.453,"1,647.3",794.2,"1,039.7"
/spotify/artist/1aw0Cdl1DIrtUrUA6fGbAR_songs.html,Dread Mar I,"2,684.1",1.613,"2,395.7","2,395.7",288.4
/spotify/artist/4ehtJnVumNf6xzSCDk8aLB_songs.html,Martin Jensen,"2,678.1",0.292,"2,010.0","1,087.8",668.1
/spotify/artist/5gZhfbckaWo89OzDSk3gdT_songs.html,Jaani,"2,677.3",3.257,304.6,0.4,"2,372.8"
/spotify/artist/1pf0MPKfKdvS8J779mS1Ay_songs.html,Miky Woodz,"2,677.2",1.045,896.8,372.6,"1,780.4"
/spotify/artist/4Xi6LSfFqv26XgP9NKN26U_songs.html,AJ Tracey,"2,666.2",0.839,"1,548.9",909.8,"1,117.4"
/spotify/artist/5QdEbQJ3ylBnc3gsIASAT5_songs.html,G Herbo,"2,665.0",1.073,"1,545.8",614.7,"1,119.2"
/spotify/artist/6QrQ7OrISRYIfS5mtacaw2_songs.html,Jaymes Young,"2,664.5",0.751,"2,574.3","2,444.8",90.2
/spotify/artist/1AgAVqo74e2q4FVvg0xpT7_songs.html,Tedua,"2,664.1",2.132,"1,833.1",399.8,831.0
/spotify/artist/6mU8ucezzms5I2kNH6HNlu_songs.html,Conor Maynard,"2,663.9",0.492,"1,182.9","1,052.9","1,481.0"
/spotify/artist/13saZpZnCDWOI9D4IJhp1f_songs.html,Lily Allen,"2,663.3",0.839,"2,123.3","2,082.7",540.0
/spotify/artist/60uh2KYYSCqAgJNxcU4DA0_songs.html,Hombres G,"2,659.0",1.652,"2,649.5","2,430.6",9.5
