Artist and Title,Days,T10,Pk,(x?),PkStreams,Total,Artist,Song
Lil Nas X - MONTERO (Call Me By Your Name),461,78.0,1,(x33),12473,1561825,Lil Nas X,MONTERO (Call Me By Your Name)
Free Finga - Beržas,217,45.0,2,(x13),17524,1556264,Free Finga,Beržas
ThxSoMch - SPIT IN MY FACE!,466,102.0,2,(x2),7852,1528256,ThxSoMch,SPIT IN MY FACE!
Ed Sheeran - Shivers,562,68.0,5,,6299,1521399,Ed Sheeran,Shivers
OG Version - BILIETAS I ROJU,671,9.0,1,(x1),14224,1514700,OG Version,BILIETAS I ROJU
The Weeknd - One Of The Girls,369,30.0,5,,8088,1514422,The Weeknd,One Of The Girls
Imagine Dragons - Bones,633,3.0,3,(x2),9335,1511911,Imagine Dragons,Bones
SZA - Kill Bill,424,107.0,2,(x9),9311,1507632,SZA,Kill Bill
Kordhell - Murder In My Mind,521,29.0,7,,5587,1500518,Kordhell,Murder In My Mind
Mariah Carey - All I Want for Christmas Is You,346,192.0,1,(x16),26047,1499030,Mariah Carey,All I Want for Christmas Is You
Tiësto - Lay Low,513,,14,,5604,1486227,Tiësto,Lay Low
Djo - End of Beginning,251,70.0,1,(x2),14149,1471846,Djo,End of Beginning
Eminem - The Real Slim Shady,880,,54,,3188,1467605,Eminem,The Real Slim Shady
OG Version - Dealas,500,6.0,3,(x2),8059,1458185,OG Version,Dealas
Tommy Richman - MILLION DOLLAR BABY,181,53.0,3,(x1),24810,1451525,Tommy Richman,MILLION DOLLAR BABY
Artemas - if u think i'm pretty,350,31.0,7,,8992,1441003,Artemas,if u think i'm pretty
Doja Cat - Kiss Me More,488,72.0,2,(x9),7338,1435606,Doja Cat,Kiss Me More
Minelli - Rampampam,460,87.0,1,(x14),12800,1419826,Minelli,Rampampam
Sam Smith - Unholy,310,111.0,1,(x19),15436,1414869,Sam Smith,Unholy
Rokas Yan - Vakar Vakare,675,,35,,3824,1400173,Rokas Yan,Vakar Vakare
Jessica Shy - Žiburiai,501,11.0,5,,8533,1397075,Jessica Shy,Žiburiai
Jessica Shy - Tarp Geltonų Rūtų,146,108.0,2,(x22),26583,1389893,Jessica Shy,Tarp Geltonų Rūtų
A$AP Rocky - I Smoked Away My Brain (I'm God x Demons Mashup),381,,11,,6789,1384035,A$AP Rocky,I Smoked Away My Brain (I'm God x Demons Mashup)
INTERWORLD - METAMORPHOSIS,475,,11,,4933,1369400,INTERWORLD,METAMORPHOSIS
Post Malone - Circles,602,129.0,2,(x8),6461,1364111,Post Malone,Circles
Brenda Lee - Rockin' Around The Christmas Tree,266,147.0,1,(x14),30716,1345341,Brenda Lee,Rockin' Around The Christmas Tree
Oliver Tree - Miss You,305,98.0,1,(x35),13730,1324531,Oliver Tree,Miss You
Lewis Capaldi - Someone You Loved,802,15.0,7,,5263,1320897,Lewis Capaldi,Someone You Loved
Evgenya Redko - Patogu,497,,28,,4490,1310116,Evgenya Redko,Patogu
Drake - Jimmy Cooks,621,3.0,8,,4726,1305321,Drake,Jimmy Cooks
Metro Boomin - Too Many Nights,535,,18,,4110,1305113,Metro Boomin,Too Many Nights
Vaidas Baumila - Apžavai,458,54.0,2,(x1),9177,1301641,Vaidas Baumila,Apžavai
The Weeknd - Popular,341,7.0,9,,6994,1286892,The Weeknd,Popular
Tiësto - The Motto,527,60.0,5,,4729,1284784,Tiësto,The Motto
Olivia Rodrigo - good 4 u,446,60.0,5,,7288,1283967,Olivia Rodrigo,good 4 u
Shawn Mendes - Señorita,446,117.0,1,(x44),9632,1280717,Shawn Mendes,Señorita
Riton - Friday,531,60.0,4,,6706,1274959,Riton,Friday
Shouse - Love Tonight - Edit,735,,12,,3835,1267954,Shouse,Love Tonight - Edit
Billie Eilish - everything i wanted,533,111.0,1,(x41),10934,1265322,Billie Eilish,everything i wanted
Dave - Sprinter,285,86.0,4,,9391,1263811,Dave,Sprinter
Regard - Ride It,739,48.0,6,,4091,1263467,Regard,Ride It
Swedish House Mafia - Moth To A Flame,642,19.0,4,,7039,1261092,Swedish House Mafia,Moth To A Flame
Tinlicker - Because You Move Me,773,,51,,2590,1257995,Tinlicker,Because You Move Me
Sel - Nes Aš Tik Vėjas,515,,26,,4790,1257187,Sel,Nes Aš Tik Vėjas
Gunna - fukumean,370,19.0,7,,6230,1254901,Gunna,fukumean
Mitski - My Love Mine All Mine,318,40.0,6,,6006,1238069,Mitski,My Love Mine All Mine
OG Version - Tavęs Trūksta,474,,12,,5134,1236751,OG Version,Tavęs Trūksta
Joji - Glimpse of Us,328,89.0,1,(x10),14276,1219993,Joji,Glimpse of Us
Drake - One Dance,504,155.0,1,(x75),5157,1219742,Drake,One Dance
Travis Scott - HIGHEST IN THE ROOM,664,57.0,2,(x21),7354,1214030,Travis Scott,HIGHEST IN THE ROOM
Monika LIU - Sentimentai,274,119.0,1,(x37),21608,1210462,Monika LIU,Sentimentai
Joel Corry - Head & Heart,531,99.0,2,(x10),4776,1208239,Joel Corry,Head & Heart
Kendrick Lamar - Not Like Us,172,42.0,3,(x2),16235,1200027,Kendrick Lamar,Not Like Us
Gabrielius Vagelis - Man Moji,407,5.0,7,,6333,1198503,Gabrielius Vagelis,Man Moji
Vaidas Baumila - Bum ajajai,465,,26,,5251,1190575,Vaidas Baumila,Bum ajajai
The Kolors - ITALODISCO,321,66.0,6,,8470,1188444,The Kolors,ITALODISCO
Kanye West - Heartless,553,,26,,3879,1180378,Kanye West,Heartless
Bardachiokas - Vaikai Po Lelijom,474,39.0,5,,5771,1175876,Bardachiokas,Vaikai Po Lelijom
Jessica Shy - Rožė,785,,13,,3248,1171992,Jessica Shy,Rožė
Gesaffelstein - Lost in the Fire,722,16.0,3,(x3),3590,1171446,Gesaffelstein,Lost in the Fire
Rokas Yan - Surask Mane,604,,55,,3582,1170206,Rokas Yan,Surask Mane
James Hype - Ferrari,467,24.0,7,,5563,1169900,James Hype,Ferrari
Free Finga - Vienas,215,60.0,2,(x2),9986,1163296,Free Finga,Vienas
Loreen - Tattoo,287,38.0,2,(x17),40314,1162354,Loreen,Tattoo
Sisters On Wire - Taip Jau Gavosi,611,,11,,3298,1152850,Sisters On Wire,Taip Jau Gavosi
The Weeknd - Die For You,567,,30,,3340,1151145,The Weeknd,Die For You
Roddy Ricch - The Box,470,124.0,1,(x8),7493,1150271,Roddy Ricch,The Box
DVRST - Close Eyes,627,,20,,3436,1139436,DVRST,Close Eyes
Topic - Breaking Me,514,90.0,5,,4307,1137591,Topic,Breaking Me
d4vd - Romantic Homicide,464,,12,,4268,1132322,d4vd,Romantic Homicide
Billie Eilish - CHIHIRO,160,24.0,1,(x3),22457,1129022,Billie Eilish,CHIHIRO
Bobby Helms - Jingle Bell Rock,247,123.0,1,(x1),25155,1124490,Bobby Helms,Jingle Bell Rock
Kate Bush - Running Up That Hill (A Deal With God),244,89.0,1,(x23),15652,1120753,Kate Bush,Running Up That Hill (A Deal With God)
Harry Styles - Adore You,584,31.0,3,(x4),5522,1116468,Harry Styles,Adore You
Billie Eilish - LUNCH,160,25.0,1,(x6),23446,1115792,Billie Eilish,LUNCH
ATB - Your Love (9PM),520,53.0,7,,4628,1115588,ATB,Your Love (9PM)
¥$ - CARNIVAL,188,62.0,1,(x3),16996,1115451,¥$,CARNIVAL
A$AP Rocky - Praise The Lord (Da Shine),689,1.0,9,,2927,1106003,A$AP Rocky,Praise The Lord (Da Shine)
Eminem - Mockingbird,422,22.0,7,,5602,1103288,Eminem,Mockingbird
Mareux - The Perfect Girl,587,,36,,2777,1101823,Mareux,The Perfect Girl
The Weeknd - I Was Never There,520,1.0,9,,3594,1098418,The Weeknd,I Was Never There
Käärijä - Cha Cha Cha,168,46.0,1,(x23),49747,1090602,Käärijä,Cha Cha Cha
Steve Lacy - Bad Habit,355,43.0,7,,5112,1090176,Steve Lacy,Bad Habit
Post Malone - Sunflower - Spider-Man: Into the Spider-Verse,634,92.0,2,(x5),3926,1087581,Post Malone,Sunflower - Spider-Man: Into the Spider-Verse
Jaxomy - Pedro,184,27.0,2,(x6),16292,1086280,Jaxomy,Pedro
Lord Huron - The Night We Met,461,,26,,3686,1076398,Lord Huron,The Night We Met
Måneskin - SUPERMODEL,353,68.0,1,(x1),13877,1073720,Måneskin,SUPERMODEL
MEDUZA - Lose Control,604,38.0,5,,4192,1073000,MEDUZA,Lose Control
Sel - Perlai,417,,33,,4250,1061167,Sel,Perlai
Furytto - Barakuda,252,,14,,7651,1061117,Furytto,Barakuda
Eliza Rose - B.O.T.A. (Baddest Of Them All) - Edit,354,58.0,1,(x4),10147,1059722,Eliza Rose,B.O.T.A. (Baddest Of Them All) - Edit
Michael Bublé - It's Beginning to Look a Lot Like Christmas,266,93.0,1,(x1),21719,1055438,Michael Bublé,It's Beginning to Look a Lot Like Christmas
Childish Gambino - Les,571,,64,,2712,1054350,Childish Gambino,Les
Joost - Europapa,131,23.0,1,(x8),49357,1040352,Joost,Europapa
alyona alyona - Teresa & Maria,158,22.0,2,(x5),46741,1033403,alyona alyona,Teresa & Maria
FloyyMenor - Gata Only,198,3.0,10,,8333,1029922,FloyyMenor,Gata Only
Dua Lipa - Houdini,280,11.0,3,(x1),9047,1028918,Dua Lipa,Houdini
Olivia Rodrigo - drivers license,443,76.0,1,(x12),10724,1028060,Olivia Rodrigo,drivers license
Masked Wolf - Astronaut In The Ocean,354,91.0,1,(x3),6689,1021331,Masked Wolf,Astronaut In The Ocean
Troye Sivan - Rush,329,12.0,7,,7766,1009043,Troye Sivan,Rush
DaBaby - ROCKSTAR,431,102.0,3,(x8),5656,1006347,DaBaby,ROCKSTAR
Imagine Dragons - Enemy,416,73.0,4,,6803,1000368,Imagine Dragons,Enemy
21 Savage - redrum,200,63.0,2,(x10),10303,985439,21 Savage,redrum
Metro Boomin - Trance,414,,12,,5182,983810,Metro Boomin,Trance
Billie Eilish - when the party's over,562,82.0,3,(x13),3692,983529,Billie Eilish,when the party's over
Rema - Calm Down,432,,20,,4844,982907,Rema,Calm Down
OG Version - Nugalėjau,240,,11,,5933,979739,OG Version,Nugalėjau
Dua Lipa - Dance The Night (From Barbie The Album),302,9.0,7,,6595,975411,Dua Lipa,Dance The Night (From Barbie The Album)
MEDUZA - Paradise,452,69.0,6,,3965,970936,MEDUZA,Paradise
French Montana - Unforgettable,424,84.0,1,(x1),3406,970396,French Montana,Unforgettable
