Unnamed: 0,Rank,Song,Artist,ArtistID,SongID,SongLink
56,19,Hallelujah,Leonard Cohen,5l8VQNuIg0turYE1VtM9zV,7yzbimr8WVyAtBX3Eg6UL9,https://kworb.net/spotify/track/7yzbimr8WVyAtBX3Eg6UL9.html
57,18,Un-Break My Heart,Toni Braxton,3X458ddYA2YcVWuVIGGOYe,5Ihd9HrPvOADyVoonH9ZjB,https://kworb.net/spotify/track/5Ihd9HrPvOADyVoonH9ZjB.html
58,17,The Way We Were,Barbra Streisand,7jmTilWYlKOuavFfmQAcu6,1vZTgn4JXWMahR8r99ug5H,
59,16,Go Your Own Way,Fleetwood Mac,08GQAI4eElDnROBrJRGE0X,4xh7W7tlNMIczFhupCPniY,
60,15,I Will Always Love You,Dolly Parton,32vWCbZh0xZ4o9gkz4PsEU,77bNe6jYY8yHdP7orXrz5I,
61,14,Drivers License,Olivia Rodrigo,1McMsnEElThX1knmY4oliG,5wANPM4fQCJwkGd4rN57mH,https://kworb.net/spotify/track/5wANPM4fQCJwkGd4rN57mH.html
62,13,We Belong Together,Mariah Carey,4iHNK0tOyZPYnBU7nGAgpQ,3LmvfNUQtglbTrydsdIqFU,https://kworb.net/spotify/track/3LmvfNUQtglbTrydsdIqFU.html
63,12,Hide and Seek,Imogen Heap,6Xb4ezwoAQC4516kI89nWz,7mMlbJlXXo2mRtQ4R9sIzD,https://kworb.net/spotify/track/7mMlbJlXXo2mRtQ4R9sIzD.html
64,11,Yesterday,The Beatles,3WrFJ7ztbogyGnTHbHJFl2,3BQHpFgAp4l80e1XslIjNI,
65,10,Bye Bye Bye,*NSYNC,6Ff53KvcvAj5U7Z1vojB5o,62bOmKYxYg7dhrC6gH9vFn,https://kworb.net/spotify/track/62bOmKYxYg7dhrC6gH9vFn.html
66,9,Someone Like You,Adele,4dpARuHxo51G3z768sgnrY,1zwMYTA5nlNjZxYrvBB2pV,
67,8,Supercut,Lorde,163tK9Wjr9P9DmM0AVK7lm,6TgBrRvbC64WMetf2hXrUS,
68,7,You Oughta Know,Alanis Morissette,6ogn9necmbUdCppmNnGOdi,336gUVrBgd22Y1iyjH5wRD,
69,6,Back To Black,Amy Winehouse,6Q192DXotxtaysaqNPy5yR,3FAclTFfvUuQYnEsptbK8w,https://kworb.net/spotify/track/3FAclTFfvUuQYnEsptbK8w.html
70,5,I Have Nothing,Whitney Houston,6XpaIBNiVzIetEPCWDvAFP,31er9IGsfFbwqy1pH4aiTP,https://kworb.net/spotify/track/31er9IGsfFbwqy1pH4aiTP.html
71,4,Kill Bill,SZA,7tYKF4w9nC0nq9CsPZTHyP,3OHfY25tqY28d16oZczHc8,
72,3,I Want You Back,The Jackson 5,2iE18Oxc8YSumAU232n4rW,5LxvwujISqiB8vpRYv887S,
73,2,Dancing On My Own,Robyn,6UE7nl9mha6s8z0wFQFIZ2,7g13jf3zqlP5S68Voo5v9m,
74,1,All Too Well (10 Minute Version),Taylor Swift,06HL4z0CvFAxyc27GXpf02,/5enxwA8aAbwZbf5qCHORXi,https://kworb.net/spotify/track//5enxwA8aAbwZbf5qCHORXi.html
